Plot Title: 20393601_SM_A_A1_ctrl,,,
#,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20393601, SEN S/N: 20399027, LBL: A1_R)","Temp, °F (LGR S/N: 20393601, SEN S/N: 20399269, LBL: A1_R)"
1,6/14/18 11:00,0.1836,51.764
2,6/14/18 12:00,0.1836,54.387
3,6/14/18 13:00,0.184,56.512
4,6/14/18 14:00,0.1849,57.506
5,6/14/18 15:00,0.1866,57.722
6,6/14/18 16:00,0.1872,57.636
7,6/14/18 17:00,0.1898,56.988
8,6/14/18 18:00,0.1958,56.208
9,6/14/18 19:00,0.1972,55.081
10,6/14/18 20:00,0.199,53.776
11,6/14/18 21:00,0.2008,52.686
12,6/14/18 22:00,0.2043,51.633
13,6/14/18 23:00,0.2064,50.621
14,6/15/18 0:00,0.2083,49.649
15,6/15/18 1:00,0.2078,48.717
16,6/15/18 2:00,0.2095,47.826
17,6/15/18 3:00,0.2087,47.064
18,6/15/18 4:00,0.2073,46.436
19,6/15/18 5:00,0.2073,45.806
20,6/15/18 6:00,0.2087,45.217
21,6/15/18 7:00,0.2029,45.082
22,6/15/18 8:00,0.199,46.301
23,6/15/18 9:00,0.1967,48.762
24,6/15/18 10:00,0.2047,51.544
25,6/15/18 11:00,0.199,52.817
26,6/15/18 12:00,0.1917,53.559
27,6/15/18 13:00,0.1904,55.472
28,6/15/18 14:00,0.1881,56.944
29,6/15/18 15:00,0.1985,57.117
30,6/15/18 16:00,0.1908,56.858
31,6/15/18 17:00,0.1926,56.165
32,6/15/18 18:00,0.1976,55.168
33,6/15/18 19:00,0.1985,54.212
34,6/15/18 20:00,0.2056,53.298
35,6/15/18 21:00,0.2035,52.291
36,6/15/18 22:00,0.2026,51.37
37,6/15/18 23:00,0.2026,50.576
38,6/16/18 0:00,0.2035,49.914
39,6/16/18 1:00,0.2038,49.338
40,6/16/18 2:00,0.2043,48.762
41,6/16/18 3:00,0.2038,48.315
42,6/16/18 4:00,0.2043,47.871
43,6/16/18 5:00,0.2052,47.422
44,6/16/18 6:00,0.2064,46.931
45,6/16/18 7:00,0.2056,46.436
46,6/16/18 8:00,0.2029,46.526
47,6/16/18 9:00,0.2008,47.334
48,6/16/18 10:00,0.2008,48.182
49,6/16/18 11:00,0.1985,48.628
50,6/16/18 12:00,0.1985,49.383
51,6/16/18 13:00,0.2047,49.87
52,6/16/18 14:00,0.2208,49.649
53,6/16/18 15:00,0.2153,49.649
54,6/16/18 16:00,0.2122,50.047
55,6/16/18 17:00,0.2078,50.268
56,6/16/18 18:00,0.2122,50.268
57,6/16/18 19:00,0.2148,49.914
58,6/16/18 20:00,0.2143,49.383
59,6/16/18 21:00,0.2241,48.805
60,6/16/18 22:00,0.2262,48.272
61,6/16/18 23:00,0.2245,47.826
62,6/17/18 0:00,0.2257,47.422
63,6/17/18 1:00,0.233,46.616
64,6/17/18 2:00,0.233,46.346
65,6/17/18 3:00,0.2315,46.076
66,6/17/18 4:00,0.233,45.669
67,6/17/18 5:00,0.2351,45.307
68,6/17/18 6:00,0.2355,44.901
69,6/17/18 7:00,0.2355,44.674
70,6/17/18 8:00,0.2347,44.582
71,6/17/18 9:00,0.2414,44.719
72,6/17/18 10:00,0.2374,44.946
73,6/17/18 11:00,0.2318,45.851
74,6/17/18 12:00,0.2274,47.647
75,6/17/18 13:00,0.2208,48.938
76,6/17/18 14:00,0.2169,50.356
77,6/17/18 15:00,0.2153,51.589
78,6/17/18 16:00,0.2277,51.678
79,6/17/18 17:00,0.2475,50.752
80,6/17/18 18:00,0.2452,50.092
81,6/17/18 19:00,0.241,49.87
82,6/17/18 20:00,0.2406,49.561
83,6/17/18 21:00,0.2403,49.073
84,6/17/18 22:00,0.2403,48.45
85,6/17/18 23:00,0.2403,47.914
86,6/18/18 0:00,0.2434,47.422
87,6/18/18 1:00,0.2418,46.931
88,6/18/18 2:00,0.241,46.391
89,6/18/18 3:00,0.2406,45.896
90,6/18/18 4:00,0.2394,45.354
91,6/18/18 5:00,0.2399,44.856
92,6/18/18 6:00,0.2399,44.4
93,6/18/18 7:00,0.239,44.082
94,6/18/18 8:00,0.2374,44.127
95,6/18/18 9:00,0.2323,44.809
96,6/18/18 10:00,0.2266,46.256
97,6/18/18 11:00,0.2262,47.826
98,6/18/18 12:00,0.2254,48.538
99,6/18/18 13:00,0.2211,49.737
100,6/18/18 14:00,0.2195,51.325
101,6/18/18 15:00,0.2195,52.423
102,6/18/18 16:00,0.2198,52.686
103,6/18/18 17:00,0.2195,52.203
104,6/18/18 18:00,0.2274,51.37
105,6/18/18 19:00,0.2254,50.4
106,6/18/18 20:00,0.2249,49.516
107,6/18/18 21:00,0.2266,48.583
108,6/18/18 22:00,0.2249,47.647
109,6/18/18 23:00,0.2355,46.751
110,6/19/18 0:00,0.2269,45.941
111,6/19/18 1:00,0.2254,45.217
112,6/19/18 2:00,0.2257,44.492
