Plot Title: 20393601_SM_Alpine_A1,,,
#,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20393601, SEN S/N: 20399027)","Temp, °F (LGR S/N: 20393601, SEN S/N: 20399269)"
1,8/6/19 13:00,-0.4737,63.347
2,8/6/19 14:00,-0.4737,63.732
3,8/6/19 15:00,-0.4737,62.919
4,8/6/19 16:00,-0.4737,61.804
5,8/6/19 17:00,-0.4737,60.647
6,8/6/19 18:00,-0.4737,59.572
7,8/6/19 19:00,-0.4737,58.712
8,8/6/19 20:00,-0.4737,57.765
9,8/6/19 21:00,-0.4737,56.815
10,8/6/19 22:00,-0.4737,55.906
11,8/6/19 23:00,-0.4737,54.952
12,8/7/19 0:00,-0.4737,53.994
13,8/7/19 1:00,-0.4737,53.121
14,8/7/19 2:00,-0.4737,52.378
15,8/7/19 3:00,-0.4737,51.764
16,8/7/19 4:00,-0.4737,51.105
17,8/7/19 5:00,-0.4737,50.4
18,8/7/19 6:00,-0.4737,49.782
19,8/7/19 7:00,-0.4737,49.383
20,8/7/19 8:00,-0.4737,50.356
21,8/7/19 9:00,-0.4737,52.203
22,8/7/19 10:00,-0.4737,53.341
23,8/7/19 11:00,-0.4737,54.473
24,8/7/19 12:00,-0.4737,56.251
25,8/7/19 13:00,-0.4737,58.541
26,8/7/19 14:00,-0.4737,59.916
27,8/7/19 15:00,-0.4737,60.217
28,8/7/19 16:00,-0.4737,60.217
29,8/7/19 17:00,-0.4737,59.486
30,8/7/19 18:00,-0.4737,58.239
31,8/7/19 19:00,-0.4737,57.204
32,8/7/19 20:00,-0.4737,56.426
33,8/7/19 21:00,-0.4737,55.647
34,8/7/19 22:00,-0.4737,54.865
35,8/7/19 23:00,-0.4737,54.126
36,8/8/19 0:00,-0.4737,53.427
37,8/8/19 1:00,-0.4737,52.641
38,8/8/19 2:00,-0.4737,51.809
39,8/8/19 3:00,-0.4737,51.193
40,8/8/19 4:00,-0.4737,50.621
41,8/8/19 5:00,-0.4737,50.092
42,8/8/19 6:00,-0.4737,49.604
43,8/8/19 7:00,-0.4737,49.338
44,8/8/19 8:00,-0.4737,49.428
45,8/8/19 9:00,-0.4737,51.017
46,8/8/19 10:00,-0.4737,52.903
47,8/8/19 11:00,-0.4737,54.734
48,8/8/19 12:00,-0.4737,56.901
49,8/8/19 13:00,-0.4737,59.056
50,8/8/19 14:00,-0.4737,60.046
51,8/8/19 15:00,-0.4737,60.433
52,8/8/19 16:00,-0.4737,60.174
53,8/8/19 17:00,-0.4737,59.486
54,8/8/19 18:00,-0.4737,58.498
55,8/8/19 19:00,-0.4737,57.463
56,8/8/19 20:00,-0.4737,56.642
57,8/8/19 21:00,-0.4737,55.733
58,8/8/19 22:00,-0.4737,54.691
59,8/8/19 23:00,-0.4737,53.776
60,8/9/19 0:00,-0.4737,53.078
61,8/9/19 1:00,-0.4737,52.554
62,8/9/19 2:00,-0.4737,52.029
63,8/9/19 3:00,-0.4737,51.105
64,8/9/19 4:00,-0.4737,50.356
65,8/9/19 5:00,-0.4737,49.825
66,8/9/19 6:00,-0.4737,49.338
67,8/9/19 7:00,-0.4737,48.85
68,8/9/19 8:00,-0.4737,49.692
69,8/9/19 9:00,-0.4737,51.852
70,8/9/19 10:00,-0.4737,54.212
71,8/9/19 11:00,-0.4737,57.333
72,8/9/19 12:00,-0.4737,59.959
73,8/9/19 13:00,-0.4737,61.72
74,8/9/19 14:00,-0.4737,62.577
75,8/9/19 15:00,-0.4737,62.49
76,8/9/19 16:00,-0.4737,61.977
77,8/9/19 17:00,-0.4737,61.333
78,8/9/19 18:00,-0.4737,60.433
79,8/9/19 19:00,-0.4737,59.445
80,8/9/19 20:00,-0.4737,58.325
81,8/9/19 21:00,-0.4737,57.204
82,8/9/19 22:00,-0.4737,56.295
83,8/9/19 23:00,-0.4737,55.515
84,8/10/19 0:00,-0.4737,54.734
85,8/10/19 1:00,-0.4737,54.082
86,8/10/19 2:00,-0.4737,53.472
87,8/10/19 3:00,-0.4737,52.903
88,8/10/19 4:00,-0.4737,52.335
89,8/10/19 5:00,-0.4737,51.895
90,8/10/19 6:00,-0.4737,51.501
91,8/10/19 7:00,-0.4737,51.148
92,8/10/19 8:00,-0.4737,50.709
93,8/10/19 9:00,-0.4737,51.062
94,8/10/19 10:00,-0.4737,53.472
95,8/10/19 11:00,-0.4737,56.295
96,8/10/19 12:00,-0.4737,57.936
97,8/10/19 13:00,-0.4737,58.885
98,8/10/19 14:00,-0.4737,59.229
99,8/10/19 15:00,-0.4737,59.099
100,8/10/19 16:00,-0.4737,58.755
101,8/10/19 17:00,-0.4737,58.368
102,8/10/19 18:00,-0.4737,57.807
103,8/10/19 19:00,-0.4737,57.29
104,8/10/19 20:00,-0.4737,56.599
105,8/10/19 21:00,-0.4737,55.776
106,8/10/19 22:00,-0.4737,55.038
107,8/10/19 23:00,-0.4737,54.343
108,8/11/19 0:00,-0.4737,53.69
109,8/11/19 1:00,-0.4737,53.078
110,8/11/19 2:00,-0.4737,52.466
111,8/11/19 3:00,-0.4737,51.895
112,8/11/19 4:00,-0.4737,51.413
113,8/11/19 5:00,-0.4737,50.974
114,8/11/19 6:00,-0.4737,50.621
115,8/11/19 7:00,-0.4737,50.311
116,8/11/19 8:00,-0.4737,50.092
117,8/11/19 9:00,-0.4737,50.047
118,8/11/19 10:00,-0.4737,50.268
119,8/11/19 11:00,-0.4737,49.959
120,8/11/19 12:00,-0.4737,49.561
121,8/11/19 13:00,-0.4737,49.649
122,8/11/19 14:00,-0.4737,50.445
123,8/11/19 15:00,-0.4737,51.764
124,8/11/19 16:00,-0.4737,52.817
125,8/11/19 17:00,-0.4737,53.341
126,8/11/19 18:00,-0.4737,53.515
127,8/11/19 19:00,-0.4737,53.121
128,8/11/19 20:00,-0.4737,52.466
129,8/11/19 21:00,-0.4737,51.721
130,8/11/19 22:00,-0.4737,51.017
131,8/11/19 23:00,-0.4737,50.4
132,8/12/19 0:00,-0.4737,49.649
133,8/12/19 1:00,-0.4737,48.895
134,8/12/19 2:00,-0.4737,48.36
135,8/12/19 3:00,-0.4737,47.871
136,8/12/19 4:00,-0.4737,47.557
137,8/12/19 5:00,-0.4737,47.289
138,8/12/19 6:00,-0.4737,46.931
139,8/12/19 7:00,-0.4737,46.616
140,8/12/19 8:00,-0.4737,47.289
141,8/12/19 9:00,-0.4737,49.561
142,8/12/19 10:00,-0.4737,52.466
143,8/12/19 11:00,-0.4737,54.909
144,8/12/19 12:00,-0.4737,56.295
145,8/12/19 13:00,-0.4737,57.333
146,8/12/19 14:00,-0.4737,58.368
147,8/12/19 15:00,-0.4737,58.755
148,8/12/19 16:00,-0.4737,58.411
149,8/12/19 17:00,-0.4737,57.765
150,8/12/19 18:00,-0.4737,56.815
151,8/12/19 19:00,-0.4737,55.819
152,8/12/19 20:00,-0.4737,54.82
153,8/12/19 21:00,-0.4737,53.776
154,8/12/19 22:00,-0.4737,52.729
155,8/12/19 23:00,-0.4737,51.852
156,8/13/19 0:00,-0.4737,51.017
157,8/13/19 1:00,-0.4737,50.268
158,8/13/19 2:00,-0.4737,49.561
159,8/13/19 3:00,-0.4737,48.895
160,8/13/19 4:00,-0.4737,48.182
161,8/13/19 5:00,-0.4737,47.512
162,8/13/19 6:00,-0.4737,46.796
163,8/13/19 7:00,-0.4737,46.166
164,8/13/19 8:00,-0.4737,46.841
165,8/13/19 9:00,-0.4737,49.204
166,8/13/19 10:00,-0.4737,52.291
167,8/13/19 11:00,-0.4737,55.256
168,8/13/19 12:00,-0.4737,57.333
