Plot Title: 20393605_SM_A_B1_ctrl,,,
#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 20393605, SEN S/N: 20391818, LBL: B1_L)","Water Content, m³/m³ (LGR S/N: 20393605, SEN S/N: 20399026, LBL: B1_L)"
1,6/14/18 12:00,32.99,0.2585
2,6/14/18 13:00,33.336,0.2615
3,6/14/18 14:00,33.633,0.2621
4,6/14/18 15:00,34.124,0.2639
5,6/14/18 16:00,34.761,0.2646
6,6/14/18 17:00,35.443,0.2653
7,6/14/18 18:00,35.685,0.2664
8,6/14/18 19:00,35.492,0.2664
9,6/14/18 20:00,35.298,0.266
10,6/14/18 21:00,35.055,0.266
11,6/14/18 22:00,34.81,0.2657
12,6/14/18 23:00,34.565,0.265
13,6/15/18 0:00,34.272,0.2646
14,6/15/18 1:00,34.027,0.2646
15,6/15/18 2:00,33.732,0.2642
16,6/15/18 3:00,33.534,0.2639
17,6/15/18 4:00,33.435,0.2635
18,6/15/18 5:00,33.336,0.2635
19,6/15/18 6:00,33.237,0.2635
20,6/15/18 7:00,33.287,0.2624
21,6/15/18 8:00,33.928,0.2628
22,6/15/18 9:00,35.589,0.2615
23,6/15/18 10:00,38.179,0.2618
24,6/15/18 11:00,40.158,0.2621
25,6/15/18 12:00,42.202,0.2615
26,6/15/18 13:00,44.991,0.2615
27,6/15/18 14:00,48.004,0.2607
28,6/15/18 15:00,49.649,0.2604
29,6/15/18 16:00,51.017,0.2607
30,6/15/18 17:00,51.764,0.2604
31,6/15/18 18:00,51.721,0.2607
32,6/15/18 19:00,50.709,0.2607
33,6/15/18 20:00,49.338,0.2611
34,6/15/18 21:00,47.914,0.2607
35,6/15/18 22:00,46.481,0.2607
36,6/15/18 23:00,45.354,0.2607
37,6/16/18 0:00,44.4,0.2607
38,6/16/18 1:00,43.624,0.2607
39,6/16/18 2:00,42.939,0.2607
40,6/16/18 3:00,42.386,0.2607
41,6/16/18 4:00,41.878,0.2607
42,6/16/18 5:00,41.463,0.2607
43,6/16/18 6:00,40.998,0.2607
44,6/16/18 7:00,40.532,0.2607
45,6/16/18 8:00,40.438,0.2607
46,6/16/18 9:00,41.184,0.2604
47,6/16/18 10:00,42.202,0.26
48,6/16/18 11:00,43.306,0.2604
49,6/16/18 12:00,44.445,0.26
50,6/16/18 13:00,45.444,0.26
51,6/16/18 14:00,45.851,0.2628
52,6/16/18 15:00,46.301,0.2624
53,6/16/18 16:00,47.199,0.2621
54,6/16/18 17:00,47.914,0.2618
55,6/16/18 18:00,48.094,0.2618
56,6/16/18 19:00,47.781,0.2618
57,6/16/18 20:00,47.154,0.2615
58,6/16/18 21:00,46.346,0.2621
59,6/16/18 22:00,45.579,0.2621
60,6/16/18 23:00,44.901,0.2621
61,6/17/18 0:00,44.31,0.2621
62,6/17/18 1:00,43.763,0.2653
63,6/17/18 2:00,43.214,0.266
64,6/17/18 3:00,42.8,0.2657
65,6/17/18 4:00,42.386,0.2666
66,6/17/18 5:00,42.017,0.2666
67,6/17/18 6:00,41.601,0.2666
68,6/17/18 7:00,41.322,0.2666
69,6/17/18 8:00,41.277,0.2664
70,6/17/18 9:00,41.463,0.2673
71,6/17/18 10:00,41.925,0.267
72,6/17/18 11:00,43.214,0.2664
73,6/17/18 12:00,45.354,0.2657
74,6/17/18 13:00,47.557,0.265
75,6/17/18 14:00,49.692,0.2646
76,6/17/18 15:00,51.895,0.2642
77,6/17/18 16:00,52.423,0.2639
78,6/17/18 17:00,51.413,0.2684
79,6/17/18 18:00,50.311,0.2684
80,6/17/18 19:00,49.782,0.2673
81,6/17/18 20:00,49.249,0.2673
82,6/17/18 21:00,48.45,0.267
83,6/17/18 22:00,47.557,0.267
84,6/17/18 23:00,46.751,0.267
85,6/18/18 0:00,46.031,0.267
86,6/18/18 1:00,45.307,0.267
87,6/18/18 2:00,44.582,0.2666
88,6/18/18 3:00,43.853,0.2666
89,6/18/18 4:00,43.214,0.2664
90,6/18/18 5:00,42.57,0.2664
91,6/18/18 6:00,41.97,0.2664
92,6/18/18 7:00,41.508,0.2657
93,6/18/18 8:00,41.463,0.2653
94,6/18/18 9:00,42.064,0.265
95,6/18/18 10:00,43.488,0.2646
96,6/18/18 11:00,45.217,0.2639
97,6/18/18 12:00,46.436,0.2632
98,6/18/18 13:00,48.182,0.2621
99,6/18/18 14:00,50.664,0.2615
100,6/18/18 15:00,53.035,0.2607
101,6/18/18 16:00,54.734,0.2596
102,6/18/18 17:00,55.081,0.2604
103,6/18/18 18:00,54.343,0.2607
104,6/18/18 19:00,52.947,0.2604
105,6/18/18 20:00,51.282,0.2604
