"Plot Title: 20393605_SM_A_B1_ctrl"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20393605, SEN S/N: 20391818, LBL: B1_L)","Water Content, m³/m³ (LGR S/N: 20393605, SEN S/N: 20399026, LBL: B1_L)"
1,08/06/19 02:00:01 PM,62.620,0.2589
2,08/06/19 03:00:01 PM,62.962,0.2592
3,08/06/19 04:00:01 PM,63.262,0.2585
4,08/06/19 05:00:01 PM,62.533,0.2585
5,08/06/19 06:00:01 PM,61.333,0.2585
6,08/06/19 07:00:01 PM,59.959,0.2589
7,08/06/19 08:00:01 PM,58.325,0.2592
8,08/06/19 09:00:01 PM,56.772,0.2585
9,08/06/19 10:00:01 PM,55.386,0.2596
10,08/06/19 11:00:01 PM,53.951,0.2592
11,08/07/19 12:00:01 AM,52.641,0.2596
12,08/07/19 01:00:01 AM,51.413,0.2600
13,08/07/19 02:00:01 AM,50.488,0.2592
14,08/07/19 03:00:01 AM,49.649,0.2596
15,08/07/19 04:00:01 AM,48.805,0.2600
16,08/07/19 05:00:01 AM,47.959,0.2600
17,08/07/19 06:00:01 AM,47.199,0.2604
18,08/07/19 07:00:01 AM,46.751,0.2607
19,08/07/19 08:00:01 AM,47.064,0.2592
20,08/07/19 09:00:01 AM,48.137,0.2592
21,08/07/19 10:00:01 AM,49.914,0.2589
22,08/07/19 11:00:01 AM,51.764,0.2582
23,08/07/19 12:00:01 PM,54.430,0.2567
24,08/07/19 01:00:01 PM,57.979,0.2560
25,08/07/19 02:00:01 PM,60.733,0.2553
26,08/07/19 03:00:01 PM,62.362,0.2542
27,08/07/19 04:00:01 PM,63.219,0.2542
28,08/07/19 05:00:01 PM,62.019,0.2538
29,08/07/19 06:00:01 PM,60.132,0.2571
30,08/07/19 07:00:01 PM,58.368,0.2575
31,08/07/19 08:00:01 PM,57.031,0.2571
32,08/07/19 09:00:01 PM,55.776,0.2575
33,08/07/19 10:00:01 PM,54.561,0.2579
34,08/07/19 11:00:01 PM,53.472,0.2579
35,08/08/19 12:00:01 AM,52.423,0.2579
36,08/08/19 01:00:01 AM,51.325,0.2582
37,08/08/19 02:00:01 AM,50.268,0.2585
38,08/08/19 03:00:01 AM,49.428,0.2585
39,08/08/19 04:00:01 AM,48.717,0.2585
40,08/08/19 05:00:01 AM,48.004,0.2589
41,08/08/19 06:00:01 AM,47.467,0.2589
42,08/08/19 07:00:01 AM,47.109,0.2589
43,08/08/19 08:00:01 AM,47.199,0.2585
44,08/08/19 09:00:01 AM,48.315,0.2571
45,08/08/19 10:00:01 AM,50.356,0.2564
46,08/08/19 11:00:01 AM,52.772,0.2553
47,08/08/19 12:00:01 PM,56.079,0.2542
48,08/08/19 01:00:01 PM,59.486,0.2532
49,08/08/19 02:00:01 PM,61.720,0.2520
50,08/08/19 03:00:01 PM,63.903,0.2512
51,08/08/19 04:00:01 PM,65.059,0.2509
52,08/08/19 05:00:01 PM,64.974,0.2509
53,08/08/19 06:00:01 PM,63.561,0.2509
54,08/08/19 07:00:01 PM,61.506,0.2509
55,08/08/19 08:00:01 PM,59.659,0.2512
56,08/08/19 09:00:01 PM,57.850,0.2516
57,08/08/19 10:00:01 PM,56.035,0.2516
58,08/08/19 11:00:01 PM,54.516,0.2524
59,08/09/19 12:00:01 AM,53.384,0.2528
60,08/09/19 01:00:01 AM,52.466,0.2532
61,08/09/19 02:00:01 AM,51.678,0.2542
62,08/09/19 03:00:01 AM,50.311,0.2646
63,08/09/19 04:00:01 AM,49.338,0.2632
64,08/09/19 05:00:01 AM,48.672,0.2621
65,08/09/19 06:00:01 AM,47.959,0.2618
66,08/09/19 07:00:01 AM,47.289,0.2615
67,08/09/19 08:00:01 AM,47.377,0.2604
68,08/09/19 09:00:01 AM,48.493,0.2589
69,08/09/19 10:00:01 AM,50.621,0.2579
70,08/09/19 11:00:01 AM,53.733,0.2557
71,08/09/19 12:00:01 PM,57.420,0.2542
72,08/09/19 01:00:01 PM,60.861,0.2534
73,08/09/19 02:00:01 PM,63.518,0.2520
74,08/09/19 03:00:01 PM,65.316,0.2509
75,08/09/19 04:00:01 PM,66.258,0.2502
76,08/09/19 05:00:01 PM,65.316,0.2502
77,08/09/19 06:00:01 PM,63.648,0.2502
78,08/09/19 07:00:01 PM,61.848,0.2502
79,08/09/19 08:00:01 PM,60.003,0.2494
80,08/09/19 09:00:01 PM,58.325,0.2498
81,08/09/19 10:00:01 PM,56.858,0.2505
82,08/09/19 11:00:01 PM,55.602,0.2498
83,08/10/19 12:00:01 AM,54.430,0.2512
84,08/10/19 01:00:01 AM,53.472,0.2516
85,08/10/19 02:00:01 AM,52.597,0.2516
86,08/10/19 03:00:01 AM,51.764,0.2516
87,08/10/19 04:00:01 AM,51.062,0.2516
88,08/10/19 05:00:01 AM,50.488,0.2520
89,08/10/19 06:00:01 AM,50.002,0.2516
90,08/10/19 07:00:01 AM,49.604,0.2524
91,08/10/19 08:00:01 AM,49.073,0.2585
92,08/10/19 09:00:01 AM,49.338,0.2575
93,08/10/19 10:00:01 AM,50.929,0.2557
94,08/10/19 11:00:01 AM,53.384,0.2532
95,08/10/19 12:00:01 PM,55.819,0.2524
96,08/10/19 01:00:01 PM,58.239,0.2516
97,08/10/19 02:00:01 PM,59.616,0.2505
98,08/10/19 03:00:01 PM,60.346,0.2505
99,08/10/19 04:00:01 PM,60.991,0.2502
100,08/10/19 05:00:01 PM,61.547,0.2494
101,08/10/19 06:00:01 PM,61.119,0.2487
102,08/10/19 07:00:01 PM,60.046,0.2490
103,08/10/19 08:00:01 PM,58.582,0.2490
104,08/10/19 09:00:01 PM,57.074,0.2494
105,08/10/19 10:00:01 PM,55.690,0.2494
106,08/10/19 11:00:01 PM,54.604,0.2494
107,08/11/19 12:00:01 AM,53.602,0.2498
108,08/11/19 01:00:01 AM,52.729,0.2502
109,08/11/19 02:00:01 AM,51.852,0.2502
110,08/11/19 03:00:01 AM,51.148,0.2502
111,08/11/19 04:00:01 AM,50.488,0.2502
112,08/11/19 05:00:01 AM,49.959,0.2505
113,08/11/19 06:00:01 AM,49.516,0.2512
114,08/11/19 07:00:01 AM,49.161,0.2516
115,08/11/19 08:00:01 AM,48.895,0.2528
116,08/11/19 09:00:01 AM,48.938,0.2528
117,08/11/19 10:00:01 AM,49.338,0.2542
118,08/11/19 11:00:01 AM,48.493,0.2908
119,08/11/19 12:00:01 PM,48.360,0.2919
120,08/11/19 01:00:01 PM,48.938,0.2864
121,08/11/19 02:00:01 PM,50.223,0.2810
122,08/11/19 03:00:01 PM,52.597,0.2776
123,08/11/19 04:00:01 PM,55.299,0.2743
124,08/11/19 05:00:01 PM,56.642,0.2722
125,08/11/19 06:00:01 PM,56.728,0.2701
126,08/11/19 07:00:01 PM,55.819,0.2687
127,08/11/19 08:00:01 PM,54.561,0.2680
128,08/11/19 09:00:01 PM,53.253,0.2673
129,08/11/19 10:00:01 PM,52.029,0.2670
130,08/11/19 11:00:01 PM,50.886,0.2666
131,08/12/19 12:00:01 AM,49.649,0.2712
132,08/12/19 01:00:01 AM,48.493,0.2719
133,08/12/19 02:00:01 AM,47.736,0.2715
134,08/12/19 03:00:01 AM,47.109,0.2712
135,08/12/19 04:00:01 AM,46.661,0.2712
136,08/12/19 05:00:01 AM,46.301,0.2705
137,08/12/19 06:00:01 AM,45.851,0.2701
138,08/12/19 07:00:01 AM,45.489,0.2698
139,08/12/19 08:00:01 AM,45.669,0.2691
140,08/12/19 09:00:01 AM,46.661,0.2680
141,08/12/19 10:00:01 AM,48.628,0.2670
142,08/12/19 11:00:01 AM,51.062,0.2657
143,08/12/19 12:00:01 PM,53.341,0.2650
144,08/12/19 01:00:01 PM,55.949,0.2635
145,08/12/19 02:00:01 PM,58.928,0.2621
146,08/12/19 03:00:01 PM,61.248,0.2611
147,08/12/19 04:00:01 PM,62.233,0.2604
148,08/12/19 05:00:01 PM,61.804,0.2596
149,08/12/19 06:00:01 PM,60.474,0.2592
150,08/12/19 07:00:01 PM,58.669,0.2589
151,08/12/19 08:00:01 PM,56.772,0.2596
152,08/12/19 09:00:01 PM,54.865,0.2596
153,08/12/19 10:00:01 PM,53.166,0.2600
154,08/12/19 11:00:01 PM,51.721,0.2600
155,08/13/19 12:00:01 AM,50.445,0.2600
156,08/13/19 01:00:01 AM,49.338,0.2596
157,08/13/19 02:00:01 AM,48.360,0.2600
158,08/13/19 03:00:01 AM,47.377,0.2600
159,08/13/19 04:00:01 AM,46.481,0.2596
160,08/13/19 05:00:01 AM,45.579,0.2596
161,08/13/19 06:00:01 AM,44.719,0.2596
162,08/13/19 07:00:01 AM,43.945,0.2600
163,08/13/19 08:00:01 AM,43.990,0.2596
164,08/13/19 09:00:01 AM,44.991,0.2582
165,08/13/19 10:00:01 AM,46.931,0.2560
166,08/13/19 11:00:01 AM,49.737,0.2553
167,08/13/19 12:00:01 PM,52.772,0.2546
168,08/13/19 01:00:01 PM,55.992,0.2538
169,08/13/19 02:00:01 PM,59.142,0.2524
170,08/13/19 03:00:01 PM,61.333,0.2498
171,08/13/19 04:00:01 PM,62.148,0.2509
172,08/13/19 05:00:01 PM,61.977,0.2494
173,08/13/19 06:00:01 PM,60.991,0.2502
174,08/13/19 07:00:01 PM,59.616,0.2502
175,08/13/19 08:00:01 PM,57.807,0.2498
176,08/13/19 09:00:01 PM,56.079,0.2509
177,08/13/19 10:00:01 PM,54.516,0.2498
178,08/13/19 11:00:01 PM,53.078,0.2520
179,08/14/19 12:00:01 AM,51.721,0.2524
180,08/14/19 01:00:01 AM,50.488,0.2512
181,08/14/19 02:00:01 AM,49.471,0.2512
182,08/14/19 03:00:01 AM,48.583,0.2516
183,08/14/19 04:00:01 AM,47.781,0.2532
184,08/14/19 05:00:01 AM,46.974,0.2532
185,08/14/19 06:00:01 AM,46.211,0.2532
186,08/14/19 07:00:01 AM,45.579,0.2528
187,08/14/19 08:00:01 AM,45.761,0.2516
188,08/14/19 09:00:01 AM,46.886,0.2516
189,08/14/19 10:00:01 AM,48.850,0.2494
190,08/14/19 11:00:01 AM,51.458,0.2460
191,08/14/19 12:00:01 PM,54.037,0.2441
192,08/14/19 01:00:01 PM,56.469,0.2434
193,08/14/19 02:00:01 PM,58.798,0.2441
194,08/14/19 03:00:01 PM,60.433,0.2430
195,08/14/19 04:00:01 PM,60.904,0.2421
196,08/14/19 05:00:01 PM,59.873,0.2410
197,08/14/19 06:00:01 PM,58.455,0.2425
