Plot Title: 20393604_SM_A_C1_ctrl,,,
#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 20393604, SEN S/N: 20391817, LBL: C1_R)","Water Content, m³/m³ (LGR S/N: 20393604, SEN S/N: 20399028, LBL: C1_R)"
1,6/14/18 13:00,35.298,0.2262
2,6/14/18 14:00,37.321,0.2282
3,6/14/18 15:00,38.984,0.2294
4,6/14/18 16:00,40.251,0.2299
5,6/14/18 17:00,41.369,0.2303
6,6/14/18 18:00,41.74,0.2306
7,6/14/18 19:00,41.554,0.2299
8,6/14/18 20:00,41.043,0.2299
9,6/14/18 21:00,40.626,0.2291
10,6/14/18 22:00,40.158,0.2286
11,6/14/18 23:00,39.69,0.2282
12,6/15/18 0:00,39.22,0.2282
13,6/15/18 1:00,38.795,0.2277
14,6/15/18 2:00,38.322,0.2269
15,6/15/18 3:00,37.893,0.2266
16,6/15/18 4:00,37.513,0.2266
17,6/15/18 5:00,37.13,0.2262
18,6/15/18 6:00,36.747,0.2257
19,6/15/18 7:00,36.361,0.2254
20,6/15/18 8:00,36.505,0.2249
21,6/15/18 9:00,37.274,0.2249
22,6/15/18 10:00,38.842,0.2241
23,6/15/18 11:00,40.532,0.2237
24,6/15/18 12:00,42.064,0.2237
25,6/15/18 13:00,44.582,0.2232
26,6/15/18 14:00,47.602,0.2224
27,6/15/18 15:00,49.825,0.2224
28,6/15/18 16:00,51.282,0.2216
29,6/15/18 17:00,52.291,0.2216
30,6/15/18 18:00,52.246,0.2211
31,6/15/18 19:00,51.458,0.2216
32,6/15/18 20:00,50.4,0.2216
33,6/15/18 21:00,49.161,0.2216
34,6/15/18 22:00,48.004,0.2219
35,6/15/18 23:00,46.974,0.2224
36,6/16/18 0:00,46.121,0.2224
37,6/16/18 1:00,45.307,0.2216
38,6/16/18 2:00,44.627,0.2216
39,6/16/18 3:00,43.99,0.2216
40,6/16/18 4:00,43.443,0.2211
41,6/16/18 5:00,42.939,0.2216
42,6/16/18 6:00,42.478,0.2211
43,6/16/18 7:00,41.925,0.2208
44,6/16/18 8:00,41.648,0.2208
45,6/16/18 9:00,41.97,0.2208
46,6/16/18 10:00,42.755,0.2203
47,6/16/18 11:00,43.396,0.2208
48,6/16/18 12:00,44.445,0.2203
49,6/16/18 13:00,45.307,0.2198
50,6/16/18 14:00,45.669,0.2216
51,6/16/18 15:00,45.986,0.2224
52,6/16/18 16:00,46.796,0.2219
53,6/16/18 17:00,47.422,0.2219
54,6/16/18 18:00,47.781,0.2216
55,6/16/18 19:00,47.602,0.2211
56,6/16/18 20:00,47.109,0.2208
57,6/16/18 21:00,46.481,0.2211
58,6/16/18 22:00,45.851,0.2216
59,6/16/18 23:00,45.262,0.2216
60,6/17/18 0:00,44.764,0.2216
61,6/17/18 1:00,44.31,0.2224
62,6/17/18 2:00,43.763,0.2237
63,6/17/18 3:00,43.396,0.2241
64,6/17/18 4:00,43.03,0.2249
65,6/17/18 5:00,42.616,0.2269
66,6/17/18 6:00,42.247,0.2262
67,6/17/18 7:00,41.925,0.2257
68,6/17/18 8:00,41.787,0.2254
69,6/17/18 9:00,41.925,0.2286
70,6/17/18 10:00,42.247,0.2286
71,6/17/18 11:00,43.167,0.2277
72,6/17/18 12:00,45.082,0.2282
73,6/17/18 13:00,46.931,0.2277
74,6/17/18 14:00,48.85,0.2266
75,6/17/18 15:00,50.929,0.2257
76,6/17/18 16:00,51.895,0.2229
77,6/17/18 17:00,51.105,0.2291
78,6/17/18 18:00,50.092,0.2286
79,6/17/18 19:00,49.737,0.2277
80,6/17/18 20:00,49.383,0.2282
81,6/17/18 21:00,48.717,0.2262
82,6/17/18 22:00,47.959,0.2266
83,6/17/18 23:00,47.199,0.2277
84,6/18/18 0:00,46.526,0.2262
85,6/18/18 1:00,45.896,0.2257
86,6/18/18 2:00,45.217,0.2254
87,6/18/18 3:00,44.537,0.2266
88,6/18/18 4:00,43.9,0.2254
89,6/18/18 5:00,43.259,0.2262
90,6/18/18 6:00,42.663,0.2241
91,6/18/18 7:00,42.156,0.2254
92,6/18/18 8:00,42.017,0.2245
93,6/18/18 9:00,42.294,0.2245
94,6/18/18 10:00,43.306,0.2241
95,6/18/18 11:00,44.719,0.2241
96,6/18/18 12:00,45.714,0.2237
97,6/18/18 13:00,47.064,0.2229
98,6/18/18 14:00,49.338,0.2224
99,6/18/18 15:00,51.721,0.2208
100,6/18/18 16:00,53.515,0.2198
101,6/18/18 17:00,54.343,0.2185
102,6/18/18 18:00,53.733,0.2185
103,6/18/18 19:00,52.554,0.219
104,6/18/18 20:00,51.148,0.2177
105,6/18/18 21:00,49.649,0.2182
106,6/18/18 22:00,48.182,0.2182
107,6/18/18 23:00,46.796,0.2182
108,6/19/18 0:00,45.534,0.2182
109,6/19/18 1:00,44.4,0.2182
110,6/19/18 2:00,43.396,0.2174
111,6/19/18 3:00,42.478,0.2174
112,6/19/18 4:00,41.601,0.2185
113,6/19/18 5:00,40.811,0.2182
114,6/19/18 6:00,40.158,0.219
115,6/19/18 7:00,39.549,0.2182
116,6/19/18 8:00,39.407,0.2182
117,6/19/18 9:00,39.924,0.2185
118,6/19/18 10:00,41.416,0.2185
119,6/19/18 11:00,43.763,0.2177
120,6/19/18 12:00,46.481,0.2169
121,6/19/18 13:00,49.428,0.2156
122,6/19/18 14:00,52.509,0.2143
123,6/19/18 15:00,55.125,0.2126
124,6/19/18 16:00,56.858,0.2122
125,6/19/18 17:00,57.679,0.2112
126,6/19/18 18:00,57.031,0.2104
127,6/19/18 19:00,55.647,0.2087
128,6/19/18 20:00,53.645,0.2092
129,6/19/18 21:00,51.809,0.2083
130,6/19/18 22:00,50.047,0.2083
131,6/19/18 23:00,48.36,0.2087
132,6/20/18 0:00,46.931,0.2092
133,6/20/18 1:00,45.579,0.2087
134,6/20/18 2:00,44.4,0.2087
135,6/20/18 3:00,43.351,0.2092
136,6/20/18 4:00,42.386,0.2104
137,6/20/18 5:00,41.508,0.2109
138,6/20/18 6:00,40.719,0.2109
139,6/20/18 7:00,40.111,0.2112
140,6/20/18 8:00,39.783,0.2112
141,6/20/18 9:00,40.298,0.2104
142,6/20/18 10:00,41.97,0.2095
143,6/20/18 11:00,44.719,0.2104
144,6/20/18 12:00,47.959,0.2078
145,6/20/18 13:00,51.458,0.207
146,6/20/18 14:00,54.604,0.2073
147,6/20/18 15:00,57.42,0.2056
148,6/20/18 16:00,59.229,0.2047
149,6/20/18 17:00,59.616,0.2047
150,6/20/18 18:00,58.541,0.2038
151,6/20/18 19:00,56.988,0.2012
152,6/20/18 20:00,55.168,0.2029
153,6/20/18 21:00,53.384,0.2017
154,6/20/18 22:00,51.678,0.2012
155,6/20/18 23:00,50.092,0.2017
156,6/21/18 0:00,48.717,0.2017
157,6/21/18 1:00,47.467,0.2008
158,6/21/18 2:00,46.301,0.2026
159,6/21/18 3:00,45.307,0.2008
160,6/21/18 4:00,44.4,0.2008
161,6/21/18 5:00,43.488,0.2008
162,6/21/18 6:00,42.616,0.2008
163,6/21/18 7:00,41.878,0.2017
164,6/21/18 8:00,41.648,0.2017
165,6/21/18 9:00,42.156,0.2026
166,6/21/18 10:00,43.808,0.2029
167,6/21/18 11:00,46.391,0.202
168,6/21/18 12:00,49.692,0.2012
169,6/21/18 13:00,53.515,0.1999
170,6/21/18 14:00,56.728,0.1963
171,6/21/18 15:00,59.229,0.1954
