"Plot Title: 20393604_SM_A_C1_ctrl"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20393604, SEN S/N: 20391817, LBL: C1_R)","Water Content, m³/m³ (LGR S/N: 20393604, SEN S/N: 20399028, LBL: C1_R)"
1,08/06/19 02:00:01 PM,60.260,0.2070
2,08/06/19 03:00:01 PM,60.818,0.2061
3,08/06/19 04:00:01 PM,61.590,0.2056
4,08/06/19 05:00:01 PM,61.934,0.2038
5,08/06/19 06:00:01 PM,60.904,0.2026
6,08/06/19 07:00:01 PM,59.616,0.2026
7,08/06/19 08:00:01 PM,58.066,0.2020
8,08/06/19 09:00:01 PM,56.512,0.2026
9,08/06/19 10:00:01 PM,55.125,0.2026
10,08/06/19 11:00:01 PM,53.733,0.2026
11,08/07/19 12:00:01 AM,52.291,0.2020
12,08/07/19 01:00:01 AM,51.017,0.2020
13,08/07/19 02:00:01 AM,49.959,0.2020
14,08/07/19 03:00:01 AM,49.116,0.2020
15,08/07/19 04:00:01 AM,48.227,0.2020
16,08/07/19 05:00:01 AM,47.289,0.2020
17,08/07/19 06:00:01 AM,46.481,0.2020
18,08/07/19 07:00:01 AM,45.669,0.2026
19,08/07/19 08:00:01 AM,45.579,0.2029
20,08/07/19 09:00:01 AM,46.301,0.2020
21,08/07/19 10:00:01 AM,47.736,0.2020
22,08/07/19 11:00:01 AM,49.692,0.2012
23,08/07/19 12:00:01 PM,52.072,0.2008
24,08/07/19 01:00:01 PM,55.949,0.1985
25,08/07/19 02:00:01 PM,59.401,0.1972
26,08/07/19 03:00:01 PM,60.733,0.1963
27,08/07/19 04:00:01 PM,62.319,0.1948
28,08/07/19 05:00:01 PM,61.804,0.1945
29,08/07/19 06:00:01 PM,59.873,0.1967
30,08/07/19 07:00:01 PM,58.152,0.1967
31,08/07/19 08:00:01 PM,56.858,0.1963
32,08/07/19 09:00:01 PM,55.558,0.1972
33,08/07/19 10:00:01 PM,54.343,0.1976
34,08/07/19 11:00:01 PM,53.209,0.1981
35,08/08/19 12:00:01 AM,52.203,0.1976
36,08/08/19 01:00:01 AM,51.105,0.1981
37,08/08/19 02:00:01 AM,50.002,0.1981
38,08/08/19 03:00:01 AM,49.073,0.1985
39,08/08/19 04:00:01 AM,48.360,0.1985
40,08/08/19 05:00:01 AM,47.557,0.1990
41,08/08/19 06:00:01 AM,46.931,0.1990
42,08/08/19 07:00:01 AM,46.481,0.1990
43,08/08/19 08:00:01 AM,46.346,0.1994
44,08/08/19 09:00:01 AM,47.019,0.1990
45,08/08/19 10:00:01 AM,48.628,0.1990
46,08/08/19 11:00:01 AM,50.752,0.1985
47,08/08/19 12:00:01 PM,53.690,0.1976
48,08/08/19 01:00:01 PM,57.290,0.1958
49,08/08/19 02:00:01 PM,60.046,0.1945
50,08/08/19 03:00:01 PM,62.362,0.1932
51,08/08/19 04:00:01 PM,64.375,0.1917
52,08/08/19 05:00:01 PM,65.316,0.1913
53,08/08/19 06:00:01 PM,64.546,0.1908
54,08/08/19 07:00:01 PM,62.490,0.1904
55,08/08/19 08:00:01 PM,60.604,0.1908
56,08/08/19 09:00:01 PM,58.798,0.1923
57,08/08/19 10:00:01 PM,56.944,0.1908
58,08/08/19 11:00:01 PM,55.299,0.1913
59,08/09/19 12:00:01 AM,54.037,0.1917
60,08/09/19 01:00:01 AM,52.992,0.1923
61,08/09/19 02:00:01 AM,52.072,0.1923
62,08/09/19 03:00:01 AM,50.709,0.1948
63,08/09/19 04:00:01 AM,49.516,0.1948
64,08/09/19 05:00:01 AM,48.672,0.1948
65,08/09/19 06:00:01 AM,47.959,0.1954
66,08/09/19 07:00:01 AM,47.109,0.1958
67,08/09/19 08:00:01 AM,46.796,0.1963
68,08/09/19 09:00:01 AM,47.467,0.1954
69,08/09/19 10:00:01 AM,49.028,0.1948
70,08/09/19 11:00:01 AM,51.764,0.1945
71,08/09/19 12:00:01 PM,55.342,0.1932
72,08/09/19 01:00:01 PM,59.142,0.1913
73,08/09/19 02:00:01 PM,62.490,0.1895
74,08/09/19 03:00:01 PM,65.102,0.1881
75,08/09/19 04:00:01 PM,66.900,0.1866
76,08/09/19 05:00:01 PM,66.729,0.1853
77,08/09/19 06:00:01 PM,64.931,0.1853
78,08/09/19 07:00:01 PM,62.919,0.1862
79,08/09/19 08:00:01 PM,60.991,0.1862
80,08/09/19 09:00:01 PM,59.185,0.1866
81,08/09/19 10:00:01 PM,57.722,0.1866
82,08/09/19 11:00:01 PM,56.426,0.1872
83,08/10/19 12:00:01 AM,55.213,0.1872
84,08/10/19 01:00:01 AM,54.082,0.1876
85,08/10/19 02:00:01 AM,53.166,0.1866
86,08/10/19 03:00:01 AM,52.291,0.1866
87,08/10/19 04:00:01 AM,51.501,0.1866
88,08/10/19 05:00:01 AM,50.841,0.1866
89,08/10/19 06:00:01 AM,50.223,0.1866
90,08/10/19 07:00:01 AM,49.737,0.1872
91,08/10/19 08:00:01 AM,49.204,0.1895
92,08/10/19 09:00:01 AM,49.338,0.1891
93,08/10/19 10:00:01 AM,50.886,0.1891
94,08/10/19 11:00:01 AM,53.209,0.1876
95,08/10/19 12:00:01 PM,55.472,0.1876
96,08/10/19 01:00:01 PM,57.765,0.1859
97,08/10/19 02:00:01 PM,59.315,0.1853
98,08/10/19 03:00:01 PM,60.346,0.1843
99,08/10/19 04:00:01 PM,60.948,0.1840
