Plot Title: Launch_9735547_PHb1,,,,,,,,,,,,,,
#,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012371)","Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012373)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700884)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700885)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9711280)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9719166)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9721330)","RH, % (LGR S/N: 9735547, SEN S/N: 9721330)","Voltage, V (LGR S/N: 9735547, SEN S/N: 9725497)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734394)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734402)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734405)","Batt, V (LGR S/N: 9735547)"
1,5/26/17 13:00,0.0896,0.2109,2553.7,2553.7,2553.7,55.949,69.728,26.3,-0.1835,741.9,50.6,58.1,4.393
2,5/26/17 14:00,0.0896,0.2124,1493.7,46.2,56.2,58.325,69.771,24.8,-0.1835,736.9,55.6,58.1,4.4
3,5/26/17 15:00,0.0933,0.2138,2143.7,66.2,81.2,60.046,79.435,23.5,-0.1835,1060.6,81.9,83.1,4.538
4,5/26/17 16:00,0.0983,0.2138,1711.2,56.2,68.7,61.119,74.381,20,-0.1835,853.1,70.6,73.1,4.4
5,5/26/17 17:00,0.0976,0.2138,1263.7,43.7,51.2,61.804,72.48,20,-0.1835,628.1,54.4,60.6,4.538
6,5/26/17 18:00,0.0969,0.2131,736.2,23.7,31.2,61.677,66.087,17.6,-0.1835,365.6,34.4,36.9,4.4
7,5/26/17 19:00,0.1005,0.2116,106.2,1.2,3.7,60.474,52.291,24.4,-0.1835,36.9,1.9,1.9,4.4
8,5/26/17 20:00,0.1005,0.2102,33.7,1.2,1.2,58.755,48.182,31.5,-0.1886,10.6,0.6,0.6,4.4
9,5/26/17 21:00,0.1012,0.2087,1.2,1.2,1.2,56.901,40.951,48.4,-0.1835,0.6,0.6,0.6,4.393
10,5/26/17 22:00,0.1005,0.2073,1.2,1.2,1.2,55.168,36.698,58.7,-0.1886,0.6,0.6,0.6,4.393
11,5/26/17 23:00,0.1005,0.2066,1.2,1.2,1.2,53.559,36.554,60.3,-0.1886,0.6,0.6,0.6,4.393
12,5/27/17 0:00,0.1012,0.2066,1.2,1.2,1.2,52.203,37.035,59.4,-0.1835,0.6,0.6,0.6,4.381
13,5/27/17 1:00,0.1005,0.2058,1.2,1.2,1.2,51.062,44.492,42.5,-0.1835,0.6,0.6,0.6,4.375
