Plot Title: 9735547_PHb1,,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00",,"Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012371)","Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012373)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700884)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700885)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9711280)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9719166)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9721330)","RH, % (LGR S/N: 9735547, SEN S/N: 9721330)","Voltage, V (LGR S/N: 9735547, SEN S/N: 9725497)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734394)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734405)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734418)","Batt, V (LGR S/N: 9735547)"
Site,Treatment,Date,Time,SWC.right,SWC.left,PAR.up,PAR.left,PAR.right,ST,Air.T,RH,V,SR.up,SR.left,SR.right,V
LM,control,4/26/2018,15:00,0.1572,0.2465,1701.2,43.7,58.7,43.99,57.893,25.8,-0.1835,844.4,36.9,45.6,4.393
LM,control,4/26/2018,15:10,0.1572,0.2436,1658.7,43.7,56.2,44.31,56.426,25.7,-0.1835,823.1,36.9,44.4,4.393
LM,control,4/26/2018,15:20,0.1572,0.2429,1613.7,43.7,56.2,44.627,56.772,23.9,-0.1835,804.4,35.6,44.4,4.4
LM,control,4/26/2018,15:30,0.1572,0.2429,1571.2,41.2,56.2,44.946,56.944,26.7,-0.1835,779.4,34.4,43.1,4.393
LM,control,4/26/2018,15:40,0.1564,0.2429,1526.2,41.2,53.7,45.217,56.512,24.2,-0.1835,756.9,34.4,41.9,4.418
LM,control,4/26/2018,15:50,0.1564,0.2429,1473.7,41.2,53.7,45.489,57.031,27.2,-0.1835,731.9,34.4,41.9,4.393
LM,control,4/26/2018,16:00,0.1564,0.2422,1423.7,38.7,51.2,45.714,56.469,25.9,-0.1835,705.6,33.1,40.6,4.418
LM,control,4/26/2018,16:10,0.1564,0.2422,1371.2,38.7,51.2,45.986,56.988,25.5,-0.1835,679.4,33.1,40.6,4.393
LM,control,4/26/2018,16:20,0.1572,0.2422,1313.7,38.7,48.7,46.166,56.426,25.6,-0.1835,650.6,31.9,39.4,4.418
LM,control,4/26/2018,16:30,0.1564,0.2414,1258.7,36.2,46.2,46.346,56.858,24.4,-0.1835,621.9,31.9,38.1,4.4
LM,control,4/26/2018,16:40,0.1564,0.2414,1191.2,33.7,43.7,46.526,56.988,25.1,-0.1835,591.9,30.6,36.9,4.526
LM,control,4/26/2018,16:50,0.1564,0.2407,1131.2,33.7,41.2,46.661,56.165,25.5,-0.1835,560.6,29.4,35.6,4.4
LM,control,4/26/2018,17:00,0.1564,0.2407,1068.7,31.2,38.7,46.796,57.333,25.8,-0.1835,529.4,28.1,33.1,4.393
LM,control,4/26/2018,17:10,0.155,0.2407,1003.7,28.7,36.2,46.841,55.256,24.2,-0.1835,498.1,26.9,31.9,4.4
