Plot Title: 9735547_SM_LM_B1_ctrl,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012371, LBL: LM_B1R)","Water Content, m³/m³ (LGR S/N: 9735547, SEN S/N: 2012373, LBL: LM_B1L)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700884, LBL: LM_B1L)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9700885, LBL: LM_B1L)","PAR, uE (LGR S/N: 9735547, SEN S/N: 9711280, LBL: LM_B1R)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9719166, LBL: LM_B1)","Temp, °F (LGR S/N: 9735547, SEN S/N: 9721330, LBL: LM_B1)","RH, % (LGR S/N: 9735547, SEN S/N: 9721330, LBL: LM_B1)","Voltage, V (LGR S/N: 9735547, SEN S/N: 9725497)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734394, LBL: LM_B1L)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734405, LBL: LM_B1L)","Solar Radiation, W/m² (LGR S/N: 9735547, SEN S/N: 9734418, LBL: LM_B1R)","Batt, V (LGR S/N: 9735547)"
Site,Treatment,Date.Time,SWC.right,SWC.left,PAR.up,PAR.left,PAR.right,ST.between,Air.T,RH,,SR.up,SR.left,SR.right,
LM,control,5/24/2019 15:00,0.0998,0.2196,2553.7,2553.7,2553.7,49.737,51.589,43.3,-0.1733,1180.6,59.4,66.9,4.4
LM,control,5/24/2019 15:10,0.0998,0.2196,1041.2,31.2,36.2,50.092,50.664,40.1,-0.1376,496.9,25.6,28.1,4.393
LM,control,5/24/2019 15:20,0.0991,0.2196,1358.7,41.2,48.7,50.356,49.649,43.9,-0.1274,654.4,34.4,39.4,4.442
LM,control,5/24/2019 15:30,0.0998,0.2196,1023.7,28.7,33.7,50.576,52.772,42.7,-0.1172,480.6,23.1,28.1,4.393
LM,control,5/24/2019 15:40,0.0991,0.2196,2136.2,61.2,73.7,50.797,50.268,46.8,-0.1172,1076.9,54.4,63.1,4.393
LM,control,5/24/2019 15:50,0.0991,0.2196,1926.2,53.7,66.2,50.974,53.951,41.2,-0.1121,965.6,48.1,56.9,4.4
LM,control,5/24/2019 16:00,0.0991,0.2196,1968.7,53.7,68.7,51.148,52.029,41.9,-0.0968,988.1,48.1,59.4,4.393
LM,control,5/24/2019 16:10,0.0991,0.2196,1918.7,53.7,66.2,51.325,53.341,43,-0.0866,961.9,48.1,58.1,4.418
LM,control,5/24/2019 16:20,0.0991,0.2189,696.2,18.7,23.7,51.458,51.325,41,-0.0765,333.1,16.9,19.4,4.393
LM,control,5/24/2019 16:30,0.0991,0.2196,1898.7,53.7,66.2,51.633,51.633,42.4,-0.0663,956.9,48.1,58.1,4.393
LM,control,5/24/2019 16:40,0.0991,0.2196,1693.7,46.2,58.7,51.764,53.298,40.8,-0.051,853.1,43.1,51.9,4.418
LM,control,5/24/2019 16:50,0.0983,0.2189,558.7,16.2,18.7,51.852,49.073,43,-0.0408,265.6,13.1,15.6,4.393
LM,control,5/24/2019 17:00,0.0983,0.2189,1368.7,36.2,46.2,51.984,51.852,40.5,-0.0357,671.9,34.4,39.4,4.393
LM,control,5/24/2019 17:10,0.0983,0.2189,1411.2,38.7,48.7,52.072,49.825,42.6,-0.0255,705.6,35.6,43.1,4.406
LM,control,5/24/2019 17:20,0.0983,0.2189,1201.2,31.2,41.2,52.115,48.004,46.5,-0.0255,594.4,29.4,36.9,4.393
LM,control,5/24/2019 17:30,0.0983,0.2182,1188.7,31.2,41.2,52.16,51.94,43.4,-0.0204,595.6,29.4,36.9,4.393
LM,control,5/24/2019 17:40,0.0983,0.2182,1208.7,31.2,41.2,52.203,52.029,41.2,-0.0051,610.6,29.4,38.1,4.406
LM,control,5/24/2019 17:50,0.0983,0.2175,463.7,11.2,16.2,52.203,48.762,42.8,0.0102,219.4,10.6,13.1,4.393
LM,control,5/24/2019 18:00,0.0983,0.2175,1093.7,26.2,38.7,52.203,51.017,41.9,0.0153,561.9,26.9,35.6,4.526
LM,control,5/24/2019 18:10,0.0983,0.2175,953.7,21.2,33.7,52.16,51.325,43.8,0.0255,489.4,21.9,30.6,4.4
