Plot Title: 9735539_PHb2,,,,,,,,,,,,,
#,"Date Time, GMT-06:00","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700886)","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700897)","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700898)","Temp, °F (LGR S/N: 9735539, SEN S/N: 9719147)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9719458)","Temp, °F (LGR S/N: 9735539, SEN S/N: 9721325)","RH, % (LGR S/N: 9735539, SEN S/N: 9721325)","Voltage, V (LGR S/N: 9735539, SEN S/N: 9725487)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9734410)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9734417)","Water Content, m³/m³ (LGR S/N: 9735539, SEN S/N: 20145934)","Water Content, m³/m³ (LGR S/N: 9735539, SEN S/N: 20145936)"
1,4/26/18 16:00,1676.2,46.2,63.7,43.716,51.9,56.34,26.8,-0.1988,873.1,48.1,0.277,0.2715
2,4/26/18 16:10,1616.2,46.2,58.7,43.624,49.4,56.599,25.8,-0.1988,844.4,46.9,0.2776,0.2736
3,4/26/18 16:20,1563.7,43.7,56.2,43.443,48.1,56.165,27,-0.1988,814.4,45.6,0.278,0.2746
4,4/26/18 16:30,1508.7,43.7,53.7,43.214,44.4,56.426,25.2,-0.1988,783.1,43.1,0.2783,0.2759
5,4/26/18 16:40,1443.7,41.2,51.2,42.984,41.9,56.901,26.3,-0.1988,751.9,41.9,0.279,0.2763
6,4/26/18 16:50,1378.7,41.2,48.7,42.708,39.4,55.992,25.9,-0.1988,718.1,41.9,0.279,0.277
7,4/26/18 17:00,1311.2,38.7,43.7,42.433,36.9,57.031,25.4,-0.1988,685.6,39.4,0.2793,0.2776
8,4/26/18 17:10,1246.2,36.2,41.2,42.202,34.4,54.777,24.5,-0.1988,650.6,38.1,0.2796,0.278
9,4/26/18 17:20,1171.2,36.2,38.7,41.925,31.9,56.165,27,-0.1988,616.9,36.9,0.28,0.2783
10,4/26/18 17:30,1101.2,33.7,33.7,41.648,29.4,56.122,25.7,-0.1988,579.4,35.6,0.28,0.2786
