Plot Title: 9735539_SM_LM_B2_trmt,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00",,"PAR, uE (LGR S/N: 9735539, SEN S/N: 9700886)","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700897)","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700898)","Temp, °F (LGR S/N: 9735539, SEN S/N: 9719147, LBL: LM_B2)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9719458)","Temp, °F (LGR S/N: 9735539, SEN S/N: 9721325)","RH, % (LGR S/N: 9735539, SEN S/N: 9721325)","Voltage, V (LGR S/N: 9735539, SEN S/N: 9725487)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9734410)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9734417)","Water Content, m³/m³ (LGR S/N: 9735539, SEN S/N: 20145934, LBL: LM_B2R)","Water Content, m³/m³ (LGR S/N: 9735539, SEN S/N: 20145936, LBL: LM_B2L)"
Site,Treatment,Date,Time,PAR.up,PAR.left,PAR.right,ST,SR.right,Air.T,RH,,SR.up,SR.left,SWC.right,SWC.left
LM,early,5/16/2019,16:00,2553.7,2241.2,2553.7,55.863,19.4,60.69,31.4,-0.1988,266.9,16.9,0.3231,0.3144
LM,early,5/16/2019,16:10,523.7,13.7,18.7,55.647,16.9,61.547,32.4,-0.1988,241.9,14.4,0.3231,0.3148
LM,early,5/16/2019,16:20,541.2,13.7,18.7,55.429,18.1,60.948,32.1,-0.1988,254.4,15.6,0.3228,0.3144
LM,early,5/16/2019,16:30,538.7,13.7,18.7,55.213,18.1,59.229,30.6,-0.1988,253.1,15.6,0.3231,0.3148
LM,early,5/16/2019,16:40,946.2,26.2,31.2,54.952,31.9,59.83,31.2,-0.1988,455.6,28.1,0.3228,0.3156
LM,early,5/16/2019,16:50,1248.7,33.7,43.7,54.734,41.9,64.117,27.5,-0.1988,605.6,36.9,0.3228,0.3144
LM,early,5/16/2019,17:00,1146.2,31.2,38.7,54.561,36.9,64.76,28.7,-0.1988,558.1,33.1,0.3231,0.3148
LM,early,5/16/2019,17:10,598.7,16.2,21.2,54.561,19.4,61.205,29.5,-0.1988,281.9,16.9,0.3235,0.3144
LM,early,5/16/2019,17:20,551.2,13.7,18.7,54.516,18.1,60.433,28.6,-0.1988,259.4,16.9,0.3235,0.3144
LM,early,5/16/2019,17:30,508.7,13.7,18.7,54.43,16.9,61.677,29.2,-0.1988,240.6,14.4,0.3231,0.3144
LM,early,5/16/2019,17:40,641.2,18.7,21.2,54.3,20.6,59.486,32.9,-0.1988,305.6,19.4,0.3231,0.3144
LM,early,5/16/2019,17:50,366.2,8.7,13.7,54.169,11.9,60.733,32.8,-0.1988,168.1,10.6,0.3231,0.3144
LM,early,5/16/2019,18:00,268.7,6.2,8.7,54.037,8.1,56.944,35.3,-0.1988,124.4,6.9,0.3235,0.314
LM,early,5/16/2019,18:10,158.7,3.7,3.7,53.865,4.4,57.506,32.4,-0.1988,71.9,4.4,0.3235,0.3148
LM,early,5/16/2019,18:20,133.7,3.7,3.7,53.602,3.1,55.038,41.1,-0.1988,59.4,3.1,0.3235,0.3151
LM,early,5/16/2019,18:30,171.2,3.7,3.7,53.341,5.6,54.734,37.2,-0.1988,80.6,4.4,0.3235,0.3144
LM,early,5/16/2019,18:40,183.7,3.7,6.2,53.035,5.6,54.212,42.1,-0.1988,86.9,4.4,0.3235,0.3144
