Plot Title: 10730462_Pfeiler,,,,,
#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 10730462, SEN S/N: 9719149)","Temp, °F (LGR S/N: 10730462, SEN S/N: 9719152)","Water Content, m³/m³ (LGR S/N: 10730462, SEN S/N: 10769163)","Water Content, m³/m³ (LGR S/N: 10730462, SEN S/N: 10769165)"
1,7/1/16 14:00,55.992,56.512,0.0889,0.0889
2,7/1/16 15:00,56.035,56.295,0.1027,0.1281
3,7/1/16 16:00,56.122,56.426,0.1477,0.2116
4,7/1/16 17:00,56.251,56.512,0.1586,0.1957
5,7/1/16 18:00,56.122,56.383,0.1659,0.187
6,7/1/16 19:00,55.906,56.122,0.1695,0.1804
7,7/1/16 20:00,55.558,55.733,0.171,0.1761
8,7/1/16 21:00,55.125,55.256,0.171,0.1717
9,7/1/16 22:00,54.604,54.734,0.171,0.1688
10,7/1/16 23:00,54.082,54.212,0.171,0.1666
11,7/2/16 0:00,53.602,53.82,0.1702,0.1637
12,7/2/16 1:00,53.166,53.427,0.1688,0.1615
13,7/2/16 2:00,52.729,52.992,0.1681,0.1601
14,7/2/16 3:00,52.335,52.641,0.1666,0.1579
15,7/2/16 4:00,51.94,52.246,0.1659,0.1564
16,7/2/16 5:00,51.589,51.895,0.1644,0.1557
17,7/2/16 6:00,51.237,51.589,0.1644,0.1535
18,7/2/16 7:00,51.062,51.413,0.1637,0.1528
19,7/2/16 8:00,51.148,51.589,0.163,0.1514
20,7/2/16 9:00,51.895,52.554,0.163,0.1499
21,7/2/16 10:00,52.86,53.515,0.1623,0.1492
22,7/2/16 11:00,53.865,54.43,0.1615,0.1477
23,7/2/16 12:00,55.992,56.685,0.1601,0.147
24,7/2/16 13:00,57.333,57.85,0.1608,0.1463
25,7/2/16 14:00,58.755,59.272,0.1601,0.1448
26,7/2/16 15:00,60.26,60.733,0.1586,0.1448
27,7/2/16 16:00,60.733,60.775,0.1586,0.1441
28,7/2/16 17:00,60.561,60.346,0.1579,0.1434
29,7/2/16 18:00,59.401,59.056,0.1811,0.1434
30,7/2/16 19:00,58.582,58.368,0.1819,0.1419
31,7/2/16 20:00,57.807,57.765,0.1804,0.1412
32,7/2/16 21:00,56.772,56.815,0.179,0.1412
33,7/2/16 22:00,55.647,55.776,0.1761,0.1397
34,7/2/16 23:00,54.561,54.734,0.1746,0.139
35,7/3/16 0:00,53.559,53.951,0.2247,0.2204
36,7/3/16 1:00,52.992,53.341,0.2276,0.2008
37,7/3/16 2:00,52.509,52.903,0.2233,0.1913
38,7/3/16 3:00,52.029,52.466,0.2247,0.1848
39,7/3/16 4:00,51.589,52.072,0.2247,0.1811
40,7/3/16 5:00,51.148,51.589,0.224,0.1775
41,7/3/16 6:00,50.664,51.017,0.2218,0.1746
42,7/3/16 7:00,50.092,50.445,0.2189,0.1717
43,7/3/16 8:00,49.87,50.356,0.216,0.1695
44,7/3/16 9:00,50.4,51.148,0.2138,0.1681
45,7/3/16 10:00,52.246,53.427,0.2116,0.1666
46,7/3/16 11:00,54.952,56.251,0.2087,0.1652
47,7/3/16 12:00,57.936,59.229,0.2073,0.1637
48,7/3/16 13:00,60.046,61.248,0.2051,0.1623
49,7/3/16 14:00,60.346,61.119,0.2015,0.1608
50,7/3/16 15:00,60.39,60.948,0.1986,0.1601
51,7/3/16 16:00,61.761,61.977,0.1978,0.1594
52,7/3/16 17:00,62.533,62.191,0.1942,0.1572
53,7/3/16 18:00,62.577,61.891,0.1928,0.1564
54,7/3/16 19:00,61.891,61.248,0.1906,0.1564
55,7/3/16 20:00,60.861,60.433,0.1884,0.155
56,7/3/16 21:00,59.401,59.185,0.1862,0.1535
57,7/3/16 22:00,57.679,57.549,0.184,0.1528
58,7/3/16 23:00,55.949,56.035,0.1819,0.1514
59,7/4/16 0:00,54.473,54.691,0.1804,0.1506
60,7/4/16 1:00,53.166,53.515,0.179,0.1499
61,7/4/16 2:00,52.029,52.466,0.1775,0.1492
62,7/4/16 3:00,51.017,51.501,0.1768,0.1485
63,7/4/16 4:00,50.092,50.621,0.1753,0.1477
64,7/4/16 5:00,49.204,49.737,0.1746,0.147
65,7/4/16 6:00,48.405,48.938,0.1732,0.1463
66,7/4/16 7:00,47.781,48.272,0.1732,0.1456
67,7/4/16 8:00,47.289,47.871,0.1724,0.1448
68,7/4/16 9:00,48.583,50.18,0.1717,0.1448
69,7/4/16 10:00,52.16,55.168,0.171,0.1448
70,7/4/16 11:00,56.772,59.445,0.171,0.1441
71,7/4/16 12:00,58.626,60.69,0.1717,0.1434
72,7/4/16 13:00,62.019,63.09,0.1724,0.1434
73,7/4/16 14:00,65.403,65.444,0.1724,0.1434
74,7/4/16 15:00,66.943,66.515,0.171,0.1434
75,7/4/16 16:00,67.671,66.985,0.1695,0.1434
76,7/4/16 17:00,68.013,66.558,0.1681,0.1426
77,7/4/16 18:00,67.627,65.615,0.1673,0.1426
78,7/4/16 19:00,66.258,64.418,0.1652,0.1419
79,7/4/16 20:00,64.247,62.919,0.1644,0.1412
80,7/4/16 21:00,62.105,61.248,0.1623,0.1412
81,7/4/16 22:00,60.174,59.702,0.1608,0.1405
82,7/4/16 23:00,58.368,58.195,0.1594,0.1397
83,7/5/16 0:00,56.858,56.988,0.1586,0.139
84,7/5/16 1:00,55.515,55.776,0.1572,0.1383
85,7/5/16 2:00,54.255,54.691,0.1543,0.1383
86,7/5/16 3:00,53.121,53.69,0.155,0.1376
87,7/5/16 4:00,52.115,52.729,0.1535,0.1368
88,7/5/16 5:00,51.325,52.029,0.1521,0.1368
89,7/5/16 6:00,50.886,51.764,0.1521,0.1361
90,7/5/16 7:00,50.664,51.633,0.1521,0.1361
