Plot Title: 20139117,,,
#,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20139117, SEN S/N: 20145935)","Temp, °F (LGR S/N: 20139117, SEN S/N: 20399272, LBL: A1_R)"
1,5/15/18 15:42,0.2911,
2,5/15/18 16:42,0.2959,
3,5/15/18 17:42,0.297,
4,5/15/18 18:42,0.2973,
5,5/15/18 19:42,0.2973,
6,5/15/18 20:42,0.2979,
7,5/15/18 21:42,0.2979,
8,5/15/18 22:42,0.2979,
9,5/15/18 23:42,0.2984,
10,5/16/18 0:42,0.2984,
11,5/16/18 1:42,0.2984,
12,5/16/18 2:42,0.2984,
13,5/16/18 3:42,0.2984,
14,5/16/18 4:42,0.2987,
15,5/16/18 5:42,0.2987,
16,5/16/18 6:42,0.299,
17,5/16/18 7:42,0.299,
18,5/16/18 8:42,0.2994,
19,5/16/18 9:42,0.2997,
20,5/16/18 10:42,0.2997,
21,5/16/18 11:42,0.2997,
22,5/16/18 12:42,0.2997,
23,5/16/18 13:42,0.2997,
24,5/16/18 14:42,0.299,
25,5/16/18 15:42,0.2994,
26,5/16/18 16:42,0.299,
27,5/16/18 17:42,0.2994,
28,5/16/18 18:42,0.299,
29,5/16/18 19:42,0.2987,
30,5/16/18 20:42,0.299,
31,5/16/18 21:42,0.299,
32,5/16/18 22:42,0.299,
33,5/16/18 23:42,0.299,
34,5/17/18 0:42,0.299,
35,5/17/18 1:42,0.299,
36,5/17/18 2:42,0.299,
37,5/17/18 3:42,0.299,
38,5/17/18 4:42,0.299,
39,5/17/18 5:42,0.299,
40,5/17/18 6:42,0.2994,
41,5/17/18 7:42,0.2994,
42,5/17/18 8:42,0.2997,
43,5/17/18 9:42,0.3001,
44,5/17/18 10:42,0.2997,
45,5/17/18 11:42,0.2997,
46,5/17/18 12:42,0.3001,
47,5/17/18 13:42,0.2997,
48,5/17/18 14:42,0.2994,
49,5/17/18 15:42,0.2994,
50,5/17/18 16:42,0.2994,
51,5/17/18 17:42,0.2994,
52,5/17/18 18:42,0.299,
53,5/17/18 19:42,0.2987,
54,5/17/18 20:42,0.2987,
55,5/17/18 21:42,0.2987,
56,5/17/18 22:42,0.2987,
57,5/17/18 23:42,0.2987,
58,5/18/18 0:42,0.2984,
59,5/18/18 1:42,0.2984,
60,5/18/18 2:42,0.2984,
61,5/18/18 3:42,0.299,
62,5/18/18 4:42,0.2987,
63,5/18/18 5:42,0.2987,
64,5/18/18 6:42,0.2987,
65,5/18/18 7:42,0.299,
66,5/18/18 8:42,0.2994,
67,5/18/18 9:42,0.2994,
68,5/18/18 10:42,0.2994,
69,5/18/18 11:42,0.2994,
70,5/18/18 12:42,0.299,
71,5/18/18 13:42,0.2987,
72,5/18/18 14:42,0.2984,
73,5/18/18 15:42,0.2987,
74,5/18/18 16:42,0.2984,
75,5/18/18 17:42,0.2984,
76,5/18/18 18:42,0.2979,
77,5/18/18 19:42,0.2979,
78,5/18/18 20:42,0.2979,
79,5/18/18 21:42,0.2976,
80,5/18/18 22:42,0.2979,
81,5/18/18 23:42,0.2979,
82,5/19/18 0:42,0.2976,
83,5/19/18 1:42,0.2976,
84,5/19/18 2:42,0.2976,
85,5/19/18 3:42,0.2976,
86,5/19/18 4:42,0.2976,
87,5/19/18 5:42,0.2976,
88,5/19/18 6:42,0.2976,
89,5/19/18 7:42,0.2976,
90,5/19/18 8:42,0.2984,
91,5/19/18 9:42,0.2984,
92,5/19/18 10:42,0.2984,
93,5/19/18 11:42,0.2979,
94,5/19/18 12:42,0.2979,
95,5/19/18 13:42,0.2979,
96,5/19/18 14:42,0.2976,
97,5/19/18 15:42,0.2976,
98,5/19/18 16:42,0.2976,
99,5/19/18 17:42,0.297,
100,5/19/18 18:42,0.297,
101,5/19/18 19:42,0.297,
102,5/19/18 20:42,0.297,
103,5/19/18 21:42,0.2973,
104,5/19/18 22:42,0.2973,
105,5/19/18 23:42,0.2973,
106,5/20/18 0:42,0.2973,
107,5/20/18 1:42,0.2973,
108,5/20/18 2:42,0.2973,
109,5/20/18 3:42,0.2973,
110,5/20/18 4:42,0.2973,
111,5/20/18 5:42,0.2976,
112,5/20/18 6:42,0.2976,
113,5/20/18 7:42,0.2976,
114,5/20/18 8:42,0.2979,
115,5/20/18 9:42,0.2979,
116,5/20/18 10:42,0.2979,
117,5/20/18 11:42,0.2976,
118,5/20/18 12:42,0.2973,
119,5/20/18 13:42,0.297,
120,5/20/18 14:42,0.297,
121,5/20/18 15:42,0.297,
122,5/20/18 16:42,0.297,
123,5/20/18 17:42,0.2966,
124,5/20/18 18:42,0.2966,
125,5/20/18 19:42,0.2966,
126,5/20/18 20:42,0.2966,
127,5/20/18 21:42,0.2966,
128,5/20/18 22:42,0.2966,
129,5/20/18 23:42,0.2963,
130,5/21/18 0:42,0.2966,
131,5/21/18 1:42,0.297,
132,5/21/18 2:42,0.2966,
133,5/21/18 3:42,0.2966,
134,5/21/18 4:42,0.297,
135,5/21/18 5:42,0.297,
136,5/21/18 6:42,0.2966,
137,5/21/18 7:42,0.297,
138,5/21/18 8:42,0.2973,
139,5/21/18 9:42,0.2976,
140,5/21/18 10:42,0.2973,
141,5/21/18 11:42,0.2976,
142,5/21/18 12:42,0.2976,
143,5/21/18 13:42,0.2973,
144,5/21/18 14:42,0.2966,
145,5/21/18 15:42,0.2966,
146,5/21/18 16:42,0.2966,
147,5/21/18 17:42,0.2963,
148,5/21/18 18:42,0.2963,
149,5/21/18 19:42,0.2963,
150,5/21/18 20:42,0.2963,
151,5/21/18 21:42,0.2963,
152,5/21/18 22:42,0.2959,
153,5/21/18 23:42,0.2959,
154,5/22/18 0:42,0.2959,
155,5/22/18 1:42,0.2963,
156,5/22/18 2:42,0.2963,
157,5/22/18 3:42,0.2963,
158,5/22/18 4:42,0.2963,
159,5/22/18 5:42,0.2959,
160,5/22/18 6:42,0.2963,
161,5/22/18 7:42,0.2963,
162,5/22/18 8:42,0.2966,
163,5/22/18 9:42,0.2966,
164,5/22/18 10:42,0.2966,
165,5/22/18 11:42,0.2966,
166,5/22/18 12:42,0.2963,
167,5/22/18 13:42,0.2963,
168,5/22/18 14:42,0.2959,
169,5/22/18 15:42,0.2959,
170,5/22/18 16:42,0.2955,
171,5/22/18 17:42,0.2955,
172,5/22/18 18:42,0.2955,
173,5/22/18 19:42,0.2949,
174,5/22/18 20:42,0.2952,
175,5/22/18 21:42,0.2952,
176,5/22/18 22:42,0.2952,
177,5/22/18 23:42,0.2952,
178,5/23/18 0:42,0.2952,
179,5/23/18 1:42,0.2952,
180,5/23/18 2:42,0.2952,
181,5/23/18 3:42,0.2949,
182,5/23/18 4:42,0.2952,
183,5/23/18 5:42,0.2949,
184,5/23/18 6:42,0.2952,
185,5/23/18 7:42,0.2952,
186,5/23/18 8:42,0.2955,
187,5/23/18 9:42,0.2955,
188,5/23/18 10:42,0.2955,
189,5/23/18 11:42,0.2952,
190,5/23/18 12:42,0.2949,
191,5/23/18 13:42,0.2952,
192,5/23/18 14:42,0.2949,
193,5/23/18 15:42,0.2949,
194,5/23/18 16:42,0.2949,
195,5/23/18 17:42,0.2942,
196,5/23/18 18:42,0.2938,
197,5/23/18 19:42,0.2935,
198,5/23/18 20:42,0.2935,
199,5/23/18 21:42,0.2935,
200,5/23/18 22:42,0.2935,
201,5/23/18 23:42,0.2935,
202,5/24/18 0:42,0.2938,
203,5/24/18 1:42,0.2938,
204,5/24/18 2:42,0.2935,
205,5/24/18 3:42,0.2935,
206,5/24/18 4:42,0.2935,
207,5/24/18 5:42,0.2938,
208,5/24/18 6:42,0.2935,
209,5/24/18 7:42,0.2935,
210,5/24/18 8:42,0.2942,
211,5/24/18 9:42,0.2946,
212,5/24/18 10:42,0.2942,
213,5/24/18 11:42,0.2938,
214,5/24/18 12:42,0.2935,
215,5/24/18 13:42,0.2932,
216,5/24/18 14:42,0.2928,
217,5/24/18 15:42,0.2932,
218,5/24/18 16:42,0.2925,
219,5/24/18 17:42,0.2925,
220,5/24/18 18:42,0.2922,
221,5/24/18 19:42,0.2919,
222,5/24/18 20:42,0.2919,
223,5/24/18 21:42,0.2914,
224,5/24/18 22:42,0.2919,
225,5/24/18 23:42,0.2919,
226,5/25/18 0:42,0.2914,
227,5/25/18 1:42,0.2914,
228,5/25/18 2:42,0.2914,
229,5/25/18 3:42,0.2914,
230,5/25/18 4:42,0.2914,
231,5/25/18 5:42,0.2911,
232,5/25/18 6:42,0.2911,
233,5/25/18 7:42,0.2911,
234,5/25/18 8:42,0.2919,
235,5/25/18 9:42,0.2919,
236,5/25/18 10:42,0.2922,
237,5/25/18 11:42,0.2919,
238,5/25/18 12:42,0.2911,
239,5/25/18 13:42,0.2908,
240,5/25/18 14:42,0.2904,
241,5/25/18 15:42,0.2904,
242,5/25/18 16:42,0.2901,
243,5/25/18 17:42,0.2898,
244,5/25/18 18:42,0.2895,
245,5/25/18 19:42,0.2887,
246,5/25/18 20:42,0.2884,
247,5/25/18 21:42,0.2884,
248,5/25/18 22:42,0.2884,
249,5/25/18 23:42,0.2884,
250,5/26/18 0:42,0.2881,
251,5/26/18 1:42,0.2884,
252,5/26/18 2:42,0.2881,
253,5/26/18 3:42,0.2881,
254,5/26/18 4:42,0.2884,
255,5/26/18 5:42,0.2881,
256,5/26/18 6:42,0.2881,
257,5/26/18 7:42,0.2881,
258,5/26/18 8:42,0.2884,
259,5/26/18 9:42,0.2884,
260,5/26/18 10:42,0.2884,
261,5/26/18 11:42,0.2881,
262,5/26/18 12:42,0.2877,
263,5/26/18 13:42,0.2871,
264,5/26/18 14:42,0.2868,
265,5/26/18 15:42,0.2864,
266,5/26/18 16:42,0.2861,
267,5/26/18 17:42,0.2857,
268,5/26/18 18:42,0.285,
269,5/26/18 19:42,0.285,
270,5/26/18 20:42,0.2847,
271,5/26/18 21:42,0.285,
272,5/26/18 22:42,0.285,
273,5/26/18 23:42,0.2847,
274,5/27/18 0:42,0.2847,
275,5/27/18 1:42,0.2847,
276,5/27/18 2:42,0.2847,
277,5/27/18 3:42,0.2847,
278,5/27/18 4:42,0.2847,
279,5/27/18 5:42,0.2847,
280,5/27/18 6:42,0.2847,
