Plot Title: 20147179,,,
#,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20147179, SEN S/N: 20145939)","Temp, °F (LGR S/N: 20147179, SEN S/N: 20399270, LBL: A2_L)"
1,5/15/18 15:30,0.2786,
2,5/15/18 16:30,0.2813,
3,5/15/18 17:30,0.2824,
4,5/15/18 18:30,0.283,
5,5/15/18 19:30,0.2834,
6,5/15/18 20:30,0.2837,
7,5/15/18 21:30,0.2837,
8,5/15/18 22:30,0.284,
9,5/15/18 23:30,0.284,
10,5/16/18 0:30,0.284,
11,5/16/18 1:30,0.2844,
12,5/16/18 2:30,0.2844,
13,5/16/18 3:30,0.2844,
14,5/16/18 4:30,0.2844,
15,5/16/18 5:30,0.2844,
16,5/16/18 6:30,0.2844,
17,5/16/18 7:30,0.2844,
18,5/16/18 8:30,0.285,
19,5/16/18 9:30,0.2853,
20,5/16/18 10:30,0.2857,
21,5/16/18 11:30,0.2853,
22,5/16/18 12:30,0.285,
23,5/16/18 13:30,0.285,
24,5/16/18 14:30,0.2847,
25,5/16/18 15:30,0.2847,
26,5/16/18 16:30,0.2847,
27,5/16/18 17:30,0.2847,
28,5/16/18 18:30,0.285,
29,5/16/18 19:30,0.2847,
30,5/16/18 20:30,0.2847,
31,5/16/18 21:30,0.2847,
32,5/16/18 22:30,0.2847,
33,5/16/18 23:30,0.2847,
34,5/17/18 0:30,0.2847,
35,5/17/18 1:30,0.2847,
36,5/17/18 2:30,0.2847,
37,5/17/18 3:30,0.2847,
38,5/17/18 4:30,0.2847,
39,5/17/18 5:30,0.2847,
40,5/17/18 6:30,0.2847,
41,5/17/18 7:30,0.285,
42,5/17/18 8:30,0.2853,
43,5/17/18 9:30,0.2861,
44,5/17/18 10:30,0.2857,
45,5/17/18 11:30,0.2853,
46,5/17/18 12:30,0.2853,
47,5/17/18 13:30,0.2847,
48,5/17/18 14:30,0.2847,
49,5/17/18 15:30,0.2847,
50,5/17/18 16:30,0.2847,
51,5/17/18 17:30,0.2844,
52,5/17/18 18:30,0.2844,
53,5/17/18 19:30,0.2844,
54,5/17/18 20:30,0.284,
55,5/17/18 21:30,0.284,
56,5/17/18 22:30,0.284,
57,5/17/18 23:30,0.284,
58,5/18/18 0:30,0.284,
59,5/18/18 1:30,0.284,
60,5/18/18 2:30,0.284,
61,5/18/18 3:30,0.284,
62,5/18/18 4:30,0.284,
63,5/18/18 5:30,0.284,
64,5/18/18 6:30,0.284,
65,5/18/18 7:30,0.284,
66,5/18/18 8:30,0.2844,
67,5/18/18 9:30,0.2847,
68,5/18/18 10:30,0.2844,
69,5/18/18 11:30,0.2844,
70,5/18/18 12:30,0.2844,
71,5/18/18 13:30,0.284,
72,5/18/18 14:30,0.284,
73,5/18/18 15:30,0.2837,
74,5/18/18 16:30,0.2837,
75,5/18/18 17:30,0.2837,
76,5/18/18 18:30,0.2834,
77,5/18/18 19:30,0.2834,
78,5/18/18 20:30,0.2834,
79,5/18/18 21:30,0.2834,
80,5/18/18 22:30,0.283,
81,5/18/18 23:30,0.2834,
82,5/19/18 0:30,0.2834,
83,5/19/18 1:30,0.2834,
84,5/19/18 2:30,0.2834,
85,5/19/18 3:30,0.2834,
86,5/19/18 4:30,0.2834,
87,5/19/18 5:30,0.2834,
88,5/19/18 6:30,0.2834,
89,5/19/18 7:30,0.2834,
90,5/19/18 8:30,0.2837,
91,5/19/18 9:30,0.284,
92,5/19/18 10:30,0.2837,
93,5/19/18 11:30,0.2834,
94,5/19/18 12:30,0.283,
95,5/19/18 13:30,0.283,
96,5/19/18 14:30,0.283,
97,5/19/18 15:30,0.2827,
98,5/19/18 16:30,0.2827,
99,5/19/18 17:30,0.2827,
100,5/19/18 18:30,0.2824,
101,5/19/18 19:30,0.2824,
102,5/19/18 20:30,0.2821,
103,5/19/18 21:30,0.2824,
104,5/19/18 22:30,0.283,
105,5/19/18 23:30,0.2824,
106,5/20/18 0:30,0.2817,
107,5/20/18 1:30,0.2806,
108,5/20/18 2:30,0.281,
109,5/20/18 3:30,0.2806,
110,5/20/18 4:30,0.2806,
111,5/20/18 5:30,0.2806,
112,5/20/18 6:30,0.2806,
113,5/20/18 7:30,0.2806,
114,5/20/18 8:30,0.2824,
115,5/20/18 9:30,0.2824,
116,5/20/18 10:30,0.2827,
117,5/20/18 11:30,0.2827,
118,5/20/18 12:30,0.2827,
119,5/20/18 13:30,0.2827,
120,5/20/18 14:30,0.2824,
121,5/20/18 15:30,0.2824,
122,5/20/18 16:30,0.2824,
123,5/20/18 17:30,0.2824,
124,5/20/18 18:30,0.2821,
125,5/20/18 19:30,0.2821,
126,5/20/18 20:30,0.2821,
127,5/20/18 21:30,0.2821,
128,5/20/18 22:30,0.2821,
129,5/20/18 23:30,0.2821,
130,5/21/18 0:30,0.2817,
131,5/21/18 1:30,0.2817,
132,5/21/18 2:30,0.2817,
133,5/21/18 3:30,0.2817,
134,5/21/18 4:30,0.2821,
135,5/21/18 5:30,0.2821,
136,5/21/18 6:30,0.2817,
137,5/21/18 7:30,0.2817,
138,5/21/18 8:30,0.2803,
139,5/21/18 9:30,0.2827,
140,5/21/18 10:30,0.2827,
141,5/21/18 11:30,0.2824,
142,5/21/18 12:30,0.2824,
143,5/21/18 13:30,0.2821,
144,5/21/18 14:30,0.2821,
145,5/21/18 15:30,0.2821,
146,5/21/18 16:30,0.2817,
147,5/21/18 17:30,0.2817,
148,5/21/18 18:30,0.2817,
149,5/21/18 19:30,0.2813,
150,5/21/18 20:30,0.2813,
151,5/21/18 21:30,0.2813,
152,5/21/18 22:30,0.2813,
153,5/21/18 23:30,0.2813,
154,5/22/18 0:30,0.2813,
155,5/22/18 1:30,0.2813,
156,5/22/18 2:30,0.281,
157,5/22/18 3:30,0.281,
158,5/22/18 4:30,0.281,
159,5/22/18 5:30,0.281,
160,5/22/18 6:30,0.281,
161,5/22/18 7:30,0.281,
162,5/22/18 8:30,0.2803,
163,5/22/18 9:30,0.2817,
164,5/22/18 10:30,0.2817,
165,5/22/18 11:30,0.2813,
166,5/22/18 12:30,0.281,
167,5/22/18 13:30,0.281,
168,5/22/18 14:30,0.2806,
169,5/22/18 15:30,0.2806,
170,5/22/18 16:30,0.2806,
171,5/22/18 17:30,0.2806,
172,5/22/18 18:30,0.2803,
173,5/22/18 19:30,0.2803,
174,5/22/18 20:30,0.2803,
175,5/22/18 21:30,0.28,
176,5/22/18 22:30,0.28,
177,5/22/18 23:30,0.28,
178,5/23/18 0:30,0.28,
179,5/23/18 1:30,0.28,
180,5/23/18 2:30,0.28,
181,5/23/18 3:30,0.28,
182,5/23/18 4:30,0.28,
183,5/23/18 5:30,0.28,
184,5/23/18 6:30,0.28,
185,5/23/18 7:30,0.2803,
186,5/23/18 8:30,0.2806,
187,5/23/18 9:30,0.2806,
188,5/23/18 10:30,0.2803,
189,5/23/18 11:30,0.28,
190,5/23/18 12:30,0.2796,
191,5/23/18 13:30,0.2796,
192,5/23/18 14:30,0.2796,
193,5/23/18 15:30,0.2793,
194,5/23/18 16:30,0.2793,
195,5/23/18 17:30,0.279,
196,5/23/18 18:30,0.279,
197,5/23/18 19:30,0.279,
198,5/23/18 20:30,0.279,
199,5/23/18 21:30,0.2786,
200,5/23/18 22:30,0.2786,
201,5/23/18 23:30,0.279,
202,5/24/18 0:30,0.279,
203,5/24/18 1:30,0.279,
204,5/24/18 2:30,0.2786,
205,5/24/18 3:30,0.2786,
206,5/24/18 4:30,0.2786,
207,5/24/18 5:30,0.2786,
208,5/24/18 6:30,0.2786,
209,5/24/18 7:30,0.2786,
210,5/24/18 8:30,0.279,
211,5/24/18 9:30,0.279,
212,5/24/18 10:30,0.279,
213,5/24/18 11:30,0.2786,
214,5/24/18 12:30,0.2783,
215,5/24/18 13:30,0.278,
216,5/24/18 14:30,0.2776,
217,5/24/18 15:30,0.2773,
218,5/24/18 16:30,0.2773,
219,5/24/18 17:30,0.2773,
220,5/24/18 18:30,0.2776,
221,5/24/18 19:30,0.2776,
222,5/24/18 20:30,0.2776,
223,5/24/18 21:30,0.278,
224,5/24/18 22:30,0.2776,
225,5/24/18 23:30,0.2776,
226,5/25/18 0:30,0.2776,
227,5/25/18 1:30,0.2773,
228,5/25/18 2:30,0.2776,
229,5/25/18 3:30,0.2776,
230,5/25/18 4:30,0.2776,
231,5/25/18 5:30,0.2776,
232,5/25/18 6:30,0.2773,
233,5/25/18 7:30,0.2773,
234,5/25/18 8:30,0.2776,
235,5/25/18 9:30,0.2776,
236,5/25/18 10:30,0.2773,
237,5/25/18 11:30,0.277,
238,5/25/18 12:30,0.2766,
239,5/25/18 13:30,0.2763,
240,5/25/18 14:30,0.2759,
241,5/25/18 15:30,0.2756,
242,5/25/18 16:30,0.2753,
