"Plot Title: 20139117_SM_LSA_A2_trmt"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20139117, SEN S/N: 20145939, LBL: A2_Lmeadow)","Temp, °F (LGR S/N: 20139117, SEN S/N: 20399270, LBL: A2L_meadow)"
1,07/12/19 03:00:01 PM,0.1634,67.971
2,07/12/19 04:00:01 PM,0.1623,68.099
3,07/12/19 05:00:01 PM,0.1619,67.671
4,07/12/19 06:00:01 PM,0.1619,67.028
5,07/12/19 07:00:01 PM,0.1619,66.087
6,07/12/19 08:00:01 PM,0.1623,64.888
7,07/12/19 09:00:01 PM,0.1634,63.304
8,07/12/19 10:00:01 PM,0.1634,61.761
9,07/12/19 11:00:01 PM,0.1638,60.346
10,07/13/19 12:00:01 AM,0.1642,59.142
11,07/13/19 01:00:01 AM,0.1648,58.066
12,07/13/19 02:00:01 AM,0.1648,57.074
13,07/13/19 03:00:01 AM,0.1648,56.165
14,07/13/19 04:00:01 AM,0.1652,55.342
15,07/13/19 05:00:01 AM,0.1656,54.604
16,07/13/19 06:00:01 AM,0.1656,53.908
17,07/13/19 07:00:01 AM,0.1656,53.298
18,07/13/19 08:00:01 AM,0.1656,52.860
19,07/13/19 09:00:01 AM,0.1648,53.472
20,07/13/19 10:00:01 AM,0.1629,55.863
21,07/13/19 11:00:01 AM,0.1615,58.755
22,07/13/19 12:00:01 PM,0.1604,61.633
23,07/13/19 01:00:01 PM,0.1596,63.347
24,07/13/19 02:00:01 PM,0.1590,64.117
25,07/13/19 03:00:01 PM,0.1581,64.717
26,07/13/19 04:00:01 PM,0.1577,65.574
27,07/13/19 05:00:01 PM,0.1577,65.017
28,07/13/19 06:00:01 PM,0.1581,64.117
29,07/13/19 07:00:01 PM,0.1581,63.390
30,07/13/19 08:00:01 PM,0.1590,62.362
31,07/13/19 09:00:01 PM,0.1590,61.248
32,07/13/19 10:00:01 PM,0.1596,60.132
33,07/13/19 11:00:01 PM,0.1596,59.014
34,07/14/19 12:00:01 AM,0.1600,58.066
35,07/14/19 01:00:01 AM,0.1604,57.204
36,07/14/19 02:00:01 AM,0.1604,56.469
37,07/14/19 03:00:01 AM,0.1608,55.733
38,07/14/19 04:00:01 AM,0.1604,55.038
39,07/14/19 05:00:01 AM,0.1604,54.430
40,07/14/19 06:00:01 AM,0.1608,53.994
41,07/14/19 07:00:01 AM,0.1608,53.733
42,07/14/19 08:00:01 AM,0.1608,53.820
43,07/14/19 09:00:01 AM,0.1600,54.343
44,07/14/19 10:00:01 AM,0.1596,55.558
45,07/14/19 11:00:01 AM,0.1581,57.549
46,07/14/19 12:00:01 PM,0.1577,59.916
47,07/14/19 01:00:01 PM,0.1566,61.506
48,07/14/19 02:00:01 PM,0.1558,63.390
49,07/14/19 03:00:01 PM,0.1551,64.288
50,07/14/19 04:00:01 PM,0.1547,64.589
51,07/14/19 05:00:01 PM,0.1547,64.717
52,07/14/19 06:00:01 PM,0.1547,64.418
53,07/14/19 07:00:01 PM,0.1547,63.604
54,07/14/19 08:00:01 PM,0.1551,62.661
55,07/14/19 09:00:01 PM,0.1551,61.590
56,07/14/19 10:00:01 PM,0.1562,60.390
57,07/14/19 11:00:01 PM,0.1562,59.229
58,07/15/19 12:00:01 AM,0.1562,58.239
59,07/15/19 01:00:01 AM,0.1566,57.290
60,07/15/19 02:00:01 AM,0.1566,56.426
61,07/15/19 03:00:01 AM,0.1570,55.690
62,07/15/19 04:00:01 AM,0.1570,54.952
63,07/15/19 05:00:01 AM,0.1577,54.255
64,07/15/19 06:00:01 AM,0.1570,53.602
65,07/15/19 07:00:01 AM,0.1577,53.078
66,07/15/19 08:00:01 AM,0.1577,52.729
67,07/15/19 09:00:01 AM,0.1566,53.298
68,07/15/19 10:00:01 AM,0.1551,55.733
69,07/15/19 11:00:01 AM,0.1551,57.290
70,07/15/19 12:00:01 PM,0.1538,59.056
71,07/15/19 01:00:01 PM,0.1527,62.062
72,07/15/19 02:00:01 PM,0.1519,64.803
73,07/15/19 03:00:01 PM,0.1519,66.214
74,07/15/19 04:00:01 PM,0.1508,66.600
75,07/15/19 05:00:01 PM,0.1503,66.429
76,07/15/19 06:00:01 PM,0.1508,65.829
77,07/15/19 07:00:01 PM,0.1514,64.717
78,07/15/19 08:00:01 PM,0.1514,63.433
79,07/15/19 09:00:01 PM,0.1519,62.191
80,07/15/19 10:00:01 PM,0.1523,60.861
81,07/15/19 11:00:01 PM,0.1527,59.616
82,07/16/19 12:00:01 AM,0.1527,58.541
83,07/16/19 01:00:01 AM,0.1527,57.549
84,07/16/19 02:00:01 AM,0.1527,56.642
85,07/16/19 03:00:01 AM,0.1532,55.819
86,07/16/19 04:00:01 AM,0.1538,55.125
87,07/16/19 05:00:01 AM,0.1538,54.648
88,07/16/19 06:00:01 AM,0.1538,54.169
89,07/16/19 07:00:01 AM,0.1538,53.690
90,07/16/19 08:00:01 AM,0.1538,53.341
91,07/16/19 09:00:01 AM,0.1523,53.994
92,07/16/19 10:00:01 AM,0.1519,56.295
93,07/16/19 11:00:01 AM,0.1503,58.798
94,07/16/19 12:00:01 PM,0.1495,61.419
95,07/16/19 01:00:01 PM,0.1490,64.033
