Plot Title: 9735540_Pfeiler_B1,,,,,,,,,,,,,,,
#,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735540, SEN S/N: 2012372)","Temp, °F (LGR S/N: 9735540, SEN S/N: 9680600)","PAR, uE (LGR S/N: 9735540, SEN S/N: 9700883)","PAR, uE (LGR S/N: 9735540, SEN S/N: 9700893)","PAR, uE (LGR S/N: 9735540, SEN S/N: 9700900)","Temp, °F (LGR S/N: 9735540, SEN S/N: 9721335)","RH, % (LGR S/N: 9735540, SEN S/N: 9721335)","Voltage, V (LGR S/N: 9735540, SEN S/N: 9725488)","Current, mA (LGR S/N: 9735540, SEN S/N: 9725488)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734398)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734403)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734407)","Water Content, m³/m³ (LGR S/N: 9735540, SEN S/N: 10769153)","Batt, V (LGR S/N: 9735540)"
1,5/15/18 17:00,0.1688,60.303,38.7,28.7,1011.2,61.376,24.8,-0.1937,0,28.1,489.4,35.6,0.1259,4.442
2,5/15/18 17:10,0.1681,60.089,3.7,3.7,148.7,56.556,27.1,-0.1988,0,1.9,51.9,1.9,0.1259,4.351
3,5/15/18 17:20,0.1681,59.702,33.7,23.7,891.2,59.315,26.2,-0.1988,0,25.6,431.9,31.9,0.1259,4.496
4,5/15/18 17:30,0.1681,59.272,23.7,16.2,636.2,55.429,26.9,-0.2039,0,18.1,296.9,21.9,0.1252,4.375
5,5/15/18 17:40,0.1673,58.885,28.7,21.2,758.7,58.066,25.4,-0.2039,0,23.1,371.9,28.1,0.1252,4.363
6,5/15/18 17:50,0.171,58.411,28.7,18.7,711.2,56.901,28.9,-0.2039,0,21.9,349.4,26.9,0.1245,4.369
7,5/15/18 18:00,0.1673,57.979,6.2,3.7,211.2,52.729,28.1,-0.2039,0,4.4,86.9,5.6,0.1245,4.357
8,5/15/18 18:10,0.1717,57.463,8.7,6.2,243.7,52.903,27.5,-0.2039,0,5.6,109.4,6.9,0.1245,4.393
9,5/15/18 18:20,0.1717,56.988,23.7,13.7,578.7,55.69,28.2,-0.2039,0,16.9,295.6,23.1,0.1245,4.363
10,5/15/18 18:30,0.171,56.556,13.7,11.2,413.7,54.952,27,-0.2039,0,11.9,208.1,14.4,0.1245,4.4
11,5/15/18 18:40,0.1724,56.122,11.2,8.7,371.2,54.952,28.6,-0.2039,0,10.6,191.9,11.9,0.1245,4.363
12,5/15/18 18:50,0.1681,55.69,8.7,3.7,123.7,50.488,36,-0.2039,0,3.1,48.1,8.1,0.1238,4.514
13,5/15/18 19:00,0.1666,55.256,6.2,3.7,181.2,50.092,37.7,-0.2039,0,5.6,95.6,5.6,0.1238,4.363
14,5/15/18 19:10,0.1659,54.82,6.2,3.7,138.7,47.826,42,-0.2039,0,5.6,70.6,6.9,0.123,4.502
15,5/15/18 19:20,0.171,54.343,1.2,1.2,68.7,45.354,37.3,-0.2039,0,0.6,23.1,0.6,0.1216,4.369
16,5/15/18 19:30,0.171,53.865,1.2,1.2,58.7,46.571,35.3,-0.2039,0,0.6,19.4,0.6,0.123,4.381
