Plot Title: 9735540_SM_LSA_B1_ctrl,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735540, SEN S/N: 2012372, LBL: LSA_B1R)","Temp, °F (LGR S/N: 9735540, SEN S/N: 9680600, LBL: LSA_B1)","PAR, uE (LGR S/N: 9735540, SEN S/N: 9700883, LBL: LSA_B1R)","PAR, uE (LGR S/N: 9735540, SEN S/N: 9700893, LBL: LSA_B1L)","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700882)","Temp, °F (LGR S/N: 9735540, SEN S/N: 9721335, LBL: LSA_B1L )","RH, % (LGR S/N: 9735540, SEN S/N: 9721335, LBL: LSA_B1L)","Voltage, V (LGR S/N: 9735540, SEN S/N: 9725488)","Current, mA (LGR S/N: 9735540, SEN S/N: 9725488)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734398, LBL: LSA_B1L)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734403, LBL: LSA_B1L)","Solar Radiation, W/m² (LGR S/N: 9735540, SEN S/N: 9734407, LBL: LSA_B1R)","Water Content, m³/m³ (LGR S/N: 9735540, SEN S/N: 10769153, LBL: LSA_B1R)"
Site,Treatment,Date.Time,SWC.right,ST,PAR.right,PAR.left,PAR.up,Air.T,RH,,,SR.left,SR.up,SR.right,SWC.between
LSA,control,6/28/2019 14:09,0.1281,68.443,2553.7,2553.7,1318.7,76.464,38.7,-0.2039,0,115.6,1213.1,115.6,0.078
LSA,control,6/28/2019 14:19,0.1288,68.999,86.2,76.2,1631.2,75.16,38.9,-0.1835,0,114.4,1218.1,115.6,0.0787
LSA,control,6/28/2019 14:29,0.1288,69.427,53.7,48.7,1861.2,74.295,40.2,-0.1121,0,74.4,791.9,75.6,0.078
LSA,control,6/28/2019 14:39,0.1281,69.514,33.7,31.2,811.2,67.928,45,-0.0153,0,48.1,510.6,49.4,0.0773
LSA,control,6/28/2019 14:49,0.1281,69.427,63.7,56.2,606.2,67.5,43.5,0,0,86.9,904.4,86.9,0.078
LSA,control,6/28/2019 14:59,0.1274,69.386,76.2,66.2,2173.7,70.974,43.1,0.0204,0,100.6,1098.1,103.1,0.0773
LSA,control,6/28/2019 15:09,0.1281,69.343,68.7,61.2,738.7,71.834,45,0.0765,0.0063,93.1,1034.4,95.6,0.0773
LSA,control,6/28/2019 15:19,0.1274,69.386,66.2,58.7,383.7,70.543,44.2,0.1478,0,90.6,1013.1,93.1,0.0773
LSA,control,6/28/2019 15:29,0.1267,69.514,66.2,58.7,716.2,71.146,44.3,0.1988,0,88.1,994.4,91.9,0.0766
LSA,control,6/28/2019 15:39,0.1274,69.643,66.2,58.7,1206.2,71.791,42.8,0.2446,0.0063,90.6,1004.4,94.4,0.0766
LSA,control,6/28/2019 15:49,0.1267,69.771,61.2,53.7,2003.7,72.61,41.5,0.3058,0.0063,84.4,950.6,88.1,0.0758
LSA,control,6/28/2019 15:59,0.1267,69.858,61.2,56.2,2066.2,73.299,38.5,0.3007,0,86.9,961.9,91.9,0.0758
LSA,control,6/28/2019 16:09,0.1267,69.985,58.7,51.2,2083.7,73.602,40.7,0.3415,0.0063,80.6,895.6,85.6,0.0758
LSA,control,6/28/2019 16:19,0.1259,69.985,53.7,48.7,2216.2,72.351,39.1,0.2701,0,75.6,855.6,80.6,0.0751
LSA,control,6/28/2019 16:29,0.1259,69.858,51.2,46.2,2316.2,71.19,41.9,0.2752,0.0063,71.9,824.4,78.1,0.0751
LSA,control,6/28/2019 16:39,0.1252,69.771,48.7,41.2,1031.2,72.136,42.8,0.2701,0.0063,70.6,790.6,74.4,0.0744
LSA,control,6/28/2019 16:49,0.1252,69.685,46.2,38.7,2553.7,71.447,40.3,0.2345,0.0063,68.1,769.4,73.1,0.0744
LSA,control,6/28/2019 16:59,0.1245,69.514,41.2,36.2,2553.7,70.502,40.5,0.1886,0.0063,64.4,728.1,68.1,0.0744
LSA,control,6/28/2019 17:09,0.1245,69.343,38.7,33.7,1241.2,70.115,41.8,0.1529,0,61.9,690.6,65.6,0.0751
LSA,control,6/28/2019 17:19,0.1245,69.17,36.2,31.2,878.7,70.887,41.4,0.1376,0,60.6,675.6,64.4,0.0744
LSA,control,6/28/2019 17:29,0.1245,68.999,16.2,13.7,1148.7,69.514,37.8,0.1223,0,24.4,274.4,25.6,0.0744
LSA,control,6/28/2019 17:39,0.1238,68.785,31.2,28.7,596.2,70.887,39.2,0.1121,0,55.6,611.9,59.4,0.0736
LSA,control,6/28/2019 17:49,0.123,68.614,28.7,26.2,943.7,71.834,42.3,0.107,0.0063,51.9,564.4,54.4,0.0736
LSA,control,6/28/2019 17:59,0.123,68.443,26.2,23.7,1218.7,71.231,38.4,0.0968,0.0063,49.4,538.1,51.9,0.0736
LSA,control,6/28/2019 18:09,0.123,68.142,3.7,3.7,1431.2,67.627,40.2,0.0815,0.0063,5.6,74.4,5.6,0.0744
LSA,control,6/28/2019 18:19,0.123,67.885,21.2,18.7,2096.2,70.329,35.2,0.0612,0.0063,41.9,461.9,45.6,0.0729
LSA,control,6/28/2019 18:29,0.123,67.586,21.2,16.2,2248.7,69.471,39.7,0.0561,0,39.4,430.6,43.1,0.0729
LSA,control,6/28/2019 18:39,0.123,67.242,11.2,8.7,863.7,67.757,47.7,0.0459,0.0063,20.6,225.6,21.9,0.0729
LSA,control,6/28/2019 18:49,0.1223,66.9,-888.9,3.7,786.2,60.991,50.3,0.0306,0,8.1,98.1,8.1,0.0722
LSA,control,6/28/2019 18:59,0.1223,66.515,-888.9,3.7,468.7,59.401,51,0.0102,0,5.6,66.9,5.6,0.0722
LSA,control,6/28/2019 19:09,0.123,66.087,-888.9,3.7,511.2,61.419,52.9,-0.0051,0.0063,5.6,66.9,5.6,0.0722
LSA,control,6/28/2019 19:19,0.1223,65.658,-888.9,3.7,796.2,57.549,56.5,-0.0153,0,6.9,63.1,5.6,0.0715
LSA,control,6/28/2019 19:29,0.1223,65.23,-888.9,1.2,1423.7,56.599,55.6,-0.0204,0,3.1,35.6,3.1,0.0715
LSA,control,6/28/2019 19:39,0.1216,64.803,-888.9,1.2,1146.2,54.473,61.4,-0.0306,0.0063,3.1,40.6,3.1,0.0715
LSA,control,6/28/2019 19:49,0.1216,64.332,-888.9,1.2,1306.2,53.166,62.5,-0.0459,0,1.9,26.9,0.6,0.0715
LSA,control,6/28/2019 19:59,0.1216,63.862,-888.9,1.2,1361.2,53.035,62.2,-0.0561,0,1.9,25.6,1.9,0.0707
LSA,control,6/28/2019 20:09,0.1216,63.39,-888.9,1.2,1991.2,53.035,60.5,-0.0612,0,1.9,21.9,0.6,0.0707
LSA,control,6/28/2019 20:19,0.1216,62.919,-888.9,1.2,1031.2,50.356,69.4,-0.0663,0,0.6,19.4,0.6,0.0715
LSA,control,6/28/2019 20:29,0.1216,62.447,-888.9,1.2,473.7,51.062,67.6,-0.0714,0,0.6,11.9,0.6,0.0715
LSA,control,6/28/2019 20:39,0.1216,62.062,-888.9,1.2,818.7,51.413,67.9,-0.0765,0,0.6,5.6,0.6,0.0715
LSA,control,6/28/2019 20:49,0.1216,61.633,-888.9,1.2,1266.2,52.029,63.3,-0.0714,0,0.6,0.6,0.6,0.0707
LSA,control,6/28/2019 20:59,0.1216,61.248,-888.9,1.2,1836.2,52.16,62.7,-0.0714,0,0.6,0.6,0.6,0.0707
LSA,control,6/28/2019 21:09,0.1216,60.861,-888.9,1.2,943.7,52.817,61.3,-0.0663,0,0.6,0.6,0.6,0.07
LSA,control,6/28/2019 21:19,0.1216,60.561,-888.9,1.2,621.2,51.282,67.1,-0.0663,0,0.6,0.6,0.6,0.0707
LSA,control,6/28/2019 21:29,0.1209,60.217,-888.9,1.2,413.7,50.709,70,-0.0663,0,0.6,0.6,0.6,0.0707
LSA,control,6/28/2019 21:39,0.1209,59.916,-888.9,1.2,541.2,50.223,69.9,-0.0714,0,0.6,0.6,0.6,0.0707
LSA,control,6/28/2019 21:49,0.1209,59.659,-888.9,1.2,1131.2,52.335,66.6,-0.0765,0,0.6,0.6,0.6,0.0707
LSA,control,6/28/2019 21:59,0.1209,59.358,-888.9,1.2,433.7,51.678,65.8,-0.0714,0,0.6,0.6,0.6,0.0707
LSA,control,6/28/2019 22:09,0.1209,59.099,-888.9,1.2,378.7,52.246,62.3,-0.0765,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 22:19,0.1209,58.842,-888.9,1.2,521.2,51.062,68.4,-0.0765,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 22:29,0.1209,58.582,-888.9,1.2,463.7,51.633,65,-0.0815,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 22:39,0.1209,58.325,-888.9,1.2,511.2,49.737,70.5,-0.0815,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 22:49,0.1209,58.066,-888.9,1.2,598.7,48.672,73.6,-0.0866,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 22:59,0.1209,57.85,-888.9,1.2,261.2,49.294,72,-0.0917,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 23:09,0.1201,57.592,-888.9,1.2,183.7,47.691,75,-0.0968,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 23:19,0.1201,57.376,-888.9,1.2,153.7,48.538,70.1,-0.1019,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 23:29,0.1201,57.117,-888.9,1.2,378.7,46.796,73.2,-0.107,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 23:39,0.1201,56.815,-888.9,1.2,158.7,46.706,77.3,-0.107,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 23:49,0.1201,56.599,-888.9,1.2,138.7,45.669,76.8,-0.1121,0,0.6,0.6,0.6,0.0715
LSA,control,6/28/2019 23:59,0.1201,56.34,-888.9,1.2,131.2,46.301,75,-0.1121,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 0:09,0.1201,56.079,-888.9,1.2,103.7,47.557,71.3,-0.1172,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 0:19,0.1201,55.863,-888.9,1.2,63.7,48.762,68.9,-0.1172,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 0:29,0.1201,55.647,-888.9,1.2,28.7,45.489,75.5,-0.1172,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 0:39,0.1201,55.386,-888.9,1.2,8.7,46.076,76,-0.1172,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 0:49,0.1201,55.213,-888.9,1.2,1.2,44.764,78.3,-0.1172,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 0:59,0.1201,54.995,-888.9,1.2,1.2,44.719,80.1,-0.1223,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 1:09,0.1201,54.777,-888.9,1.2,1.2,45.489,78,-0.1223,0,0.6,0.6,0.6,0.0707
LSA,control,6/29/2019 1:19,0.1201,54.604,-888.9,1.2,1.2,44.719,82.6,-0.1223,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 1:29,0.1201,54.43,-888.9,1.2,1.2,45.489,79,-0.1223,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 1:39,0.1194,54.255,-888.9,1.2,1.2,44.764,82.3,-0.1223,0,0.6,0.6,0.6,0.0715
LSA,control,6/29/2019 1:49,0.1194,54.126,-888.9,1.2,1.2,43.9,83.8,-0.1274,0,0.6,0.6,0.6,0.0707
