Plot Title: 9735551_Pfeiler_B2,,,,,,,,,,,,,,
#,"Date Time, GMT-06:00","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700882)","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700889)","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700899)","Temp, °F (LGR S/N: 9735551, SEN S/N: 9719154)","Temp, °F (LGR S/N: 9735551, SEN S/N: 9721332)","RH, % (LGR S/N: 9735551, SEN S/N: 9721332)","Voltage, V (LGR S/N: 9735551, SEN S/N: 9725502)","Solar Radiation, W/m² (LGR S/N: 9735551, SEN S/N: 9734411)","Solar Radiation, W/m² (LGR S/N: 9735551, SEN S/N: 9734415)","Solar Radiation, W/m² (LGR S/N: 9735551, SEN S/N: 9734419)","Water Content, m³/m³ (LGR S/N: 9735551, SEN S/N: 10769151)","Water Content, m³/m³ (LGR S/N: 9735551, SEN S/N: 10769152)","Batt, V (LGR S/N: 9735551)"
1,6/9/17 9:34,1646.2,71.2,58.7,50.135,59.358,33.5,-0.1988,815.6,80.6,81.9,0.123,0.1456,4.484
2,6/9/17 10:34,1353.7,61.2,43.7,57.765,60.303,32.2,-0.1988,674.4,66.9,60.6,0.123,0.1456,4.363
3,6/9/17 11:34,896.2,38.7,28.7,61.075,59.014,30.1,-0.1988,446.9,44.4,39.4,0.123,0.1456,4.369
4,6/9/17 12:34,2188.7,106.2,73.7,66.558,65.273,35.7,-0.1988,1123.1,110.6,91.9,0.1238,0.1463,4.381
5,6/9/17 13:34,2091.2,96.2,66.2,68.698,65.574,27.5,-0.1988,1073.1,100.6,81.9,0.1252,0.147,4.393
6,6/9/17 14:34,1986.2,86.2,56.2,71.877,69.085,30.7,-0.1988,1000.6,89.4,73.1,0.1259,0.1477,4.363
7,6/9/17 15:34,1753.7,68.7,46.2,72.826,68.27,29.9,-0.1988,863.1,71.9,60.6,0.1267,0.1477,4.363
8,6/9/17 16:34,1448.7,51.2,33.7,72.48,68.227,22.3,-0.1988,716.9,55.6,49.4,0.1267,0.1485,4.363
9,6/9/17 17:34,1051.2,33.7,21.2,69.901,67.114,22.4,-0.1988,526.9,41.9,36.9,0.1267,0.1477,4.381
10,6/9/17 18:34,606.2,18.7,11.2,66.772,65.444,20.3,-0.1988,315.6,25.6,21.9,0.1267,0.1477,4.484
