Plot Title: 9735551_SM_LSA_B2_trmt,,,,,,,,,,,,,,,
#,,"Date Time, GMT-06:00","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700882)","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700889)","PAR, uE (LGR S/N: 9735551, SEN S/N: 9700899)","Temp, °F (LGR S/N: 9735551, SEN S/N: 9719154)","Temp, °F (LGR S/N: 9735551, SEN S/N: 9721332)","RH, % (LGR S/N: 9735551, SEN S/N: 9721332)","Voltage, V (LGR S/N: 9735551, SEN S/N: 9725502)","Solar Radiation, W/m² (LGR S/N: 9735551, SEN S/N: 9734411)","Solar Radiation, W/m² (LGR S/N: 9735551, SEN S/N: 9734415)","Solar Radiation, W/m² (LGR S/N: 9735551, SEN S/N: 9734419)","Water Content, m³/m³ (LGR S/N: 9735551, SEN S/N: 10769151)","Water Content, m³/m³ (LGR S/N: 9735551, SEN S/N: 10769152)","Batt, V (LGR S/N: 9735551)"
Site,Treatment,Date.Time,PAR.up,PAR.right,PAR.left,ST.between,Air.T,RH,,SR.up,SR.right,SR.left,SWC.between,SWC.between,
LSA,early,6/7/2019 10:00,1318.7,2553.7,2553.7,52.817,58.498,47.4,-0.1274,734.4,51.9,70.6,0.1848,0.1811,4.345
LSA,early,6/7/2019 10:10,1631.2,51.2,68.7,53.559,56.815,49.6,-0.1274,781.9,54.4,74.4,0.1848,0.1811,4.363
LSA,early,6/7/2019 10:20,1861.2,56.2,73.7,54.255,60.474,45.6,-0.1274,896.9,60.6,79.4,0.1855,0.1811,4.351
LSA,early,6/7/2019 10:30,811.2,21.2,26.2,55.213,62.105,47.5,-0.1223,374.4,21.9,26.9,0.1855,0.1811,4.375
LSA,early,6/7/2019 10:40,606.2,16.2,18.7,55.863,53.645,55.7,-0.1223,273.1,15.6,19.4,0.1855,0.1811,4.351
LSA,early,6/7/2019 10:50,2173.7,66.2,83.7,56.34,60.26,45.2,-0.1325,1051.9,69.4,90.6,0.1855,0.1811,4.393
LSA,early,6/7/2019 11:00,738.7,21.2,23.7,56.988,57.765,52.8,-0.1325,334.4,20.6,24.4,0.1855,0.1811,4.351
LSA,early,6/7/2019 11:10,383.7,8.7,11.2,56.988,49.959,65.8,-0.1376,163.1,8.1,10.6,0.1855,0.1819,4.393
LSA,early,6/7/2019 11:20,716.2,16.2,18.7,56.035,44.946,81.5,-0.1478,341.9,16.9,20.6,0.1862,0.1819,4.363
LSA,early,6/7/2019 11:30,1206.2,31.2,41.2,55.038,49.914,67.1,-0.1529,569.4,34.4,45.6,0.1862,0.1819,4.393
LSA,early,6/7/2019 11:40,2003.7,58.7,73.7,55.168,57.074,56,-0.1478,998.1,61.9,80.6,0.1862,0.1819,4.363
LSA,early,6/7/2019 11:50,2066.2,61.2,76.2,56.251,58.626,54,-0.1376,1041.9,64.4,83.1,0.1862,0.1819,4.49
LSA,early,6/7/2019 12:00,2083.7,61.2,76.2,57.679,60.948,51.2,-0.1325,1056.9,65.6,83.1,0.1862,0.1819,4.363
LSA,early,6/7/2019 12:10,2216.2,66.2,78.7,58.582,59.056,52.5,-0.1325,1131.9,69.4,86.9,0.1862,0.1819,4.478
