"Plot Title: 2021997"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 2021997, SEN S/N: 2373627)","Temp, °F (LGR S/N: 2021997, SEN S/N: 9721342)","RH, % (LGR S/N: 2021997, SEN S/N: 9721342)","Water Content, m³/m³ (LGR S/N: 2021997, SEN S/N: 20152222)"
1,05/15/18 02:33:01 PM,55.776,63.732,23.400,0.1862
2,05/15/18 03:33:01 PM,57.247,59.616,23.200,0.1963
3,05/15/18 04:33:01 PM,57.376,59.830,27.000,0.1999
4,05/15/18 05:33:01 PM,56.383,56.383,27.600,0.2020
5,05/15/18 06:33:01 PM,54.387,52.335,27.700,0.2043
6,05/15/18 07:33:01 PM,52.072,48.004,34.700,0.2056
7,05/15/18 08:33:01 PM,49.737,45.217,33.900,0.2073
8,05/15/18 09:33:01 PM,47.557,36.217,53.700,0.2083
9,05/15/18 10:33:01 PM,45.624,36.651,52.800,0.2087
10,05/15/18 11:33:01 PM,43.945,35.346,50.700,0.2095
11,05/16/18 12:33:01 AM,42.478,33.534,56.000,0.2100
12,05/16/18 01:33:01 AM,41.184,31.491,67.600,0.2104
13,05/16/18 02:33:01 AM,40.111,30.479,68.200,0.2109
14,05/16/18 03:33:01 AM,39.173,30.020,67.700,0.2112
15,05/16/18 04:33:01 AM,38.368,30.326,60.700,0.2112
16,05/16/18 05:33:01 AM,37.656,29.046,63.800,0.2117
17,05/16/18 06:33:01 AM,37.081,28.787,65.400,0.2122
18,05/16/18 07:33:01 AM,36.651,29.509,66.000,0.2126
19,05/16/18 08:33:01 AM,36.603,45.714,44.700,0.2134
20,05/16/18 09:33:01 AM,39.783,54.255,29.900,0.2131
21,05/16/18 10:33:01 AM,45.082,58.712,22.600,0.2126
22,05/16/18 11:33:01 AM,49.692,60.346,24.400,0.2112
23,05/16/18 12:33:01 PM,53.253,60.991,24.100,0.2100
24,05/16/18 01:33:01 PM,56.122,61.032,19.100,0.2083
25,05/16/18 02:33:01 PM,58.152,64.375,20.700,0.2078
26,05/16/18 03:33:01 PM,59.099,63.561,18.900,0.2078
27,05/16/18 04:33:01 PM,59.056,64.418,18.600,0.2087
28,05/16/18 05:33:01 PM,58.109,63.946,19.500,0.2095
29,05/16/18 06:33:01 PM,56.295,56.858,25.700,0.2087
30,05/16/18 07:33:01 PM,53.908,46.481,41.600,0.2092
31,05/16/18 08:33:01 PM,51.544,39.736,54.100,0.2100
32,05/16/18 09:33:01 PM,49.338,37.416,60.100,0.2104
33,05/16/18 10:33:01 PM,47.467,41.137,40.100,0.2112
34,05/16/18 11:33:01 PM,45.896,36.025,55.200,0.2112
35,05/17/18 12:33:01 AM,44.492,33.287,65.100,0.2117
36,05/17/18 01:33:01 AM,43.122,34.565,50.700,0.2117
37,05/17/18 02:33:01 AM,41.925,33.978,58.100,0.2117
38,05/17/18 03:33:01 AM,40.811,32.293,55.200,0.2122
39,05/17/18 04:33:01 AM,39.877,31.842,58.400,0.2122
40,05/17/18 05:33:01 AM,39.031,30.783,59.400,0.2126
41,05/17/18 06:33:01 AM,38.322,30.326,64.800,0.2131
42,05/17/18 07:33:01 AM,37.751,31.037,68.100,0.2134
43,05/17/18 08:33:01 AM,37.702,48.094,38.000,0.2134
44,05/17/18 09:33:01 AM,41.740,58.109,24.700,0.2122
45,05/17/18 10:33:01 AM,47.154,60.046,24.000,0.2112
46,05/17/18 11:33:01 AM,51.764,62.233,24.700,0.2100
47,05/17/18 12:33:01 PM,55.647,64.546,21.900,0.2073
48,05/17/18 01:33:01 PM,58.582,63.604,21.700,0.2061
49,05/17/18 02:33:01 PM,60.260,62.875,17.400,0.2056
50,05/17/18 03:33:01 PM,60.433,63.005,20.500,0.2056
51,05/17/18 04:33:01 PM,60.089,57.333,24.700,0.2061
52,05/17/18 05:33:01 PM,58.798,56.251,23.200,0.2064
53,05/17/18 06:33:01 PM,56.858,54.212,20.100,0.2056
54,05/17/18 07:33:01 PM,54.473,48.272,32.500,0.2061
55,05/17/18 08:33:01 PM,52.203,42.109,38.700,0.2064
56,05/17/18 09:33:01 PM,50.047,40.438,42.200,0.2061
57,05/17/18 10:33:01 PM,48.272,36.986,56.400,0.2061
58,05/17/18 11:33:01 PM,46.661,36.651,50.500,0.2064
59,05/18/18 12:33:01 AM,45.172,33.780,54.800,0.2064
60,05/18/18 01:33:01 AM,43.808,32.142,63.700,0.2070
61,05/18/18 02:33:01 AM,42.570,32.342,54.400,0.2070
62,05/18/18 03:33:01 AM,41.508,31.642,57.200,0.2070
63,05/18/18 04:33:01 AM,40.579,31.037,58.300,0.2073
64,05/18/18 05:33:01 AM,39.690,30.429,59.400,0.2078
65,05/18/18 06:33:01 AM,38.937,30.276,61.900,0.2087
66,05/18/18 07:33:01 AM,38.368,31.541,62.800,0.2087
67,05/18/18 08:33:01 AM,38.415,48.315,40.700,0.2087
68,05/18/18 09:33:01 AM,42.616,55.558,27.900,0.2078
69,05/18/18 10:33:01 AM,47.691,59.616,23.100,0.2073
70,05/18/18 11:33:01 AM,51.764,60.775,17.000,0.2061
71,05/18/18 12:33:01 PM,53.341,55.213,25.300,0.2052
72,05/18/18 01:33:01 PM,53.035,55.168,24.400,0.2047
73,05/18/18 02:33:01 PM,53.035,55.342,26.300,0.2043
74,05/18/18 03:33:01 PM,54.255,58.109,23.100,0.2038
75,05/18/18 04:33:01 PM,55.125,55.733,25.600,0.2043
76,05/18/18 05:33:01 PM,54.561,52.378,30.000,0.2047
