"Plot Title: 2021997_SM_LSA_C1_ctrl"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 2021997, SEN S/N: 2373627)","Temp, °F (LGR S/N: 2021997, SEN S/N: 9721342)","RH, % (LGR S/N: 2021997, SEN S/N: 9721342)","Water Content, m³/m³ (LGR S/N: 2021997, SEN S/N: 20152222)"
1,06/28/19 03:00:00 PM,70.846,69.557,39.400,0.2456
2,06/28/19 04:00:00 PM,70.930,72.093,39.000,0.2452
3,06/28/19 05:00:00 PM,70.115,70.803,36.900,0.2449
4,06/28/19 06:00:00 PM,68.484,69.728,37.900,0.2445
5,06/28/19 07:00:00 PM,66.173,62.019,44.900,0.2449
6,06/28/19 08:00:00 PM,63.648,56.642,54.000,0.2449
7,06/28/19 09:00:00 PM,61.376,56.295,51.500,0.2445
8,06/28/19 10:00:00 PM,59.702,54.516,55.900,0.2441
9,06/28/19 11:00:00 PM,58.368,51.544,64.800,0.2437
10,06/29/19 12:00:00 AM,57.074,47.914,71.200,0.2434
11,06/29/19 01:00:00 AM,55.776,46.526,74.000,0.2434
12,06/29/19 02:00:00 AM,54.734,44.627,78.800,0.2430
13,06/29/19 03:00:00 AM,53.690,44.310,79.600,0.2430
14,06/29/19 04:00:00 AM,52.817,45.534,76.000,0.2425
15,06/29/19 05:00:00 AM,52.029,43.443,80.000,0.2425
16,06/29/19 06:00:00 AM,51.148,42.386,83.000,0.2421
17,06/29/19 07:00:00 AM,50.576,43.990,83.100,0.2421
18,06/29/19 08:00:00 AM,50.664,53.166,77.000,0.2421
19,06/29/19 09:00:00 AM,52.378,59.572,66.600,0.2421
20,06/29/19 10:00:00 AM,54.473,61.977,45.700,0.2418
21,06/29/19 11:00:00 AM,57.204,64.888,40.500,0.2414
22,06/29/19 12:00:00 PM,62.620,68.356,38.000,0.2399
23,06/29/19 01:00:00 PM,67.543,71.103,34.800,0.2390
24,06/29/19 02:00:00 PM,71.361,70.846,34.800,0.2383
25,06/29/19 03:00:00 PM,72.480,70.930,33.100,0.2379
26,06/29/19 04:00:00 PM,72.050,68.871,34.400,0.2374
27,06/29/19 05:00:00 PM,70.372,67.671,39.100,0.2374
28,06/29/19 06:00:00 PM,68.871,66.472,38.400,0.2374
29,06/29/19 07:00:00 PM,67.285,61.162,60.500,0.2371
30,06/29/19 08:00:00 PM,65.658,57.290,65.300,0.2371
31,06/29/19 09:00:00 PM,63.561,50.445,73.200,0.2367
32,06/29/19 10:00:00 PM,61.419,48.717,74.600,0.2363
33,06/29/19 11:00:00 PM,59.486,46.166,77.000,0.2363
34,06/30/19 12:00:00 AM,57.722,46.121,78.100,0.2358
35,06/30/19 01:00:00 AM,56.556,46.796,80.700,0.2358
36,06/30/19 02:00:00 AM,55.733,46.166,79.900,0.2355
37,06/30/19 03:00:00 AM,54.604,43.671,83.300,0.2351
38,06/30/19 04:00:00 AM,53.602,45.262,82.600,0.2351
39,06/30/19 05:00:00 AM,52.729,43.716,83.800,0.2358
40,06/30/19 06:00:00 AM,51.809,41.740,87.500,0.2351
41,06/30/19 07:00:00 AM,51.237,45.761,85.900,0.2351
42,06/30/19 08:00:00 AM,51.721,52.072,81.000,0.2347
43,06/30/19 09:00:00 AM,52.686,62.447,65.000,0.2347
44,06/30/19 10:00:00 AM,56.165,63.946,55.700,0.2339
45,06/30/19 11:00:00 AM,60.775,66.385,45.600,0.2327
