"Plot Title: 2021995"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 2021995, SEN S/N: 9719173)","Water Content, m³/m³ (LGR S/N: 2021995, SEN S/N: 20152220)"
1,05/15/18 02:50:54 PM,63.304,0.2161
2,05/15/18 03:50:54 PM,60.861,0.2224
3,05/15/18 04:50:54 PM,58.842,0.2249
4,05/15/18 05:50:54 PM,55.515,0.2269
5,05/15/18 06:50:54 PM,53.559,0.2291
6,05/15/18 07:50:54 PM,51.678,0.2303
7,05/15/18 08:50:54 PM,49.870,0.2311
8,05/15/18 09:50:54 PM,48.227,0.2318
9,05/15/18 10:50:54 PM,46.796,0.2327
10,05/15/18 11:50:54 PM,45.579,0.2330
11,05/16/18 12:50:54 AM,44.445,0.2335
12,05/16/18 01:50:54 AM,43.443,0.2339
13,05/16/18 02:50:54 AM,42.570,0.2344
14,05/16/18 03:50:54 AM,41.693,0.2344
15,05/16/18 04:50:54 AM,40.905,0.2351
16,05/16/18 05:50:54 AM,40.204,0.2351
17,05/16/18 06:50:54 AM,39.643,0.2355
18,05/16/18 07:50:54 AM,39.220,0.2358
19,05/16/18 08:50:54 AM,41.740,0.2363
20,05/16/18 09:50:54 AM,47.289,0.2358
21,05/16/18 10:50:54 AM,52.597,0.2355
22,05/16/18 11:50:54 AM,56.728,0.2344
23,05/16/18 12:50:54 PM,59.272,0.2327
24,05/16/18 01:50:54 PM,61.419,0.2315
25,05/16/18 02:50:54 PM,62.620,0.2306
26,05/16/18 03:50:54 PM,61.804,0.2306
27,05/16/18 04:50:54 PM,60.390,0.2311
28,05/16/18 05:50:54 PM,57.333,0.2318
29,05/16/18 06:50:54 PM,55.256,0.2318
30,05/16/18 07:50:54 PM,53.298,0.2315
31,05/16/18 08:50:54 PM,51.458,0.2327
32,05/16/18 09:50:54 PM,49.870,0.2323
33,05/16/18 10:50:54 PM,48.583,0.2323
34,05/16/18 11:50:54 PM,47.334,0.2330
35,05/17/18 12:50:54 AM,46.211,0.2323
36,05/17/18 01:50:54 AM,45.172,0.2323
37,05/17/18 02:50:54 AM,44.173,0.2323
38,05/17/18 03:50:54 AM,43.259,0.2318
39,05/17/18 04:50:54 AM,42.433,0.2315
40,05/17/18 05:50:54 AM,41.693,0.2318
41,05/17/18 06:50:54 AM,41.090,0.2318
42,05/17/18 07:50:54 AM,40.579,0.2323
43,05/17/18 08:50:54 AM,43.306,0.2323
44,05/17/18 09:50:54 AM,48.762,0.2318
45,05/17/18 10:50:54 AM,54.037,0.2311
46,05/17/18 11:50:54 AM,58.195,0.2303
47,05/17/18 12:50:54 PM,61.376,0.2291
48,05/17/18 01:50:54 PM,63.304,0.2282
49,05/17/18 02:50:54 PM,62.704,0.2277
50,05/17/18 03:50:54 PM,62.875,0.2274
51,05/17/18 04:50:54 PM,61.032,0.2277
52,05/17/18 05:50:54 PM,58.109,0.2277
53,05/17/18 06:50:54 PM,56.035,0.2286
54,05/17/18 07:50:54 PM,54.126,0.2294
55,05/17/18 08:50:54 PM,52.291,0.2299
56,05/17/18 09:50:54 PM,50.664,0.2303
57,05/17/18 10:50:54 PM,49.294,0.2303
58,05/17/18 11:50:54 PM,48.049,0.2306
59,05/18/18 12:50:54 AM,46.886,0.2299
60,05/18/18 01:50:54 AM,45.806,0.2299
61,05/18/18 02:50:54 AM,44.809,0.2315
62,05/18/18 03:50:54 AM,43.900,0.2303
63,05/18/18 04:50:54 AM,43.122,0.2303
64,05/18/18 05:50:54 AM,42.386,0.2303
65,05/18/18 06:50:54 AM,41.787,0.2303
66,05/18/18 07:50:54 AM,41.416,0.2306
67,05/18/18 08:50:54 AM,43.990,0.2306
68,05/18/18 09:50:54 AM,49.428,0.2299
69,05/18/18 10:50:54 AM,54.430,0.2294
70,05/18/18 11:50:54 AM,56.599,0.2282
71,05/18/18 12:50:54 PM,56.383,0.2282
72,05/18/18 01:50:54 PM,55.992,0.2274
73,05/18/18 02:50:54 PM,57.160,0.2269
74,05/18/18 03:50:54 PM,58.325,0.2269
75,05/18/18 04:50:54 PM,57.031,0.2266
76,05/18/18 05:50:54 PM,54.516,0.2266
77,05/18/18 06:50:54 PM,53.298,0.2249
78,05/18/18 07:50:54 PM,51.809,0.2254
