"Plot Title: 2021995_SM_LSA_C2_trmt"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 2021995, SEN S/N: 9719173)","Water Content, m³/m³ (LGR S/N: 2021995, SEN S/N: 20152220)"
1,06/28/19 02:00:00 PM,59.142,0.3793
2,06/28/19 03:00:00 PM,60.046,0.3769
3,06/28/19 04:00:00 PM,60.604,0.3762
4,06/28/19 05:00:00 PM,60.948,0.3751
5,06/28/19 06:00:00 PM,59.959,0.3734
6,06/28/19 07:00:00 PM,58.755,0.3729
7,06/28/19 08:00:00 PM,57.549,0.3716
8,06/28/19 09:00:00 PM,56.340,0.3711
9,06/28/19 10:00:00 PM,55.429,0.3711
10,06/28/19 11:00:00 PM,54.648,0.3705
11,06/29/19 12:00:00 AM,53.820,0.3699
12,06/29/19 01:00:00 AM,53.078,0.3699
13,06/29/19 02:00:00 AM,52.423,0.3699
14,06/29/19 03:00:00 AM,51.721,0.3699
15,06/29/19 04:00:00 AM,51.148,0.3694
16,06/29/19 05:00:00 AM,50.709,0.3694
17,06/29/19 06:00:00 AM,50.135,0.3694
18,06/29/19 07:00:00 AM,49.737,0.3688
19,06/29/19 08:00:00 AM,49.825,0.3688
20,06/29/19 09:00:00 AM,50.841,0.3688
21,06/29/19 10:00:00 AM,52.246,0.3688
22,06/29/19 11:00:00 AM,54.212,0.3688
23,06/29/19 12:00:00 PM,56.295,0.3683
24,06/29/19 01:00:00 PM,57.376,0.3683
25,06/29/19 02:00:00 PM,58.798,0.3677
26,06/29/19 03:00:00 PM,59.916,0.3666
27,06/29/19 04:00:00 PM,60.647,0.3649
28,06/29/19 05:00:00 PM,60.474,0.3643
29,06/29/19 06:00:00 PM,60.046,0.3632
30,06/29/19 07:00:00 PM,59.445,0.3628
31,06/29/19 08:00:00 PM,58.712,0.3622
32,06/29/19 09:00:00 PM,57.592,0.3616
33,06/29/19 10:00:00 PM,56.383,0.3605
34,06/29/19 11:00:00 PM,55.213,0.3605
35,06/30/19 12:00:00 AM,54.169,0.3600
36,06/30/19 01:00:00 AM,53.427,0.3600
37,06/30/19 02:00:00 AM,52.860,0.3594
38,06/30/19 03:00:00 AM,52.203,0.3590
39,06/30/19 04:00:00 AM,51.589,0.3594
40,06/30/19 05:00:00 AM,51.062,0.3590
41,06/30/19 06:00:00 AM,50.488,0.3590
42,06/30/19 07:00:00 AM,50.135,0.3584
43,06/30/19 08:00:00 AM,50.400,0.3590
44,06/30/19 09:00:00 AM,51.105,0.3590
45,06/30/19 10:00:00 AM,53.908,0.3590
46,06/30/19 11:00:00 AM,57.333,0.3584
47,06/30/19 12:00:00 PM,58.582,0.3578
48,06/30/19 01:00:00 PM,59.315,0.3578
49,06/30/19 02:00:00 PM,59.788,0.3568
50,06/30/19 03:00:00 PM,60.818,0.3557
51,06/30/19 04:00:00 PM,61.547,0.3553
52,06/30/19 05:00:00 PM,61.977,0.3542
53,06/30/19 06:00:00 PM,60.775,0.3531
54,06/30/19 07:00:00 PM,59.401,0.3526
55,06/30/19 08:00:00 PM,58.282,0.3521
56,06/30/19 09:00:00 PM,57.333,0.3521
57,06/30/19 10:00:00 PM,56.426,0.3516
58,06/30/19 11:00:00 PM,55.472,0.3516
59,07/01/19 12:00:00 AM,54.561,0.3511
60,07/01/19 01:00:00 AM,53.865,0.3511
61,07/01/19 02:00:00 AM,53.253,0.3511
62,07/01/19 03:00:00 AM,52.729,0.3511
63,07/01/19 04:00:00 AM,52.029,0.3511
64,07/01/19 05:00:00 AM,51.370,0.3506
65,07/01/19 06:00:00 AM,50.797,0.3511
66,07/01/19 07:00:00 AM,50.268,0.3511
67,07/01/19 08:00:00 AM,50.002,0.3506
68,07/01/19 09:00:00 AM,51.193,0.3511
69,07/01/19 10:00:00 AM,55.256,0.3516
70,07/01/19 11:00:00 AM,57.592,0.3511
71,07/01/19 12:00:00 PM,58.582,0.3516
72,07/01/19 01:00:00 PM,59.229,0.3511
73,07/01/19 02:00:00 PM,60.003,0.3500
74,07/01/19 03:00:00 PM,60.904,0.3500
75,07/01/19 04:00:00 PM,62.019,0.3490
76,07/01/19 05:00:00 PM,62.362,0.3476
77,07/01/19 06:00:00 PM,61.290,0.3471
78,07/01/19 07:00:00 PM,59.959,0.3471
79,07/01/19 08:00:00 PM,58.928,0.3471
80,07/01/19 09:00:00 PM,57.807,0.3466
81,07/01/19 10:00:00 PM,56.469,0.3457
82,07/01/19 11:00:00 PM,55.213,0.3451
83,07/02/19 12:00:00 AM,54.126,0.3451
84,07/02/19 01:00:00 AM,53.121,0.3451
85,07/02/19 02:00:00 AM,52.203,0.3447
86,07/02/19 03:00:00 AM,51.413,0.3451
87,07/02/19 04:00:00 AM,50.709,0.3447
88,07/02/19 05:00:00 AM,50.135,0.3447
89,07/02/19 06:00:00 AM,49.649,0.3447
90,07/02/19 07:00:00 AM,49.204,0.3447
91,07/02/19 08:00:00 AM,49.471,0.3447
92,07/02/19 09:00:00 AM,50.929,0.3447
93,07/02/19 10:00:00 AM,52.423,0.3447
94,07/02/19 11:00:00 AM,54.300,0.3441
95,07/02/19 12:00:00 PM,56.340,0.3437
96,07/02/19 01:00:00 PM,57.636,0.3437
97,07/02/19 02:00:00 PM,58.712,0.3437
98,07/02/19 03:00:00 PM,59.445,0.3427
99,07/02/19 04:00:00 PM,60.474,0.3418
100,07/02/19 05:00:00 PM,61.032,0.3403
101,07/02/19 06:00:00 PM,60.346,0.3393
102,07/02/19 07:00:00 PM,59.486,0.3393
103,07/02/19 08:00:00 PM,58.755,0.3389
104,07/02/19 09:00:00 PM,57.592,0.3384
105,07/02/19 10:00:00 PM,56.295,0.3380
106,07/02/19 11:00:00 PM,55.256,0.3380
107,07/03/19 12:00:00 AM,54.343,0.3376
108,07/03/19 01:00:00 AM,53.515,0.3376
109,07/03/19 02:00:00 AM,52.817,0.3371
110,07/03/19 03:00:00 AM,52.115,0.3371
111,07/03/19 04:00:00 AM,51.501,0.3367
112,07/03/19 05:00:00 AM,50.886,0.3367
113,07/03/19 06:00:00 AM,50.311,0.3361
114,07/03/19 07:00:00 AM,49.782,0.3367
115,07/03/19 08:00:00 AM,49.383,0.3367
116,07/03/19 09:00:00 AM,50.709,0.3367
117,07/03/19 10:00:00 AM,54.343,0.3367
118,07/03/19 11:00:00 AM,56.685,0.3361
119,07/03/19 12:00:00 PM,58.239,0.3352
120,07/03/19 01:00:00 PM,59.445,0.3348
121,07/03/19 02:00:00 PM,60.647,0.3343
122,07/03/19 03:00:00 PM,61.506,0.3335
123,07/03/19 04:00:00 PM,62.233,0.3317
124,07/03/19 05:00:00 PM,62.447,0.3308
125,07/03/19 06:00:00 PM,61.419,0.3304
126,07/03/19 07:00:00 PM,60.132,0.3295
127,07/03/19 08:00:00 PM,58.842,0.3295
128,07/03/19 09:00:00 PM,57.506,0.3290
129,07/03/19 10:00:00 PM,56.295,0.3286
130,07/03/19 11:00:00 PM,55.213,0.3282
131,07/04/19 12:00:00 AM,54.255,0.3282
132,07/04/19 01:00:00 AM,53.472,0.3277
133,07/04/19 02:00:00 AM,52.641,0.3274
134,07/04/19 03:00:00 AM,51.852,0.3277
135,07/04/19 04:00:00 AM,51.148,0.3274
136,07/04/19 05:00:00 AM,50.445,0.3269
137,07/04/19 06:00:00 AM,49.825,0.3269
138,07/04/19 07:00:00 AM,49.294,0.3269
139,07/04/19 08:00:00 AM,48.895,0.3269
140,07/04/19 09:00:00 AM,50.180,0.3269
141,07/04/19 10:00:00 AM,53.384,0.3265
142,07/04/19 11:00:00 AM,56.599,0.3261
143,07/04/19 12:00:00 PM,58.455,0.3256
144,07/04/19 01:00:00 PM,59.272,0.3252
145,07/04/19 02:00:00 PM,59.873,0.3240
146,07/04/19 03:00:00 PM,60.647,0.3235
147,07/04/19 04:00:00 PM,61.162,0.3223
148,07/04/19 05:00:00 PM,61.590,0.3211
149,07/04/19 06:00:00 PM,60.733,0.3207
150,07/04/19 07:00:00 PM,59.572,0.3204
151,07/04/19 08:00:00 PM,58.368,0.3199
