#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 10730460, SEN S/N: 9719159)","Temp, °F (LGR S/N: 10730460, SEN S/N: 9719169)","Water Content, m³/m³ (LGR S/N: 10730460, SEN S/N: 10769156)","Water Content, m³/m³ (LGR S/N: 10730460, SEN S/N: 10769157)"
1,10/11/15 0:00,45.986,47.154,0.115,0.1557
2,10/11/15 1:00,45.354,46.166,0.1129,0.1557
3,10/11/15 2:00,44.764,45.307,0.115,0.155
4,10/11/15 3:00,44.218,44.492,0.1143,0.155
5,10/11/15 4:00,43.716,43.716,0.1136,0.1557
6,10/11/15 5:00,43.306,43.03,0.1136,0.1543
7,10/11/15 6:00,42.939,42.478,0.1136,0.155
8,10/11/15 7:00,42.708,42.156,0.1121,0.1543
9,10/11/15 8:00,42.525,41.832,0.1129,0.1543
10,10/11/15 9:00,42.525,41.693,0.1114,0.155
11,10/11/15 10:00,42.8,42.064,0.1121,0.1543
12,10/11/15 11:00,43.443,42.847,0.1129,0.155
13,10/11/15 12:00,44.764,44.627,0.1136,0.1521
14,10/11/15 13:00,46.481,46.931,0.1121,0.1528
15,10/11/15 14:00,47.871,49.204,0.1165,0.1506
16,10/11/15 15:00,48.805,51.148,0.1216,0.1485
17,10/11/15 16:00,49.516,53.035,0.1201,0.1485
18,10/11/15 17:00,49.737,53.69,0.1143,0.155
19,10/11/15 18:00,49.471,53.253,0.115,0.155
20,10/11/15 19:00,48.938,52.466,0.1194,0.1499
21,10/11/15 20:00,48.36,51.501,0.115,0.1557
22,10/11/15 21:00,47.691,50.445,0.1158,0.155
23,10/11/15 22:00,47.019,49.383,0.115,0.155
24,10/11/15 23:00,46.481,48.583,0.1165,0.1521
25,10/12/15 0:00,45.986,47.691,0.115,0.155
26,10/12/15 1:00,45.444,46.796,0.1143,0.1543
27,10/12/15 2:00,44.856,45.896,0.1165,0.1543
28,10/12/15 3:00,44.263,44.991,0.1143,0.155
29,10/12/15 4:00,43.716,44.127,0.1129,0.1543
30,10/12/15 5:00,43.214,43.259,0.1136,0.1543
31,10/12/15 6:00,42.616,42.386,0.1129,0.1543
32,10/12/15 7:00,42.064,41.508,0.1136,0.1543
33,10/12/15 8:00,41.508,40.672,0.1136,0.1543
34,10/12/15 9:00,41.322,40.298,0.1129,0.1528
35,10/12/15 10:00,41.74,40.764,0.1121,0.1543
36,10/12/15 11:00,42.984,42.294,0.1194,0.147
37,10/12/15 12:00,44.582,44.582,0.1187,0.1477
38,10/12/15 13:00,46.166,47.064,0.1209,0.1477
39,10/12/15 14:00,47.467,49.561,0.1201,0.1485
40,10/12/15 15:00,48.315,51.895,0.1209,0.1477
41,10/12/15 16:00,48.672,53.602,0.1136,0.155
42,10/12/15 17:00,48.628,54.037,0.1143,0.1528
43,10/12/15 18:00,48.272,53.472,0.1143,0.1535
44,10/12/15 19:00,47.736,52.423,0.1165,0.1543
45,10/12/15 20:00,47.064,51.237,0.1158,0.155
46,10/12/15 21:00,46.301,49.914,0.1165,0.1535
47,10/12/15 22:00,45.534,48.583,0.1172,0.1543
48,10/12/15 23:00,44.764,47.334,0.115,0.1535
49,10/13/15 0:00,44.082,46.166,0.1172,0.1499
50,10/13/15 1:00,43.396,45.082,0.1216,0.147
51,10/13/15 2:00,42.755,44.037,0.115,0.1535
52,10/13/15 3:00,42.156,43.075,0.1143,0.1528
53,10/13/15 4:00,41.601,42.109,0.1143,0.1535
54,10/13/15 5:00,41.09,41.23,0.1143,0.1528
55,10/13/15 6:00,40.579,40.392,0.1129,0.1528
56,10/13/15 7:00,40.064,39.596,0.1136,0.1521
57,10/13/15 8:00,39.643,38.889,0.1121,0.1521
58,10/13/15 9:00,39.502,38.606,0.1121,0.1506
59,10/13/15 10:00,40.017,39.267,0.1129,0.1485
60,10/13/15 11:00,41.416,40.811,0.1107,0.1535
61,10/13/15 12:00,43.075,42.984,0.1201,0.1463
62,10/13/15 13:00,44.719,45.444,0.1194,0.1463
63,10/13/15 14:00,46.031,48.004,0.1121,0.1528
64,10/13/15 15:00,46.931,50.445,0.1121,0.1543
65,10/13/15 16:00,47.377,52.291,0.1136,0.1535
66,10/13/15 17:00,47.377,52.817,0.1165,0.1506
67,10/13/15 18:00,47.064,52.291,0.115,0.1535
68,10/13/15 19:00,46.526,51.193,0.115,0.1535
69,10/13/15 20:00,45.761,49.959,0.115,0.1528
70,10/13/15 21:00,45.036,48.672,0.1194,0.1477
71,10/13/15 22:00,44.31,47.467,0.1165,0.1528
72,10/13/15 23:00,43.624,46.301,0.1158,0.1535
73,10/14/15 0:00,42.984,45.262,0.115,0.1528
74,10/14/15 1:00,42.386,44.218,0.1136,0.1506
75,10/14/15 2:00,41.787,43.259,0.115,0.1492
76,10/14/15 3:00,41.23,42.294,0.1187,0.147
77,10/14/15 4:00,40.719,41.416,0.115,0.1514
78,10/14/15 5:00,40.204,40.579,0.1121,0.1506
79,10/14/15 6:00,39.736,39.783,0.1143,0.1492
80,10/14/15 7:00,39.267,39.031,0.1143,0.1492
81,10/14/15 8:00,38.889,38.368,0.1121,0.1514
82,10/14/15 9:00,38.842,38.131,0.1114,0.1506
83,10/14/15 10:00,39.407,38.795,0.1114,0.1514
84,10/14/15 11:00,40.811,40.485,0.1143,0.1477
85,10/14/15 12:00,42.616,42.939,0.1194,0.1456
86,10/14/15 13:00,44.445,45.851,0.1121,0.1514
87,10/14/15 14:00,45.941,48.45,0.1121,0.1514
88,10/14/15 15:00,46.841,50.709,0.1136,0.1528
89,10/14/15 16:00,47.289,52.423,0.1136,0.1528
90,10/14/15 17:00,47.289,52.903,0.115,0.1499
91,10/14/15 18:00,46.974,52.378,0.115,0.1535
92,10/14/15 19:00,46.436,51.325,0.1143,0.1528
93,10/14/15 20:00,45.714,50.002,0.1143,0.1528
94,10/14/15 21:00,44.901,48.717,0.1165,0.1528
95,10/14/15 22:00,44.173,47.512,0.1165,0.1521
96,10/14/15 23:00,43.488,46.346,0.1165,0.1521
97,10/15/15 0:00,42.847,45.262,0.115,0.1521
98,10/15/15 1:00,42.202,44.173,0.1143,0.1506
99,10/15/15 2:00,41.601,43.167,0.1136,0.1514
100,10/15/15 3:00,41.043,42.247,0.1194,0.1463
101,10/15/15 4:00,40.532,41.369,0.1209,0.1456
102,10/15/15 5:00,40.017,40.532,0.1194,0.1456
103,10/15/15 6:00,39.549,39.736,0.1194,0.1448
104,10/15/15 7:00,39.078,38.984,0.1129,0.1499
105,10/15/15 8:00,38.7,38.322,0.1129,0.1499
106,10/15/15 9:00,38.653,38.131,0.1121,0.1499
107,10/15/15 10:00,39.267,38.795,0.1129,0.1485
108,10/15/15 11:00,40.672,40.392,0.1172,0.1456
109,10/15/15 12:00,42.478,42.8,0.1107,0.1506
110,10/15/15 13:00,44.263,45.669,0.1172,0.1456
111,10/15/15 14:00,45.761,48.493,0.1121,0.1514
112,10/15/15 15:00,46.706,50.929,0.1121,0.1514
113,10/15/15 16:00,47.154,52.729,0.1143,0.1499
114,10/15/15 17:00,47.199,53.209,0.1143,0.1514
115,10/15/15 18:00,46.796,52.509,0.1143,0.1521
116,10/15/15 19:00,46.166,51.237,0.1158,0.1485
117,10/15/15 20:00,45.399,49.914,0.1209,0.1463
118,10/15/15 21:00,44.674,48.672,0.1172,0.1463
119,10/15/15 22:00,43.99,47.467,0.115,0.1506
120,10/15/15 23:00,43.351,46.346,0.115,0.1514
121,10/16/15 0:00,42.755,45.307,0.1158,0.1514
122,10/16/15 1:00,42.202,44.31,0.115,0.1506
123,10/16/15 2:00,41.648,43.351,0.1136,0.1499
