#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 20139115, SEN S/N: 9719156)","Temp, °F (LGR S/N: 20139115, SEN S/N: 9721338)","RH, % (LGR S/N: 20139115, SEN S/N: 9721338)","Water Content, m³/m³ (LGR S/N: 20139115, SEN S/N: 20145937)","Water Content, m³/m³ (LGR S/N: 20139115, SEN S/N: 20152215)"
1,5/16/18 11:25,48.004,68.227,22.8,0.149,0.1724
2,5/16/18 12:25,53.384,71.317,16.9,0.1503,0.1718
3,5/16/18 13:25,57.979,71.533,17.1,0.1508,0.1718
4,5/16/18 14:25,61.59,74.597,16.6,0.1519,0.1718
5,5/16/18 15:25,62.533,71.361,17.1,0.1519,0.1718
6,5/16/18 16:25,61.72,72.05,14.3,0.1523,0.1714
7,5/16/18 17:25,61.162,70.673,17.7,0.1523,0.1714
8,5/16/18 18:25,61.075,66.472,17.5,0.1523,0.1714
9,5/16/18 19:25,60.561,48.405,43.3,0.1527,0.1714
10,5/16/18 20:25,57.85,38.937,62,0.1532,0.1724
11,5/16/18 21:25,55.168,34.565,69.5,0.1532,0.1724
12,5/16/18 22:25,52.817,35.006,66,0.1538,0.1728
13,5/16/18 23:25,50.797,36.747,54.1,0.1547,0.1732
14,5/17/18 0:25,49.073,30.682,70,0.1547,0.1738
15,5/17/18 1:25,47.334,29.457,67.1,0.1551,0.1742
16,5/17/18 2:25,45.714,26.96,73.4,0.1558,0.1742
17,5/17/18 3:25,44.218,27.433,71.2,0.1558,0.1746
18,5/17/18 4:25,42.8,25.952,72.1,0.1562,0.1752
19,5/17/18 5:25,41.601,23.902,77.9,0.1566,0.1756
20,5/17/18 6:25,40.485,24.879,76.1,0.1566,0.1756
21,5/17/18 7:25,39.643,34.761,75.7,0.1577,0.1756
22,5/17/18 8:25,39.97,52.729,31.7,0.1581,0.1762
23,5/17/18 9:25,41.97,61.248,25.6,0.1585,0.1762
24,5/17/18 10:25,45.217,66.344,21.3,0.1581,0.1752
25,5/17/18 11:25,49.204,66.943,20.8,0.1581,0.1746
26,5/17/18 12:25,53.645,68.871,19.7,0.157,0.1746
27,5/17/18 13:25,57.636,71.146,16.1,0.1566,0.1738
28,5/17/18 14:25,60.991,73.04,14.7,0.1562,0.1728
29,5/17/18 15:25,62.062,71.62,17.5,0.1558,0.1724
30,5/17/18 16:25,61.506,64.204,18.7,0.1558,0.1718
31,5/17/18 17:25,60.991,56.772,21.7,0.1551,0.1714
32,5/17/18 18:25,60.818,62.148,17.9,0.1551,0.1714
33,5/17/18 19:25,60.39,53.733,21.8,0.1551,0.1714
34,5/17/18 20:25,58.066,49.604,24.2,0.1547,0.1714
35,5/17/18 21:25,55.429,38.368,48.9,0.1551,0.1718
36,5/17/18 22:25,53.209,35.685,60.4,0.1551,0.1724
37,5/17/18 23:25,51.237,30.884,66.8,0.1558,0.1728
38,5/18/18 0:25,49.294,29.817,68.6,0.1558,0.1728
39,5/18/18 1:25,47.512,27.064,70.9,0.1562,0.1738
40,5/18/18 2:25,45.986,26.854,67.8,0.1562,0.1738
41,5/18/18 3:25,44.537,26.218,76.6,0.1566,0.1742
42,5/18/18 4:25,43.214,26.006,70.4,0.157,0.1742
43,5/18/18 5:25,41.97,24.228,82.4,0.157,0.1746
44,5/18/18 6:25,40.905,24.283,78,0.1577,0.1752
45,5/18/18 7:25,40.111,35.83,72.2,0.1581,0.1756
46,5/18/18 8:25,40.485,53.994,33,0.1585,0.1756
47,5/18/18 9:25,42.433,61.119,23.3,0.1585,0.1752
48,5/18/18 10:25,45.624,64.974,21,0.1581,0.1752
49,5/18/18 11:25,50.092,68.443,17.8,0.1581,0.1742
50,5/18/18 12:25,54.604,67.242,17.4,0.1566,0.1738
51,5/18/18 13:25,55.647,58.023,23.2,0.1562,0.1732
52,5/18/18 14:25,55.472,57.29,21.8,0.1558,0.1728
53,5/18/18 15:25,56.599,67.798,18.3,0.1562,0.1724
54,5/18/18 16:25,57.765,60.647,22.3,0.1558,0.1718
55,5/18/18 17:25,57.936,58.885,23.7,0.1558,0.1718
56,5/18/18 18:25,57.463,54.516,26.6,0.1551,0.1714
57,5/18/18 19:25,56.295,49.516,29.8,0.1551,0.1714
58,5/18/18 20:25,54.734,46.346,34.1,0.1551,0.1714
59,5/18/18 21:25,53.078,37.893,54.7,0.1551,0.1718
60,5/18/18 22:25,51.193,33.78,62,0.1558,0.1718
61,5/18/18 23:25,49.471,37.942,49.5,0.1558,0.1724
62,5/19/18 0:25,47.871,30.834,72.4,0.1558,0.1724
63,5/19/18 1:25,46.436,30.783,75.9,0.1558,0.1724
64,5/19/18 2:25,45.172,28.476,81.4,0.1558,0.1728
65,5/19/18 3:25,43.99,27.851,86.5,0.1562,0.1732
66,5/19/18 4:25,42.984,26.058,92.4,0.1562,0.1732
67,5/19/18 5:25,41.97,23.133,92.6,0.1562,0.1738
68,5/19/18 6:25,40.951,24.609,94.2,0.1562,0.1738
69,5/19/18 7:25,40.392,35.928,83.6,0.157,0.1738
70,5/19/18 8:25,41.09,54.212,43.4,0.1577,0.1738
71,5/19/18 9:25,43.351,59.529,33.7,0.1577,0.1732
72,5/19/18 10:25,46.571,63.133,27.4,0.157,0.1732
73,5/19/18 11:25,49.516,51.852,35.2,0.1558,0.1728
74,5/19/18 12:25,51.94,49.737,41.8,0.1558,0.1724
75,5/19/18 13:25,53.209,55.256,39.5,0.1558,0.1718
76,5/19/18 14:25,53.994,61.891,29.9,0.1558,0.1714
77,5/19/18 15:25,55.647,66.729,23.8,0.1558,0.1709
78,5/19/18 16:25,56.988,62.105,22.4,0.1551,0.1703
79,5/19/18 17:25,57.247,53.253,36.3,0.1551,0.1699
80,5/19/18 18:25,56.685,52.641,41.2,0.1547,0.1695
81,5/19/18 19:25,55.992,44.991,59.3,0.1542,0.1695
82,5/19/18 20:25,54.212,39.267,84.4,0.1542,0.1699
83,5/19/18 21:25,52.378,35.733,96.7,0.1581,0.1648
84,5/19/18 22:25,50.709,37.035,97.7,0.157,0.1648
85,5/19/18 23:25,49.294,31.642,97.8,0.1577,0.1652
86,5/20/18 0:25,47.647,30.987,98.6,0.1581,0.1648
87,5/20/18 1:25,46.076,27.327,96.2,0.1581,0.1663
88,5/20/18 2:25,44.719,26.112,95.9,0.1581,0.1671
89,5/20/18 3:25,43.443,25.898,96,0.1577,0.1677
90,5/20/18 4:25,42.247,25.309,95.2,0.1581,0.1681
91,5/20/18 5:25,41.184,24.174,95.5,0.1585,0.1681
92,5/20/18 6:25,40.298,28.476,97.4,0.159,0.1685
93,5/20/18 7:25,39.736,32.193,96.9,0.1596,0.1671
94,5/20/18 8:25,39.97,42.017,94,0.159,0.1677
95,5/20/18 9:25,41.925,49.516,74,0.1585,0.1709
96,5/20/18 10:25,45.217,59.873,45.1,0.1585,0.1718
97,5/20/18 11:25,49.737,62.533,46,0.1577,0.1718
98,5/20/18 12:25,54.255,60.303,35.4,0.1566,0.1709
99,5/20/18 13:25,55.819,53.645,45.9,0.1562,0.1709
100,5/20/18 14:25,54.691,51.062,39.2,0.1551,0.1703
101,5/20/18 15:25,53.078,46.166,50.1,0.1558,0.1699
102,5/20/18 16:25,51.633,47.289,57.2,0.1562,0.1699
103,5/20/18 17:25,51.413,48.36,58.1,0.1562,0.1699
104,5/20/18 18:25,51.589,46.706,63.6,0.1558,0.1699
105,5/20/18 19:25,50.974,42.847,70.7,0.1558,0.1699
106,5/20/18 20:25,49.737,33.831,92.9,0.1551,0.1699
107,5/20/18 21:25,47.871,28.632,94.9,0.1558,0.1699
108,5/20/18 22:25,46.166,27.747,96.2,0.1562,0.1703
109,5/20/18 23:25,44.719,28.269,97.2,0.1562,0.1709
110,5/21/18 0:25,43.534,26.164,97.1,0.1562,0.1709
111,5/21/18 1:25,42.341,25.363,94.7,0.1566,0.1714
112,5/21/18 2:25,41.23,25.524,96.5,0.157,0.1714
113,5/21/18 3:25,40.204,24.499,94.3,0.1566,0.1718
114,5/21/18 4:25,39.313,24.228,95.7,0.157,0.1718
115,5/21/18 5:25,38.557,23.846,94.7,0.157,0.1724
116,5/21/18 6:25,37.846,24.771,95.7,0.1577,0.1724
117,5/21/18 7:25,37.416,32.542,96.5,0.1581,0.1718
118,5/21/18 8:25,37.798,45.534,81.2,0.1585,0.1728
119,5/21/18 9:25,39.97,56.556,52.7,0.1581,0.1732
120,5/21/18 10:25,43.306,60.904,44,0.1577,0.1728
121,5/21/18 11:25,47.914,57.42,42.9,0.1566,0.1728
122,5/21/18 12:25,52.072,69.343,29,0.1562,0.1718
123,5/21/18 13:25,55.558,61.205,30.6,0.1551,0.1709
124,5/21/18 14:25,55.906,59.529,30.2,0.1547,0.1703
125,5/21/18 15:25,55.863,52.509,50,0.1542,0.1695
