"Plot Title: 20139115_SM_UM_A1_trmt"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20139115, SEN S/N: 9719156, LBL: A1_L)","Temp, °F (LGR S/N: 20139115, SEN S/N: 9721338, LBL: A1_L)","RH, % (LGR S/N: 20139115, SEN S/N: 9721338)","Water Content, m³/m³ (LGR S/N: 20139115, SEN S/N: 20145937, LBL: A1_R)","Water Content, m³/m³ (LGR S/N: 20139115, SEN S/N: 20152215, LBL: A1_L)"
1,05/17/19 09:00:01 AM,40.345,32.491,90.500,0.2516,0.2615
2,05/17/19 10:00:01 AM,40.764,33.089,87.700,0.2528,0.2607
3,05/17/19 11:00:01 AM,41.090,33.681,88.400,0.2528,0.2607
4,05/17/19 12:00:01 PM,42.156,36.795,85.500,0.2532,0.2604
5,05/17/19 01:00:01 PM,44.127,36.891,76.000,0.2532,0.2596
6,05/17/19 02:00:01 PM,45.172,34.957,79.700,0.2528,0.2589
7,05/17/19 03:00:01 PM,46.526,40.017,70.000,0.2532,0.2589
8,05/17/19 04:00:01 PM,48.049,39.549,59.300,0.2532,0.2582
9,05/17/19 05:00:01 PM,48.182,39.830,69.700,0.2532,0.2579
10,05/17/19 06:00:01 PM,47.557,39.220,55.800,0.2532,0.2575
11,05/17/19 07:00:01 PM,46.436,28.994,90.800,0.2528,0.2571
12,05/17/19 08:00:01 PM,44.856,26.325,92.600,0.2532,0.2575
13,05/17/19 09:00:01 PM,43.763,26.164,95.500,0.2528,0.2571
14,05/17/19 10:00:01 PM,42.939,26.748,95.400,0.2534,0.2571
15,05/17/19 11:00:01 PM,42.156,27.171,96.200,0.2532,0.2571
16,05/18/19 12:00:01 AM,41.554,27.694,96.300,0.2532,0.2567
17,05/18/19 01:00:01 AM,40.905,24.445,96.400,0.2532,0.2567
18,05/18/19 02:00:01 AM,40.204,21.238,96.000,0.2532,0.2564
19,05/18/19 03:00:01 AM,39.596,25.952,97.400,0.2532,0.2564
20,05/18/19 04:00:01 AM,39.078,25.255,97.100,0.2532,0.2564
21,05/18/19 05:00:01 AM,38.889,24.717,97.100,0.2534,0.2560
22,05/18/19 06:00:01 AM,38.606,24.010,96.400,0.2534,0.2557
23,05/18/19 07:00:01 AM,38.415,28.008,94.200,0.2534,0.2560
24,05/18/19 08:00:01 AM,38.273,32.193,83.000,0.2538,0.2553
25,05/18/19 09:00:01 AM,38.179,33.978,75.900,0.2538,0.2557
26,05/18/19 10:00:01 AM,38.084,31.390,79.000,0.2542,0.2557
27,05/18/19 11:00:01 AM,38.084,37.179,74.600,0.2542,0.2560
28,05/18/19 12:00:01 PM,38.889,33.336,82.300,0.2564,0.2589
29,05/18/19 01:00:01 PM,42.616,38.226,76.600,0.2560,0.2571
30,05/18/19 02:00:01 PM,45.941,39.173,68.800,0.2557,0.2560
31,05/18/19 03:00:01 PM,47.289,31.591,84.900,0.2550,0.2553
32,05/18/19 04:00:01 PM,45.806,29.199,90.800,0.2550,0.2546
33,05/18/19 05:00:01 PM,43.945,29.559,91.700,0.2550,0.2546
34,05/18/19 06:00:01 PM,43.167,32.092,88.000,0.2557,0.2553
35,05/18/19 07:00:01 PM,42.570,31.239,91.700,0.2557,0.2550
36,05/18/19 08:00:01 PM,41.925,30.123,88.200,0.2557,0.2546
37,05/18/19 09:00:01 PM,40.998,22.746,94.300,0.2546,0.2542
38,05/18/19 10:00:01 PM,39.736,22.525,95.700,0.2546,0.2534
39,05/18/19 11:00:01 PM,38.748,22.802,93.300,0.2546,0.2538
40,05/19/19 12:00:01 AM,37.846,17.481,94.700,0.2542,0.2532
41,05/19/19 01:00:01 AM,37.081,20.784,96.500,0.2542,0.2532
42,05/19/19 02:00:01 AM,36.603,20.044,92.400,0.2538,0.2528
43,05/19/19 03:00:01 AM,36.120,20.955,94.700,0.2534,0.2524
44,05/19/19 04:00:01 AM,35.830,18.657,93.000,0.2532,0.2520
45,05/19/19 05:00:01 AM,35.443,16.885,95.300,0.2528,0.2520
46,05/19/19 06:00:01 AM,35.200,17.541,93.600,0.2528,0.2512
47,05/19/19 07:00:01 AM,35.006,21.632,94.600,0.2528,0.2509
48,05/19/19 08:00:01 AM,34.907,27.118,86.600,0.2532,0.2512
49,05/19/19 09:00:01 AM,34.957,34.027,81.800,0.2542,0.2516
50,05/19/19 10:00:01 AM,35.589,33.681,82.400,0.2542,0.2524
51,05/19/19 11:00:01 AM,37.846,35.055,78.800,0.2542,0.2524
52,05/19/19 12:00:01 PM,40.532,43.671,63.600,0.2538,0.2520
53,05/19/19 01:00:01 PM,43.900,39.924,65.200,0.2538,0.2516
54,05/19/19 02:00:01 PM,45.444,38.653,69.000,0.2534,0.2505
55,05/19/19 03:00:01 PM,44.809,35.249,84.100,0.2532,0.2498
56,05/19/19 04:00:01 PM,45.262,39.502,77.000,0.2532,0.2494
57,05/19/19 05:00:01 PM,45.534,42.616,63.600,0.2528,0.2494
58,05/19/19 06:00:01 PM,45.217,39.643,62.300,0.2524,0.2494
59,05/19/19 07:00:01 PM,44.355,38.984,60.500,0.2524,0.2490
60,05/19/19 08:00:01 PM,43.075,37.609,61.700,0.2520,0.2490
61,05/19/19 09:00:01 PM,41.693,35.928,65.000,0.2520,0.2487
62,05/19/19 10:00:01 PM,40.485,33.732,71.900,0.2516,0.2487
63,05/19/19 11:00:01 PM,39.454,33.780,74.300,0.2516,0.2487
64,05/20/19 12:00:01 AM,38.795,31.642,81.100,0.2516,0.2483
65,05/20/19 01:00:01 AM,38.322,32.092,80.900,0.2516,0.2483
66,05/20/19 02:00:01 AM,37.942,30.783,82.100,0.2516,0.2483
67,05/20/19 03:00:01 AM,37.560,32.342,79.700,0.2516,0.2483
68,05/20/19 04:00:01 AM,37.179,32.243,79.000,0.2512,0.2483
69,05/20/19 05:00:01 AM,36.891,30.072,91.100,0.2512,0.2483
70,05/20/19 06:00:01 AM,36.554,28.994,97.100,0.2512,0.2483
71,05/20/19 07:00:01 AM,36.410,29.149,97.500,0.2512,0.2483
72,05/20/19 08:00:01 AM,36.410,28.373,96.100,0.2509,0.2479
73,05/20/19 09:00:01 AM,36.361,28.994,96.200,0.2512,0.2483
74,05/20/19 10:00:01 AM,36.313,30.123,94.800,0.2512,0.2479
75,05/20/19 11:00:01 AM,36.217,43.808,81.700,0.2516,0.2479
76,05/20/19 12:00:01 PM,36.120,40.392,72.600,0.2516,0.2479
77,05/20/19 01:00:01 PM,36.025,35.006,84.800,0.2520,0.2487
78,05/20/19 02:00:01 PM,35.928,33.780,87.400,0.2528,0.2490
79,05/20/19 03:00:01 PM,35.830,41.508,80.100,0.2534,0.2487
80,05/20/19 04:00:01 PM,35.685,43.624,78.400,0.2546,0.2494
81,05/20/19 05:00:01 PM,35.589,29.867,90.500,0.2560,0.2502
82,05/20/19 06:00:01 PM,35.443,30.276,92.900,0.2567,0.2502
83,05/20/19 07:00:01 PM,35.395,31.138,88.500,0.2571,0.2505
84,05/20/19 08:00:01 PM,35.298,28.216,90.300,0.2571,0.2502
85,05/20/19 09:00:01 PM,35.249,26.431,93.900,0.2571,0.2502
86,05/20/19 10:00:01 PM,35.152,21.182,97.100,0.2564,0.2498
87,05/20/19 11:00:01 PM,35.103,25.846,90.600,0.2560,0.2494
88,05/21/19 12:00:01 AM,35.055,25.309,88.600,0.2557,0.2494
89,05/21/19 01:00:01 AM,35.006,24.499,88.100,0.2557,0.2490
90,05/21/19 02:00:01 AM,34.957,24.933,89.400,0.2553,0.2490
91,05/21/19 03:00:01 AM,34.858,25.147,90.300,0.2550,0.2490
92,05/21/19 04:00:01 AM,34.858,24.283,94.000,0.2546,0.2487
93,05/21/19 05:00:01 AM,34.810,23.846,94.800,0.2542,0.2483
94,05/21/19 06:00:01 AM,34.761,23.738,96.400,0.2538,0.2483
95,05/21/19 07:00:01 AM,34.761,25.417,95.800,0.2538,0.2483
96,05/21/19 08:00:01 AM,34.761,27.327,91.300,0.2534,0.2479
97,05/21/19 09:00:01 AM,34.810,28.216,91.100,0.2538,0.2479
98,05/21/19 10:00:01 AM,34.810,34.272,86.300,0.2534,0.2475
99,05/21/19 11:00:01 AM,34.810,36.842,76.300,0.2532,0.2471
100,05/21/19 12:00:01 PM,34.858,38.415,71.900,0.2532,0.2471
101,05/21/19 01:00:01 PM,34.858,38.606,69.000,0.2524,0.2475
102,05/21/19 02:00:01 PM,34.957,34.615,76.400,0.2538,0.2479
103,05/21/19 03:00:01 PM,35.006,33.485,81.300,0.2560,0.2494
104,05/21/19 04:00:01 PM,35.055,36.120,72.700,0.2582,0.2509
105,05/21/19 05:00:01 PM,35.055,33.584,72.400,0.2600,0.2524
106,05/21/19 06:00:01 PM,35.006,38.322,65.000,0.2611,0.2524
107,05/21/19 07:00:01 PM,34.907,30.783,85.100,0.2607,0.2520
108,05/21/19 08:00:01 PM,34.761,28.839,94.600,0.2600,0.2516
109,05/21/19 09:00:01 PM,34.664,27.747,95.800,0.2592,0.2512
110,05/21/19 10:00:01 PM,34.565,27.012,96.900,0.2589,0.2509
111,05/21/19 11:00:01 PM,34.468,28.269,88.100,0.2582,0.2505
112,05/22/19 12:00:01 AM,34.468,26.906,95.500,0.2579,0.2505
113,05/22/19 01:00:01 AM,34.419,26.695,96.700,0.2571,0.2502
114,05/22/19 02:00:01 AM,34.371,26.748,96.100,0.2571,0.2494
115,05/22/19 03:00:01 AM,34.371,26.431,93.100,0.2564,0.2502
