Plot Title: 20290164_A2,,,,
#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 20290164, SEN S/N: 9719170)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152228)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152229)"
1,5/16/18 11:29,44.492,0.1895,0.2198
2,5/16/18 12:29,46.796,0.1926,0.2232
3,5/16/18 13:29,49.204,0.1939,0.2241
4,5/16/18 14:29,51.458,0.1945,0.2245
5,5/16/18 15:29,53.253,0.1958,0.2245
6,5/16/18 16:29,54.561,0.1972,0.2245
7,5/16/18 17:29,55.386,0.1981,0.2249
8,5/16/18 18:29,55.69,0.199,0.2245
9,5/16/18 19:29,55.213,0.2008,0.2245
10,5/16/18 20:29,54.037,0.2012,0.2249
11,5/16/18 21:29,52.554,0.202,0.2249
12,5/16/18 22:29,51.148,0.2026,0.2254
13,5/16/18 23:29,49.914,0.2035,0.2254
14,5/17/18 0:29,48.717,0.2035,0.2249
15,5/17/18 1:29,47.557,0.2043,0.2257
16,5/17/18 2:29,46.436,0.2047,0.2257
17,5/17/18 3:29,45.399,0.2052,0.2262
18,5/17/18 4:29,44.445,0.2056,0.2266
19,5/17/18 5:29,43.534,0.2056,0.2266
20,5/17/18 6:29,42.708,0.2061,0.2269
21,5/17/18 7:29,42.064,0.2061,0.2277
22,5/17/18 8:29,41.925,0.2061,0.2282
23,5/17/18 9:29,42.525,0.2056,0.2282
24,5/17/18 10:29,43.853,0.2047,0.2282
25,5/17/18 11:29,45.714,0.2043,0.2274
26,5/17/18 12:29,47.781,0.2035,0.2274
27,5/17/18 13:29,49.87,0.2026,0.2266
28,5/17/18 14:29,51.809,0.202,0.2257
29,5/17/18 15:29,53.341,0.2008,0.2254
30,5/17/18 16:29,54.387,0.2003,0.2241
31,5/17/18 17:29,54.995,0.2008,0.2241
32,5/17/18 18:29,55.125,0.2008,0.2245
33,5/17/18 19:29,54.691,0.2026,0.2232
34,5/17/18 20:29,53.645,0.2026,0.2232
35,5/17/18 21:29,52.291,0.2035,0.2229
36,5/17/18 22:29,51.017,0.2035,0.2229
37,5/17/18 23:29,49.825,0.2035,0.2229
38,5/18/18 0:29,48.583,0.2043,0.2229
39,5/18/18 1:29,47.467,0.2043,0.2232
40,5/18/18 2:29,46.436,0.2043,0.2237
41,5/18/18 3:29,45.444,0.2047,0.2241
42,5/18/18 4:29,44.537,0.2052,0.2241
43,5/18/18 5:29,43.671,0.2056,0.2241
44,5/18/18 6:29,42.847,0.2061,0.2241
45,5/18/18 7:29,42.294,0.2064,0.2254
46,5/18/18 8:29,42.156,0.2056,0.2257
47,5/18/18 9:29,42.755,0.2047,0.2257
48,5/18/18 10:29,44.173,0.2043,0.2249
49,5/18/18 11:29,46.031,0.2035,0.2245
50,5/18/18 12:29,48.049,0.2029,0.2245
51,5/18/18 13:29,49.249,0.2029,0.2232
52,5/18/18 14:29,49.737,0.202,0.2232
