"Plot Title: 20290164_SM_UM_A2_ctrl"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20290164, SEN S/N: 9719170, LBL: A2_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152228, LBL: A2_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152229, LBL: A2_Rshrub)"
1,06/10/19 11:00:01 AM,46.031,0.2505,0.2684
2,06/10/19 12:00:01 PM,48.315,0.2498,0.2673
3,06/10/19 01:00:01 PM,50.533,0.2498,0.2670
4,06/10/19 02:00:01 PM,52.597,0.2502,0.2664
5,06/10/19 03:00:01 PM,54.430,0.2494,0.2657
6,06/10/19 04:00:01 PM,55.733,0.2494,0.2650
7,06/10/19 05:00:01 PM,56.599,0.2494,0.2646
8,06/10/19 06:00:01 PM,56.944,0.2494,0.2642
9,06/10/19 07:00:01 PM,56.728,0.2456,0.2635
10,06/10/19 08:00:01 PM,55.819,0.2460,0.2635
11,06/10/19 09:00:01 PM,54.473,0.2449,0.2632
12,06/10/19 10:00:01 PM,52.992,0.2452,0.2632
13,06/10/19 11:00:01 PM,51.501,0.2449,0.2632
14,06/11/19 12:00:01 AM,50.135,0.2445,0.2635
15,06/11/19 01:00:01 AM,48.850,0.2452,0.2635
16,06/11/19 02:00:01 AM,47.647,0.2452,0.2639
17,06/11/19 03:00:01 AM,46.571,0.2479,0.2639
18,06/11/19 04:00:01 AM,45.534,0.2475,0.2642
19,06/11/19 05:00:01 AM,44.627,0.2460,0.2642
20,06/11/19 06:00:01 AM,43.763,0.2460,0.2642
21,06/11/19 07:00:01 AM,43.030,0.2471,0.2646
22,06/11/19 08:00:01 AM,42.708,0.2441,0.2642
23,06/11/19 09:00:01 AM,43.122,0.2456,0.2642
24,06/11/19 10:00:01 AM,44.082,0.2479,0.2642
25,06/11/19 11:00:01 AM,45.624,0.2471,0.2635
26,06/11/19 12:00:01 PM,47.602,0.2468,0.2632
27,06/11/19 01:00:01 PM,49.825,0.2468,0.2621
28,06/11/19 02:00:01 PM,52.029,0.2449,0.2615
29,06/11/19 03:00:01 PM,53.951,0.2460,0.2615
30,06/11/19 04:00:01 PM,55.515,0.2460,0.2607
31,06/11/19 05:00:01 PM,56.512,0.2460,0.2607
