Plot Title: 9735543_UpperMontaneB1,,,,,,,,,,,,,,
#,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735543, SEN S/N: 2012369)","PAR, uE (LGR S/N: 9735543, SEN S/N: 9700887)","PAR, uE (LGR S/N: 9735543, SEN S/N: 9700895)","PAR, uE (LGR S/N: 9735543, SEN S/N: 9700903)","Temp, °F (LGR S/N: 9735543, SEN S/N: 9713844)","Temp, °F (LGR S/N: 9735543, SEN S/N: 9721336)","RH, % (LGR S/N: 9735543, SEN S/N: 9721336)","Voltage, V (LGR S/N: 9735543, SEN S/N: 9725493)","Solar Radiation, W/m² (LGR S/N: 9735543, SEN S/N: 9734401)","Solar Radiation, W/m² (LGR S/N: 9735543, SEN S/N: 9734413)","Solar Radiation, W/m² (LGR S/N: 9735543, SEN S/N: 9734414)","Water Content, m³/m³ (LGR S/N: 9735543, SEN S/N: 10769159)","Batt, V (LGR S/N: 9735543)"
1,6/3/17 13:00,0.1259,2553.7,2553.7,2553.7,50.664,66.472,30.8,-0.2039,65.6,1013.1,91.9,0.1899,4.418
2,6/3/17 14:00,0.1259,1861.2,68.7,71.2,52.554,66.258,28.1,-0.2039,61.9,961.9,85.6,0.1906,4.381
3,6/3/17 15:00,0.1259,1703.7,61.2,63.7,54.561,68.571,29.1,-0.2039,55.6,863.1,79.4,0.1906,4.381
4,6/3/17 16:00,0.1259,1451.2,53.7,53.7,56.079,67.671,27.4,-0.2039,49.4,730.6,73.1,0.1913,4.387
5,6/3/17 17:00,0.1259,1131.2,38.7,43.7,56.426,68.698,24.7,-0.2039,40.6,565.6,61.9,0.1913,4.387
6,6/3/17 18:00,0.1252,763.7,23.7,31.2,56.122,66.943,25.5,-0.2039,29.4,380.6,43.1,0.1906,4.393
7,6/3/17 19:00,0.1245,391.2,8.7,16.2,55.472,64.033,30.6,-0.2039,15.6,200.6,21.9,0.1906,4.393
8,6/3/17 20:00,0.1238,48.7,1.2,1.2,54.734,46.076,55.6,-0.2039,0.6,15.6,0.6,0.1899,4.393
9,6/3/17 21:00,0.1238,1.2,1.2,1.2,53.776,40.951,68.2,-0.1988,0.6,0.6,0.6,0.1891,4.393
10,6/3/17 22:00,0.1238,1.2,1.2,1.2,52.772,38.464,73.1,-0.1988,0.6,0.6,0.6,0.1884,4.387
11,6/3/17 23:00,0.1238,1.2,1.2,1.2,51.809,37.13,73.3,-0.1988,0.6,0.6,0.6,0.1884,4.381
12,6/4/17 0:00,0.123,1.2,1.2,1.2,50.886,36.747,75.6,-0.1988,0.6,0.6,0.6,0.1877,4.375
13,6/4/17 1:00,0.1245,1.2,1.2,1.2,50.002,33.732,83.6,-0.1988,0.6,0.6,0.6,0.187,4.369
14,6/4/17 2:00,0.1252,1.2,1.2,1.2,49.204,33.485,84.5,-0.1988,0.6,0.6,0.6,0.187,4.363
15,6/4/17 3:00,0.1245,1.2,1.2,1.2,48.45,32.79,85.4,-0.1988,0.6,0.6,0.6,0.187,4.363
16,6/4/17 4:00,0.1245,1.2,1.2,1.2,47.781,31.993,87.7,-0.1988,0.6,0.6,0.6,0.1855,4.363
17,6/4/17 5:00,0.1245,1.2,1.2,1.2,47.109,31.339,90,-0.1988,0.6,0.6,0.6,0.187,4.363
18,6/4/17 6:00,0.123,33.7,1.2,1.2,46.481,31.642,90.7,-0.1988,0.6,11.9,0.6,0.184,4.363
19,6/4/17 7:00,0.1223,83.7,1.2,1.2,45.941,33.732,90.4,-0.1988,0.6,23.1,0.6,0.184,4.393
20,6/4/17 8:00,0.1238,988.7,33.7,31.2,45.806,52.772,61.5,-0.1988,33.1,499.4,53.1,0.187,4.4
21,6/4/17 9:00,0.123,1246.2,46.2,41.2,46.166,60.517,44.5,-0.1988,43.1,614.4,68.1,0.1899,4.393
22,6/4/17 10:00,0.1223,1603.7,63.7,58.7,47.289,65.701,38.1,-0.2039,56.9,800.6,86.9,0.1964,4.393
23,6/4/17 11:00,0.1238,1803.7,68.7,68.7,48.805,69.427,34,-0.2039,63.1,911.9,93.1,0.1957,4.393
24,6/4/17 12:00,0.1238,1913.7,73.7,73.7,50.621,70.587,27.9,-0.2039,66.9,993.1,95.6,0.1949,4.393
25,6/4/17 13:00,0.1238,1956.2,71.2,76.2,52.466,70.543,27.6,-0.2039,66.9,1020.6,93.1,0.1949,4.381
26,6/4/17 14:00,0.1223,1696.2,61.2,63.7,54.343,70.072,25.7,-0.2039,56.9,863.1,78.1,0.1957,4.381
27,6/4/17 15:00,0.1223,1763.7,61.2,63.7,56.251,70.329,27.3,-0.2039,58.1,885.6,81.9,0.1949,4.387
28,6/4/17 16:00,0.1238,1016.2,36.2,36.2,57.679,68.999,28.3,-0.2039,33.1,480.6,48.1,0.1942,4.393
29,6/4/17 17:00,0.1216,1153.7,38.7,43.7,58.066,71.834,27.9,-0.2039,43.1,569.4,63.1,0.1949,4.393
30,6/4/17 18:00,0.1216,771.2,23.7,31.2,57.722,71.361,27.7,-0.2039,30.6,379.4,44.4,0.1935,4.381
31,6/4/17 19:00,0.1209,391.2,8.7,13.7,57.16,68.013,30.4,-0.2039,15.6,200.6,23.1,0.1928,4.381
32,6/4/17 20:00,0.1194,51.2,1.2,1.2,56.383,50.18,56.5,-0.2039,0.6,19.4,0.6,0.1913,4.4
33,6/4/17 21:00,0.1194,1.2,1.2,1.2,55.429,43.763,69.9,-0.1988,0.6,0.6,0.6,0.1906,4.393
34,6/4/17 22:00,0.1187,1.2,1.2,1.2,54.473,41.508,72.4,-0.1988,0.6,0.6,0.6,0.1906,4.381
35,6/4/17 23:00,0.1187,1.2,1.2,1.2,53.515,40.392,75.1,-0.1988,0.6,0.6,0.6,0.1891,4.381
36,6/5/17 0:00,0.118,1.2,1.2,1.2,52.641,39.36,78.1,-0.1988,0.6,0.6,0.6,0.1884,4.375
37,6/5/17 1:00,0.1172,1.2,1.2,1.2,51.809,39.173,80.5,-0.1988,0.6,0.6,0.6,0.1884,4.369
38,6/5/17 2:00,0.1172,1.2,1.2,1.2,51.105,38.889,80.1,-0.1988,0.6,0.6,0.6,0.187,4.363
39,6/5/17 3:00,0.1172,1.2,1.2,1.2,50.4,37.081,83.7,-0.1988,0.6,0.6,0.6,0.1862,4.363
40,6/5/17 4:00,0.1172,1.2,1.2,1.2,49.737,35.443,86.9,-0.1988,0.6,0.6,0.6,0.1899,4.363
41,6/5/17 5:00,0.1172,1.2,1.2,1.2,49.161,34.907,87.8,-0.1988,0.6,0.6,0.6,0.1891,4.363
42,6/5/17 6:00,0.1172,26.2,1.2,1.2,48.538,35.685,89.1,-0.1988,0.6,6.9,0.6,0.1913,4.363
43,6/5/17 7:00,0.1172,106.2,1.2,1.2,48.004,36.795,88.6,-0.1988,0.6,30.6,0.6,0.1891,4.4
44,6/5/17 8:00,0.1172,893.7,31.2,26.2,47.826,50.135,70.2,-0.1988,29.4,438.1,48.1,0.1899,4.4
45,6/5/17 9:00,0.1172,1293.7,46.2,43.7,48.315,66.301,45,-0.1988,45.6,645.6,73.1,0.192,4.406
46,6/5/17 10:00,0.1172,1701.2,63.7,61.2,49.516,72.136,42.2,-0.2039,60.6,848.1,93.1,0.1884,4.442
47,6/5/17 11:00,0.1172,1913.7,71.2,71.2,50.974,72.739,29.2,-0.2039,68.1,969.4,100.6,0.1957,4.381
48,6/5/17 12:00,0.118,1966.2,71.2,73.7,52.686,73.17,27.7,-0.2039,70.6,1018.1,99.4,0.1942,4.387
49,6/5/17 13:00,0.118,2126.2,76.2,81.2,54.43,73.688,28.9,-0.2039,74.4,1109.4,104.4,0.1957,4.393
50,6/5/17 14:00,0.1172,653.7,21.2,21.2,56.079,67.971,29.5,-0.2039,21.9,311.9,30.6,0.1964,4.4
51,6/5/17 15:00,0.1165,1781.2,61.2,63.7,57.807,71.317,30.6,-0.2039,60.6,890.6,85.6,0.1964,4.381
52,6/5/17 16:00,0.1165,1463.7,48.7,53.7,58.885,71.06,29.6,-0.2039,50.6,725.6,75.6,0.1957,4.387
53,6/5/17 17:00,0.115,811.2,26.2,28.7,59.014,65.788,31.7,-0.2039,28.1,383.1,41.9,0.1957,4.393
54,6/5/17 18:00,0.1143,781.2,23.7,31.2,58.498,68.27,28.7,-0.2039,33.1,390.6,48.1,0.1957,4.448
55,6/5/17 19:00,0.1136,58.7,1.2,1.2,57.807,56.728,46.3,-0.2039,0.6,26.9,1.9,0.1935,4.393
56,6/5/17 20:00,0.115,8.7,1.2,1.2,56.988,50.047,64.6,-0.1988,0.6,4.4,0.6,0.1928,4.393
57,6/5/17 21:00,0.1143,1.2,1.2,1.2,56.122,51.501,55.6,-0.1988,0.6,0.6,0.6,0.1877,4.381
58,6/5/17 22:00,0.1136,1.2,1.2,1.2,55.256,46.571,73.2,-0.1988,0.6,0.6,0.6,0.1928,4.381
59,6/5/17 23:00,0.1129,1.2,1.2,1.2,54.473,42.8,78.3,-0.1988,0.6,0.6,0.6,0.184,4.381
60,6/6/17 0:00,0.1129,1.2,1.2,1.2,53.776,42.57,83.5,-0.1988,0.6,0.6,0.6,0.192,4.369
61,6/6/17 1:00,0.1121,1.2,1.2,1.2,53.121,41.787,85.2,-0.1988,0.6,0.6,0.6,0.1913,4.369
62,6/6/17 2:00,0.1114,1.2,1.2,1.2,52.466,38.179,89.2,-0.1988,0.6,0.6,0.6,0.1935,4.369
