"Plot Title: 9735538_SM_UM_B1_trmt"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735538, SEN S/N: 2012369, LBL: B1_Lshrub)","PAR, uE (LGR S/N: 9735538, SEN S/N: 9700887, LBL: B1_Rmeadow)","PAR, uE (LGR S/N: 9735538, SEN S/N: 9700895, LBL: B1_Rmeadow)","PAR, uE (LGR S/N: 9735538, SEN S/N: 9700903, LBL: B1_Lshrub)","Temp, °F (LGR S/N: 9735538, SEN S/N: 9713844, LBL: B1)","Voltage, V (LGR S/N: 9735538, SEN S/N: 9725486)","Solar Radiation, W/m² (LGR S/N: 9735538, SEN S/N: 9734413, LBL: B1_Rmeadow)","Solar Radiation, W/m² (LGR S/N: 9735538, SEN S/N: 9734414, LBL: B1_Rmeadow)","Water Content, m³/m³ (LGR S/N: 9735538, SEN S/N: 10769159, LBL: B1_Rmeadow)","Batt, V (LGR S/N: 9735538)"
1,05/17/19 10:00:00 AM,0.1550,2553.7,2553.7,2553.7,41.369,-0.1988,179.4,10.6,0.2276,4.393
2,05/17/19 10:10:00 AM,0.1550,318.7,6.2,8.7,41.416,-0.1988,141.9,8.1,0.2276,4.363
3,05/17/19 10:20:00 AM,0.1550,303.7,6.2,8.7,41.416,-0.1988,133.1,6.9,0.2284,4.381
4,05/17/19 10:30:00 AM,0.1550,323.7,6.2,8.7,41.416,-0.1988,141.9,8.1,0.2284,4.363
5,05/17/19 10:40:00 AM,0.1550,353.7,8.7,11.2,41.416,-0.1988,154.4,8.1,0.2276,4.393
6,05/17/19 10:50:00 AM,-888.8800,433.7,11.2,13.7,41.369,-0.1988,193.1,10.6,-888.8800,4.363
7,05/17/19 11:00:00 AM,-888.8800,-888.9,-888.9,-888.9,41.369,-0.1988,319.4,-888.9,-888.8800,4.490
8,05/17/19 11:10:00 AM,-888.8800,-888.9,-888.9,-888.9,-133.343,-0.1988,-888.9,-888.9,-888.8800,4.375
9,05/17/19 11:20:00 AM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.351
10,05/17/19 11:30:00 AM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.381
11,05/17/19 11:40:00 AM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.363
12,05/17/19 11:50:00 AM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.393
13,05/17/19 12:00:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.484
14,05/17/19 12:10:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.514
15,05/17/19 12:20:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.333
16,05/17/19 12:30:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.490
17,05/17/19 12:40:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.333
18,05/17/19 12:50:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.393
19,05/17/19 01:00:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.339
20,05/17/19 01:10:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.514
21,05/17/19 01:20:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.339
22,05/17/19 01:30:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.490
23,05/17/19 01:40:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.339
24,05/17/19 01:50:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.393
25,05/17/19 02:00:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.339
26,05/17/19 02:10:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.514
27,05/17/19 02:20:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.345
28,05/17/19 02:30:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.490
29,05/17/19 02:40:00 PM,-888.8800,-888.9,-888.9,13.7,41.369,20.6575,-888.9,-888.9,-888.8800,4.351
30,05/17/19 02:50:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.393
31,05/17/19 03:00:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.351
32,05/17/19 03:10:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.369
33,05/17/19 03:20:00 PM,-888.8800,1.2,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.363
34,05/17/19 03:30:00 PM,-888.8800,-888.9,638.7,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.484
35,05/17/19 03:40:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.387
36,05/17/19 03:50:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.333
37,05/17/19 04:00:00 PM,-888.8800,-888.9,-888.9,1278.7,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.393
38,05/17/19 04:10:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,0.6,-888.9,-0.4006,4.339
39,05/17/19 04:20:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.484
40,05/17/19 04:30:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.351
41,05/17/19 04:40:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.490
42,05/17/19 04:50:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.363
43,05/17/19 05:00:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.363
44,05/17/19 05:10:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.393
45,05/17/19 05:20:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-0.2039,-888.9,-888.9,-888.8800,4.333
46,05/17/19 05:30:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.418
47,05/17/19 05:40:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.339
48,05/17/19 05:50:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.508
49,05/17/19 06:00:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.351
50,05/17/19 06:10:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.496
51,05/17/19 06:20:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.369
52,05/17/19 06:30:00 PM,-888.8800,-888.9,-888.9,-888.9,-888.880,-888.8800,-888.9,-888.9,-888.8800,4.339
