Plot Title: 9735544_UpperMontaneB2,,,,,,,,,,,,,,
#,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735544, SEN S/N: 2010179)","Water Content, m³/m³ (LGR S/N: 9735544, SEN S/N: 2012377)","PAR, uE (LGR S/N: 9735544, SEN S/N: 9700892)","PAR, uE (LGR S/N: 9735544, SEN S/N: 9700894)","PAR, uE (LGR S/N: 9735544, SEN S/N: 9700902)","Temp, °F (LGR S/N: 9735544, SEN S/N: 9719148)","Temp, °F (LGR S/N: 9735544, SEN S/N: 9721322)","RH, % (LGR S/N: 9735544, SEN S/N: 9721322)","Voltage, V (LGR S/N: 9735544, SEN S/N: 9725494)","Solar Radiation, W/m² (LGR S/N: 9735544, SEN S/N: 9734397)","Solar Radiation, W/m² (LGR S/N: 9735544, SEN S/N: 9734399)","Solar Radiation, W/m² (LGR S/N: 9735544, SEN S/N: 9734400)","Batt, V (LGR S/N: 9735544)"
1,6/3/17 13:00,0.1114,0.0707,2553.7,1101.2,2553.7,56.512,65.145,30.5,-0.2039,83.1,960.6,79.4,4.351
2,6/3/17 14:00,0.1114,0.0693,56.2,46.2,1813.7,59.616,65.959,28.2,-0.2039,78.1,925.6,75.6,4.454
3,6/3/17 15:00,0.1107,0.0707,48.7,43.7,1653.7,61.848,67.714,29.4,-0.2039,74.4,841.9,66.9,4.363
4,6/3/17 16:00,0.1107,0.0736,38.7,41.2,1426.2,62.62,66.943,28.6,-0.2039,71.9,723.1,56.9,4.357
5,6/3/17 17:00,0.1107,0.0729,28.7,31.2,1128.7,62.447,68.313,25.1,-0.2039,64.4,579.4,45.6,4.351
6,6/3/17 18:00,0.1107,0.0729,18.7,16.2,796.2,61.59,65.916,27.1,-0.2039,39.4,411.9,31.9,4.454
7,6/3/17 19:00,0.1107,0.0729,8.7,6.2,441.2,59.788,63.433,32.4,-0.2039,16.9,239.4,18.1,4.369
8,6/3/17 20:00,0.1107,0.0904,1.2,1.2,48.7,57.679,46.391,55.2,-0.2039,0.6,16.9,0.6,4.363
9,6/3/17 21:00,0.1107,0.0954,1.2,1.2,1.2,55.429,40.811,69.1,-0.2039,0.6,0.6,0.6,4.363
10,6/3/17 22:00,0.1121,0.0976,1.2,1.2,1.2,53.559,39.313,71.1,-0.2039,0.6,0.6,0.6,4.363
11,6/3/17 23:00,0.1121,0.0911,1.2,1.2,1.2,51.895,37.369,73.4,-0.2039,0.6,0.6,0.6,4.363
12,6/4/17 0:00,0.1129,0.0947,1.2,1.2,1.2,50.445,36.747,75.1,-0.2039,0.6,0.6,0.6,4.363
13,6/4/17 1:00,0.1143,0.0947,1.2,1.2,1.2,49.161,34.124,82.5,-0.2039,0.6,0.6,0.6,4.357
14,6/4/17 2:00,0.115,0.0969,1.2,1.2,1.2,48.004,33.831,83.1,-0.2039,0.6,0.6,0.6,4.351
15,6/4/17 3:00,0.1158,0.0962,1.2,1.2,1.2,46.931,32.891,85.2,-0.2039,0.6,0.6,0.6,4.351
16,6/4/17 4:00,0.1165,0.0976,1.2,1.2,1.2,45.986,32.392,87,-0.2039,0.6,0.6,0.6,4.351
17,6/4/17 5:00,0.1165,0.0983,1.2,1.2,1.2,45.127,31.339,89.2,-0.2039,0.6,0.6,0.6,4.351
18,6/4/17 6:00,0.115,0.1042,1.2,1.2,33.7,44.355,32.193,88.8,-0.2039,0.6,11.9,0.6,4.351
19,6/4/17 7:00,0.1158,0.1121,1.2,1.2,83.7,43.808,33.681,89.7,-0.2039,0.6,24.4,0.6,4.363
20,6/4/17 8:00,0.115,0.1158,23.7,21.2,1001.2,45.036,51.458,62.3,-0.2039,51.9,508.1,36.9,4.369
21,6/4/17 9:00,0.1158,0.1158,31.2,31.2,1241.2,47.512,58.755,48.5,-0.2039,65.6,615.6,49.4,4.363
22,6/4/17 10:00,0.1129,0.1121,43.7,41.2,1593.7,51.589,64.459,39.6,-0.2039,83.1,790.6,65.6,4.357
23,6/4/17 11:00,0.1114,0.1071,51.2,43.7,1776.2,54.777,67.928,32.9,-0.2039,88.1,885.6,74.4,4.393
24,6/4/17 12:00,0.1092,0.1063,56.2,46.2,1886.2,56.122,68.828,29.6,-0.2039,88.1,948.1,79.4,4.369
25,6/4/17 13:00,0.1085,0.1063,58.7,46.2,1911.2,57.765,70.286,27.4,-0.2039,85.6,970.6,80.6,4.363
26,6/4/17 14:00,0.1085,0.1034,48.7,38.7,1648.7,60.861,70.072,26.4,-0.2039,71.9,826.9,68.1,4.357
27,6/4/17 15:00,0.1078,0.1056,48.7,43.7,1718.7,63.219,70.115,27.9,-0.2039,76.9,865.6,70.6,4.351
28,6/4/17 16:00,0.1071,0.1042,21.2,21.2,798.7,63.946,68.313,30.2,-0.2039,36.9,375.6,29.4,4.351
29,6/4/17 17:00,0.1071,0.1049,28.7,31.2,1158.7,63.732,70.803,29.6,-0.2039,66.9,583.1,46.9,4.351
30,6/4/17 18:00,0.1071,0.1042,18.7,16.2,808.7,62.834,70.286,28.6,-0.2039,40.6,411.9,33.1,4.351
31,6/4/17 19:00,0.1071,0.1042,8.7,6.2,446.2,61.29,67.627,30.2,-0.2039,16.9,238.1,18.1,4.363
32,6/4/17 20:00,0.1063,0.1042,1.2,1.2,53.7,59.142,50.268,56.1,-0.2039,0.6,20.6,0.6,4.363
33,6/4/17 21:00,0.1078,0.1049,1.2,1.2,1.2,57.031,43.443,70.4,-0.2039,0.6,0.6,0.6,4.363
34,6/4/17 22:00,0.1078,0.115,1.2,1.2,1.2,55.213,41.925,71,-0.2039,0.6,0.6,0.6,4.363
35,6/4/17 23:00,0.1078,0.1245,1.2,1.2,1.2,53.645,40.017,76.7,-0.2039,0.6,0.6,0.6,4.363
36,6/5/17 0:00,0.1085,0.1172,1.2,1.2,1.2,52.291,39.124,78.5,-0.2039,0.6,0.6,0.6,4.363
37,6/5/17 1:00,0.1092,0.1223,1.2,1.2,1.2,51.148,39.267,80,-0.2039,0.6,0.6,0.6,4.357
38,6/5/17 2:00,0.11,0.118,1.2,1.2,1.2,50.18,38.937,79,-0.2039,0.6,0.6,0.6,4.351
39,6/5/17 3:00,0.1107,0.1201,1.2,1.2,1.2,49.204,37.56,82.4,-0.2039,0.6,0.6,0.6,4.351
40,6/5/17 4:00,0.1114,0.1085,1.2,1.2,1.2,48.36,35.589,86.3,-0.2039,0.6,0.6,0.6,4.351
41,6/5/17 5:00,0.1114,0.1049,1.2,1.2,1.2,47.512,35.346,86.9,-0.2039,0.6,0.6,0.6,4.351
42,6/5/17 6:00,0.1121,0.1056,1.2,1.2,23.7,46.751,35.733,88,-0.2039,0.6,6.9,0.6,4.351
43,6/5/17 7:00,0.1121,0.1071,1.2,1.2,106.2,46.211,36.747,87.8,-0.2039,1.9,31.9,0.6,4.363
44,6/5/17 8:00,0.1121,0.1056,18.7,16.2,811.2,47.199,48.628,73.6,-0.2039,41.9,396.9,30.6,4.363
45,6/5/17 9:00,0.1114,0.1042,33.7,31.2,1291.2,50.223,63.819,45.9,-0.2039,71.9,644.4,53.1,4.363
46,6/5/17 10:00,0.1092,0.1056,46.2,41.2,1686.2,53.865,69.643,42.8,-0.2039,89.4,838.1,70.6,4.357
47,6/5/17 11:00,0.1071,0.102,53.7,46.2,1893.7,56.556,71.661,29.2,-0.2039,96.9,944.4,80.6,4.4
48,6/5/17 12:00,0.1049,0.102,56.2,46.2,1931.2,58.239,71.62,28.9,-0.2039,93.1,974.4,83.1,4.393
49,6/5/17 13:00,0.1042,0.0998,61.2,48.7,2081.2,59.916,72.437,29,-0.2039,96.9,1059.4,89.4,4.381
50,6/5/17 14:00,0.1027,0.0991,16.2,13.7,653.7,62.834,67.285,30.7,-0.2039,30.6,311.9,25.6,4.363
51,6/5/17 15:00,0.1012,0.0976,48.7,41.2,1733.7,63.946,69.643,32.2,-0.2039,80.6,871.9,73.1,4.381
52,6/5/17 16:00,0.1005,0.0998,36.2,36.2,1433.7,64.288,70.329,28.8,-0.2039,75.6,723.1,59.4,4.357
53,6/5/17 17:00,0.102,0.0991,23.7,23.7,931.2,63.176,65.23,32.4,-0.2039,51.9,456.9,38.1,4.357
54,6/5/17 18:00,0.1005,0.0998,18.7,13.7,816.2,62.233,67.158,29.9,-0.2039,43.1,420.6,35.6,4.357
55,6/5/17 19:00,0.0998,0.0998,1.2,1.2,61.2,60.433,56.469,45,-0.2039,1.9,28.1,1.9,4.363
56,6/5/17 20:00,0.1042,0.0998,1.2,1.2,8.7,58.669,50.002,65,-0.2039,0.6,5.6,0.6,4.363
57,6/5/17 21:00,0.1063,0.1027,1.2,1.2,1.2,56.901,51.501,55.3,-0.2039,0.6,0.6,0.6,4.363
58,6/5/17 22:00,0.1071,0.102,1.2,1.2,1.2,55.69,46.481,72.5,-0.2039,0.6,0.6,0.6,4.357
59,6/5/17 23:00,0.1049,0.1063,1.2,1.2,1.2,54.43,43.122,77,-0.2039,0.6,0.6,0.6,4.363
60,6/6/17 0:00,0.1056,0.1056,1.2,1.2,1.2,53.384,42.525,82.1,-0.2039,0.6,0.6,0.6,4.357
61,6/6/17 1:00,0.1071,0.1049,1.2,1.2,1.2,52.597,41.832,84.4,-0.2039,0.6,0.6,0.6,4.357
62,6/6/17 2:00,0.1078,0.1042,1.2,1.2,1.2,51.544,38.084,88.4,-0.2039,0.6,0.6,0.6,4.357
63,6/6/17 3:00,0.1085,0.1034,1.2,1.2,1.2,50.4,35.638,91.4,-0.2039,0.6,0.6,0.6,4.357
64,6/6/17 4:00,0.1078,0.1071,1.2,1.2,1.2,49.516,38.557,89.1,-0.2039,0.6,0.6,0.6,4.351
65,6/6/17 5:00,0.1063,0.1078,1.2,1.2,1.2,48.938,38.606,88.6,-0.2039,0.6,0.6,0.6,4.381
66,6/6/17 6:00,0.1071,0.102,1.2,1.2,21.2,48.094,35.2,92,-0.2039,0.6,5.6,0.6,4.351
