Plot Title: 9735544_UpperMontaneB2,,,,,,,,,,,,,,,
#,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735544, SEN S/N: 2010179)","Water Content, m³/m³ (LGR S/N: 9735544, SEN S/N: 2012377)","PAR, uE (LGR S/N: 9735544, SEN S/N: 9700892)","PAR, uE (LGR S/N: 9735544, SEN S/N: 9700894)","PAR, uE (LGR S/N: 9735544, SEN S/N: 9700902)","Temp, °F (LGR S/N: 9735544, SEN S/N: 9719148)","Temp, °F (LGR S/N: 9735544, SEN S/N: 9721322)","RH, % (LGR S/N: 9735544, SEN S/N: 9721322)","Voltage, V (LGR S/N: 9735544, SEN S/N: 9725494)","Current, mA (LGR S/N: 9735544, SEN S/N: 9725494)","Solar Radiation, W/m² (LGR S/N: 9735544, SEN S/N: 9734397)","Solar Radiation, W/m² (LGR S/N: 9735544, SEN S/N: 9734399)","Solar Radiation, W/m² (LGR S/N: 9735544, SEN S/N: 9734400)","Batt, V (LGR S/N: 9735544)"
1,5/9/18 12:00,0.1732,0.2247,61.2,56.2,1976.2,49.116,67.199,22.9,-0.2039,0,70.6,1016.9,64.4,4.448
2,5/9/18 12:10,0.1732,0.2204,68.7,61.2,2163.7,49.471,66.385,21.5,-0.2039,0,76.9,1119.4,69.4,4.345
3,5/9/18 12:20,0.1732,0.2218,53.7,48.7,1756.2,49.914,69.858,23.3,-0.2039,0,60.6,900.6,55.6,4.339
4,5/9/18 12:30,0.1732,0.2225,58.7,53.7,1866.2,50.4,68.742,21.9,-0.2039,0,65.6,956.9,59.4,4.345
5,5/9/18 12:40,0.1732,0.2218,53.7,48.7,1766.2,50.974,70.286,22.4,-0.2039,0,60.6,900.6,54.4,4.339
6,5/9/18 12:50,0.1739,0.2225,36.2,33.7,1188.7,51.237,67.071,24.9,-0.2039,0,40.6,596.9,36.9,4.393
7,5/9/18 13:00,0.1732,0.2204,46.2,41.2,1486.2,51.589,68.185,22.6,-0.2039,0,50.6,755.6,45.6,4.351
8,5/9/18 13:10,0.1732,0.2204,51.2,46.2,1691.2,51.895,68.657,24.9,-0.2039,0,58.1,866.9,51.9,4.339
9,5/9/18 13:20,0.1739,0.2211,43.7,38.7,1386.2,52.203,67.456,23.7,-0.2039,0,48.1,703.1,43.1,4.351
10,5/9/18 13:30,0.1724,0.2218,31.2,28.7,1033.7,52.16,64.247,28,-0.2039,0,35.6,515.6,30.6,4.363
11,5/9/18 13:40,0.1732,0.2204,31.2,28.7,1018.7,52.203,64.247,25.5,-0.2039,0,35.6,511.9,30.6,4.351
12,5/9/18 13:50,0.1732,0.2218,28.7,26.2,918.7,52.203,65.017,26.8,-0.2039,0,30.6,456.9,26.9,4.339
13,5/9/18 14:00,0.1732,0.2218,33.7,31.2,1126.2,52.115,63.39,26.6,-0.2039,0,38.1,565.6,33.1,4.351
14,5/9/18 14:10,0.1732,0.2218,33.7,31.2,1101.2,52.115,64.332,27.3,-0.2039,0,38.1,554.4,33.1,4.345
15,5/9/18 14:20,0.1732,0.2218,28.7,26.2,931.2,52.115,62.704,28,-0.2039,0,31.9,468.1,28.1,4.357
16,5/9/18 14:30,0.1724,0.2218,28.7,26.2,976.2,52.072,63.133,26.2,-0.2039,0,33.1,491.9,29.4,4.345
17,5/9/18 14:40,0.1724,0.2225,26.2,23.7,843.7,52.115,64.117,25.1,-0.2039,0,28.1,420.6,25.6,4.363
18,5/9/18 14:50,0.1717,0.2211,41.2,38.7,1401.2,51.984,61.205,27.3,-0.2039,0,48.1,714.4,41.9,4.351
19,5/9/18 15:00,0.1724,0.2218,46.2,43.7,1576.2,52.246,66.13,27.1,-0.2039,0,53.1,805.6,46.9,4.363
20,5/9/18 15:10,0.1717,0.2204,33.7,31.2,1136.2,52.423,63.604,25.4,-0.2039,0,38.1,575.6,33.1,4.345
21,5/9/18 15:20,0.1717,0.2204,38.7,36.2,1323.7,52.509,63.604,27.6,-0.2039,0,44.4,674.4,39.4,4.363
22,5/9/18 15:30,0.1717,0.2218,33.7,33.7,1168.7,52.772,65.829,24.2,-0.2039,0,39.4,588.1,33.1,4.345
23,5/9/18 15:40,0.1717,0.2218,28.7,28.7,1001.2,52.817,64.76,26.2,-0.2039,0,34.4,505.6,29.4,4.363
24,5/9/18 15:50,0.1717,0.2218,26.2,23.7,873.7,52.903,64.845,24.9,-0.2039,0,29.4,439.4,25.6,4.351
25,5/9/18 16:00,0.1717,0.2218,33.7,33.7,1138.7,52.992,65.829,27.4,-0.2039,0,39.4,580.6,33.1,4.369
26,5/9/18 16:10,0.1717,0.2218,21.2,18.7,683.7,52.947,62.447,26.4,-0.2039,0,23.1,340.6,20.6,4.351
27,5/9/18 16:20,0.171,0.2218,23.7,23.7,863.7,52.772,61.633,26.6,-0.2039,0,29.4,430.6,24.4,4.381
28,5/9/18 16:30,0.171,0.2218,38.7,38.7,1366.2,52.817,65.017,24.8,-0.2039,0,48.1,705.6,39.4,4.351
29,5/9/18 16:40,0.1717,0.2218,21.2,21.2,806.2,52.992,65.487,24.8,-0.2039,0,26.9,404.4,23.1,4.393
30,5/9/18 16:50,0.171,0.2211,31.2,31.2,1118.7,52.86,62.62,27.7,-0.2039,0,39.4,573.1,30.6,4.351
31,5/9/18 17:00,0.171,0.2211,18.7,18.7,663.7,52.772,61.59,27.9,-0.2039,0,21.9,330.6,18.1,4.351
32,5/9/18 17:10,0.1717,0.2218,26.2,28.7,1023.7,52.686,61.462,28.1,-0.2039,0,35.6,528.1,28.1,4.357
33,5/9/18 17:20,0.171,0.2211,11.2,11.2,443.7,52.554,60.647,28.3,-0.2039,0,14.4,218.1,11.9,4.351
34,5/9/18 17:30,0.171,0.2211,11.2,11.2,416.2,52.335,59.401,28.8,-0.2039,0,14.4,210.6,11.9,4.363
35,5/9/18 17:40,0.1702,0.2211,16.2,16.2,593.7,52.115,59.572,29.3,-0.2039,0,20.6,300.6,16.9,4.351
36,5/9/18 17:50,0.1702,0.2211,11.2,11.2,416.2,51.94,59.745,31.4,-0.2039,0,14.4,205.6,11.9,4.363
37,5/9/18 18:00,0.1702,0.2204,8.7,8.7,356.2,51.764,59.959,29.2,-0.2039,0,11.9,178.1,10.6,4.363
38,5/9/18 18:10,0.1695,0.2204,8.7,6.2,296.2,51.678,61.462,29.4,-0.2039,0,9.4,140.6,8.1,4.369
39,5/9/18 18:20,0.1702,0.2204,6.2,3.7,228.7,51.37,57.506,31.9,-0.2039,0,6.9,109.4,5.6,4.357
40,5/9/18 18:30,0.1695,0.2204,6.2,3.7,253.7,51.105,56.512,34.1,-0.2039,0,6.9,125.6,5.6,4.363
41,5/9/18 18:40,0.1702,0.2211,3.7,1.2,223.7,50.886,55.386,35.9,-0.2039,0,4.4,109.4,4.4,4.363
42,5/9/18 18:50,0.1695,0.2204,11.2,6.2,486.2,50.621,58.195,33.3,-0.2039,0,9.4,266.9,11.9,4.357
43,5/9/18 19:00,0.1695,0.2189,1.2,1.2,98.7,50.356,58.066,31.6,-0.2039,0,0.6,35.6,0.6,4.363
44,5/9/18 19:10,0.1695,0.2196,1.2,1.2,81.2,50.002,51.193,41.8,-0.2039,0,0.6,26.9,0.6,4.363
45,5/9/18 19:20,0.1695,0.2189,1.2,1.2,68.7,49.649,49.294,45.2,-0.2039,0,0.6,24.4,0.6,4.369
46,5/9/18 19:30,0.1688,0.2189,1.2,1.2,58.7,49.294,45.399,54.1,-0.2039,0,0.6,21.9,0.6,4.363
47,5/9/18 19:40,0.1688,0.2189,1.2,1.2,36.2,48.895,43.671,58.5,-0.2039,0,0.6,10.6,0.6,4.369
48,5/9/18 19:50,0.1688,0.2182,1.2,1.2,23.7,48.538,43.122,61.3,-0.2039,0,0.6,8.1,0.6,4.363
49,5/9/18 20:00,0.1688,0.2182,1.2,1.2,13.7,48.182,42.294,62.9,-0.2039,0,0.6,4.4,0.6,4.351
50,5/9/18 20:10,0.1681,0.2182,1.2,1.2,3.7,47.826,40.532,65.7,-0.2039,0,0.6,1.9,0.6,4.357
51,5/9/18 20:20,0.1681,0.2182,1.2,1.2,1.2,47.512,38.464,71,-0.2039,0,0.6,0.6,0.6,4.357
52,5/9/18 20:30,0.1688,0.2182,1.2,1.2,1.2,47.154,38.889,70.4,-0.2039,0,0.6,0.6,0.6,4.351
53,5/9/18 20:40,0.1681,0.2182,1.2,1.2,1.2,46.841,38.464,69.8,-0.2039,0,0.6,0.6,0.6,4.351
54,5/9/18 20:50,0.1688,0.2189,1.2,1.2,1.2,46.526,38.226,71.4,-0.2039,0,0.6,0.6,0.6,4.351
55,5/9/18 21:00,0.1681,0.2189,1.2,1.2,1.2,46.256,36.747,74.7,-0.2039,0,0.6,0.6,0.6,4.351
56,5/9/18 21:10,0.1681,0.2189,1.2,1.2,1.2,45.941,36.41,74.7,-0.2039,0,0.6,0.6,0.6,4.351
57,5/9/18 21:20,0.1673,0.2182,1.2,1.2,1.2,45.669,36.361,74.8,-0.2039,0,0.6,0.6,0.6,4.351
58,5/9/18 21:30,0.1673,0.2182,1.2,1.2,1.2,45.399,36.698,73.6,-0.2039,0,0.6,0.6,0.6,4.351
59,5/9/18 21:40,0.1681,0.2189,1.2,1.2,1.2,45.127,35.733,75.4,-0.2039,0,0.6,0.6,0.6,4.351
60,5/9/18 21:50,0.1673,0.2189,1.2,1.2,1.2,44.901,35.928,76.9,-0.2039,0,0.6,0.6,0.6,4.351
61,5/9/18 22:00,0.1673,0.2189,1.2,1.2,1.2,44.674,36.939,71.1,-0.2039,0,0.6,0.6,0.6,4.351
62,5/9/18 22:10,0.1673,0.2189,1.2,1.2,1.2,44.4,34.907,77.8,-0.2039,0,0.6,0.6,0.6,4.369
63,5/9/18 22:20,0.1673,0.2189,1.2,1.2,1.2,44.173,34.419,78.7,-0.2039,0,0.6,0.6,0.6,4.351
64,5/9/18 22:30,0.1673,0.2189,1.2,1.2,1.2,43.945,34.615,78.9,-0.2039,0,0.6,0.6,0.6,4.351
65,5/9/18 22:40,0.1673,0.2189,1.2,1.2,1.2,43.716,36.747,73.3,-0.2039,0,0.6,0.6,0.6,4.351
66,5/9/18 22:50,0.1666,0.2189,1.2,1.2,1.2,43.488,33.732,78,-0.2039,0,0.6,0.6,0.6,4.351
67,5/9/18 23:00,0.1673,0.2182,1.2,1.2,1.2,43.259,34.075,77.8,-0.2039,0,0.6,0.6,0.6,4.345
68,5/9/18 23:10,0.1673,0.2189,1.2,1.2,1.2,43.03,34.81,76.2,-0.2039,0,0.6,0.6,0.6,4.351
69,5/9/18 23:20,0.1673,0.2182,1.2,1.2,1.2,42.847,34.174,76.8,-0.2039,0,0.6,0.6,0.6,4.345
70,5/9/18 23:30,0.1673,0.2182,1.2,1.2,1.2,42.663,33.584,78.6,-0.2039,0,0.6,0.6,0.6,4.351
71,5/9/18 23:40,0.1666,0.2182,1.2,1.2,1.2,42.433,32.99,80.4,-0.2039,0,0.6,0.6,0.6,4.345
72,5/9/18 23:50,0.1673,0.2182,1.2,1.2,1.2,42.247,32.79,80.9,-0.2039,0,0.6,0.6,0.6,4.345
73,5/10/18 0:00,0.1673,0.2182,1.2,1.2,1.2,42.064,32.94,80.5,-0.2039,0,0.6,0.6,0.6,4.345
74,5/10/18 0:10,0.1673,0.2182,1.2,1.2,1.2,41.878,32.243,83.4,-0.2039,0,0.6,0.6,0.6,4.345
75,5/10/18 0:20,0.1673,0.2182,1.2,1.2,1.2,41.693,33.336,78.9,-0.2039,0,0.6,0.6,0.6,4.345
76,5/10/18 0:30,0.1673,0.2182,1.2,1.2,1.2,41.508,31.491,83,-0.2039,0,0.6,0.6,0.6,4.345
