"Plot Title: 9735544_SM_UM_B2_ctrl"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735544, SEN S/N: 2010179, LBL: B2_Rmead)","Water Content, m³/m³ (LGR S/N: 9735544, SEN S/N: 2012377, LBL: B2_Lshrub)","PAR, uE (LGR S/N: 9735544, SEN S/N: 9700892, LBL: B2_Lshrub)","PAR, uE (LGR S/N: 9735544, SEN S/N: 9700894, LBL: B2_Rmeadow)","PAR, uE (LGR S/N: 9735544, SEN S/N: 9700902, LBL: B2_Rmeadow)","Temp, °F (LGR S/N: 9735544, SEN S/N: 9719148, LBL: UM_B2)","Temp, °F (LGR S/N: 9735544, SEN S/N: 9721322, LBL: UM_B2)","RH, % (LGR S/N: 9735544, SEN S/N: 9721322, LBL: UM_B2)","Voltage, V (LGR S/N: 9735544, SEN S/N: 9725494)","Current, mA (LGR S/N: 9735544, SEN S/N: 9725494)","Solar Radiation, W/m² (LGR S/N: 9735544, SEN S/N: 9734397, LBL: B2_Rmeadow)","Solar Radiation, W/m² (LGR S/N: 9735544, SEN S/N: 9734399, LBL: B2_Rmeadow)","Solar Radiation, W/m² (LGR S/N: 9735544, SEN S/N: 9734400, LBL: B2_Lshrub)","Batt, V (LGR S/N: 9735544)"
1,06/10/19 12:00:00 PM,0.1899,0.2204,2553.7,1071.2,2553.7,58.455,69.514,31.400,-0.1631,0.0000,85.6,1053.1,73.1,4.363
2,06/10/19 12:10:00 PM,0.1899,0.2204,36.2,31.2,1156.2,59.056,70.543,27.200,-0.1478,0.0000,48.1,601.9,40.6,4.339
3,06/10/19 12:20:00 PM,0.1899,0.2204,66.2,61.2,2136.2,59.486,71.231,27.700,-0.1478,0.0000,90.6,1145.6,78.1,4.369
4,06/10/19 12:30:00 PM,0.1906,0.2211,58.7,51.2,1851.2,59.916,72.869,37.500,-0.1478,0.0000,78.1,991.9,66.9,4.345
5,06/10/19 12:40:00 PM,0.1891,0.2211,58.7,51.2,1873.7,60.217,70.803,30.500,-0.1529,0.0000,78.1,1006.9,66.9,4.381
6,06/10/19 12:50:00 PM,0.1899,0.2211,66.2,58.7,2111.2,60.561,70.846,26.400,-0.1580,0.0000,88.1,1139.4,75.6,4.351
7,06/10/19 01:00:00 PM,0.1899,0.2211,61.2,53.7,1993.7,60.948,73.083,25.800,-0.1580,0.0000,81.9,1079.4,71.9,4.393
8,06/10/19 01:10:00 PM,0.1899,0.2218,63.7,56.2,2088.7,61.333,74.511,31.600,-0.1580,0.0000,85.6,1131.9,74.4,4.351
9,06/10/19 01:20:00 PM,0.1899,0.2218,63.7,56.2,2066.2,61.761,75.898,24.800,-0.1580,0.0000,84.4,1120.6,73.1,4.448
10,06/10/19 01:30:00 PM,0.1899,0.2218,58.7,51.2,1883.7,62.191,81.023,32.200,-0.1631,0.0000,75.6,1004.4,64.4,4.351
11,06/10/19 01:40:00 PM,0.1899,0.2218,56.2,51.2,1853.7,62.191,81.066,30.300,-0.1631,0.0000,73.1,976.9,63.1,4.345
12,06/10/19 01:50:00 PM,0.1899,0.2218,58.7,53.7,1961.2,62.319,75.160,28.900,-0.1682,0.0000,79.4,1055.6,68.1,4.363
13,06/10/19 02:00:00 PM,0.1899,0.2225,66.2,58.7,2171.2,62.661,78.865,28.900,-0.1631,0.0000,88.1,1181.9,75.6,4.345
14,06/10/19 02:10:00 PM,0.1899,0.2225,66.2,58.7,2163.7,63.005,77.902,24.900,-0.1631,0.0000,88.1,1181.9,75.6,4.363
15,06/10/19 02:20:00 PM,0.1899,0.2225,61.2,53.7,2048.7,63.347,78.777,22.600,-0.1631,0.0000,83.1,1114.4,70.6,4.351
16,06/10/19 02:30:00 PM,0.1899,0.2225,58.7,53.7,2003.7,63.518,72.136,25.700,-0.1682,0.0000,80.6,1086.9,68.1,4.369
17,06/10/19 02:40:00 PM,0.1891,0.2233,56.2,51.2,1903.7,63.732,75.681,28.400,-0.1682,0.0000,75.6,1034.4,64.4,4.351
18,06/10/19 02:50:00 PM,0.1891,0.2225,56.2,53.7,1971.2,63.819,75.333,34.500,-0.1682,0.0000,78.1,1061.9,65.6,4.393
19,06/10/19 03:00:00 PM,0.1891,0.2218,53.7,48.7,1863.7,63.946,75.551,25.300,-0.1682,0.0000,74.4,1001.9,60.6,4.351
20,06/10/19 03:10:00 PM,0.1891,0.2225,31.2,28.7,1123.7,63.946,78.690,25.900,-0.1733,0.0000,44.4,588.1,35.6,4.345
21,06/10/19 03:20:00 PM,0.1877,0.2233,53.7,51.2,1868.7,63.604,68.657,38.400,-0.1733,0.0000,75.6,995.6,60.6,4.363
22,06/10/19 03:30:00 PM,0.1877,0.2225,51.2,48.7,1828.7,63.732,73.731,25.000,-0.1733,0.0000,73.1,976.9,58.1,4.351
23,06/10/19 03:40:00 PM,0.1870,0.2225,31.2,31.2,1133.7,63.561,69.600,28.200,-0.1733,0.0000,44.4,590.6,35.6,4.369
24,06/10/19 03:50:00 PM,0.1877,0.2225,48.7,48.7,1823.7,63.518,73.818,30.700,-0.1733,0.0000,74.4,973.1,58.1,4.351
25,06/10/19 04:00:00 PM,0.1877,0.2233,43.7,43.7,1616.2,63.390,72.610,26.100,-0.1733,0.0000,65.6,856.9,50.6,4.387
26,06/10/19 04:10:00 PM,0.1877,0.2233,46.2,46.2,1716.2,63.347,72.869,27.300,-0.1733,0.0000,70.6,909.4,53.1,4.357
27,06/10/19 04:20:00 PM,0.1870,0.2225,18.7,16.2,676.2,63.176,72.480,26.000,-0.1733,0.0000,26.9,349.4,20.6,4.345
28,06/10/19 04:30:00 PM,0.1870,0.2225,16.2,16.2,643.7,62.791,65.829,26.100,-0.1733,0.0000,25.6,330.6,20.6,4.363
29,06/10/19 04:40:00 PM,0.1862,0.2225,46.2,48.7,1746.2,62.362,65.959,31.600,-0.1784,0.0000,76.9,934.4,55.6,4.357
