Plot Title: 20139116_UMC1,,,,
#,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20139116, SEN S/N: 20145938)","Water Content, m³/m³ (LGR S/N: 20139116, SEN S/N: 20152219)","Temp, °F (LGR S/N: 20139116, SEN S/N: 20391814, LBL: UM_Rmeadow)"
1,5/16/18 11:40,0.2694,0.2783,
2,5/16/18 12:40,0.2746,0.2806,
3,5/16/18 13:40,0.2759,0.2821,
4,5/16/18 14:40,0.277,0.2824,
5,5/16/18 15:40,0.2773,0.2834,
6,5/16/18 16:40,0.278,0.2834,
7,5/16/18 17:40,0.278,0.2837,
8,5/16/18 18:40,0.279,0.284,
9,5/16/18 19:40,0.2793,0.2844,
10,5/16/18 20:40,0.2786,0.2847,
11,5/16/18 21:40,0.2793,0.2847,
12,5/16/18 22:40,0.2803,0.285,
13,5/16/18 23:40,0.28,0.285,
14,5/17/18 0:40,0.28,0.2857,
15,5/17/18 1:40,0.2803,0.2857,
16,5/17/18 2:40,0.2803,0.2857,
17,5/17/18 3:40,0.2806,0.2857,
18,5/17/18 4:40,0.2806,0.2853,
19,5/17/18 5:40,0.2806,0.2853,
20,5/17/18 6:40,0.2806,0.2857,
21,5/17/18 7:40,0.2806,0.2857,
22,5/17/18 8:40,0.28,0.2861,
23,5/17/18 9:40,0.2796,0.2861,
24,5/17/18 10:40,0.28,0.2857,
25,5/17/18 11:40,0.2796,0.285,
26,5/17/18 12:40,0.28,0.285,
27,5/17/18 13:40,0.2793,0.2847,
28,5/17/18 14:40,0.28,0.285,
29,5/17/18 15:40,0.279,0.2847,
30,5/17/18 16:40,0.2793,0.2847,
31,5/17/18 17:40,0.28,0.2847,
32,5/17/18 18:40,0.2793,0.2847,
33,5/17/18 19:40,0.2796,0.285,
34,5/17/18 20:40,0.2803,0.2853,
35,5/17/18 21:40,0.2796,0.285,
36,5/17/18 22:40,0.2806,0.285,
37,5/17/18 23:40,0.2803,0.285,
38,5/18/18 0:40,0.2803,0.2857,
39,5/18/18 1:40,0.281,0.2857,
40,5/18/18 2:40,0.281,0.2857,
41,5/18/18 3:40,0.2806,0.2857,
42,5/18/18 4:40,0.2806,0.2857,
43,5/18/18 5:40,0.2803,0.2853,
44,5/18/18 6:40,0.2806,0.2853,
45,5/18/18 7:40,0.2803,0.2857,
46,5/18/18 8:40,0.281,0.2853,
47,5/18/18 9:40,0.281,0.2853,
48,5/18/18 10:40,0.2796,0.2853,
49,5/18/18 11:40,0.2796,0.2853,
50,5/18/18 12:40,0.2796,0.2847,
51,5/18/18 13:40,0.28,0.2847,
52,5/18/18 14:40,0.2796,0.2847,
53,5/18/18 15:40,0.2796,0.2844,
54,5/18/18 16:40,0.2796,0.2844,
55,5/18/18 17:40,0.2796,0.2847,
