"Plot Title: 20139116_SM_UM_C1_trmt"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20139116, SEN S/N: 20145938, LBL: UM_Lshrub)","Water Content, m³/m³ (LGR S/N: 20139116, SEN S/N: 20152219, LBL: UM_Rmeadow)","Temp, °F (LGR S/N: 20139116, SEN S/N: 20391814, LBL: UM_Rmeadow)"
1,05/17/19 09:00:01 AM,0.3062,0.2987,41.601
2,05/17/19 10:00:01 AM,0.3066,0.2987,42.064
3,05/17/19 11:00:01 AM,0.3062,0.2987,42.386
4,05/17/19 12:00:01 PM,0.3062,0.2984,43.167
5,05/17/19 01:00:01 PM,0.3058,0.2987,45.036
6,05/17/19 02:00:01 PM,0.3058,0.2987,46.346
7,05/17/19 03:00:01 PM,0.3058,0.2987,47.334
8,05/17/19 04:00:01 PM,0.3058,0.2987,48.850
9,05/17/19 05:00:01 PM,0.3058,0.2984,49.604
10,05/17/19 06:00:01 PM,0.3058,0.2984,49.428
11,05/17/19 07:00:01 PM,0.3058,0.2979,48.672
12,05/17/19 08:00:01 PM,0.3054,0.2984,47.334
13,05/17/19 09:00:01 PM,0.3054,0.2976,46.121
14,05/17/19 10:00:01 PM,0.3054,0.2979,45.127
15,05/17/19 11:00:01 PM,0.3054,0.2979,44.263
16,05/18/19 12:00:01 AM,0.3054,0.2976,43.488
17,05/18/19 01:00:01 AM,0.3051,0.2973,42.800
18,05/18/19 02:00:01 AM,0.3051,0.2976,42.156
19,05/18/19 03:00:01 AM,0.3051,0.2976,41.508
20,05/18/19 04:00:01 AM,0.3051,0.2973,40.951
21,05/18/19 05:00:01 AM,0.3051,0.2976,40.532
22,05/18/19 06:00:01 AM,0.3051,0.2976,40.204
23,05/18/19 07:00:01 AM,0.3051,0.2973,39.924
24,05/18/19 08:00:01 AM,0.3051,0.2973,39.690
25,05/18/19 09:00:01 AM,0.3051,0.2976,39.549
26,05/18/19 10:00:01 AM,0.3051,0.2973,39.549
27,05/18/19 11:00:01 AM,0.3051,0.2976,39.736
28,05/18/19 12:00:01 PM,0.3054,0.2987,41.508
29,05/18/19 01:00:01 PM,0.3051,0.2987,44.674
30,05/18/19 02:00:01 PM,0.3051,0.2987,47.422
31,05/18/19 03:00:01 PM,0.3054,0.2987,48.938
32,05/18/19 04:00:01 PM,0.3054,0.2984,48.315
33,05/18/19 05:00:01 PM,0.3058,0.2979,46.661
34,05/18/19 06:00:01 PM,0.3062,0.2984,45.489
35,05/18/19 07:00:01 PM,0.3062,0.2984,44.764
36,05/18/19 08:00:01 PM,0.3062,0.2984,43.990
37,05/18/19 09:00:01 PM,0.3066,0.2979,43.122
38,05/18/19 10:00:01 PM,0.3066,0.2979,41.970
39,05/18/19 11:00:01 PM,0.3066,0.2979,40.811
40,05/19/19 12:00:01 AM,0.3062,0.3005,39.830
41,05/19/19 01:00:01 AM,0.3066,0.2979,38.937
42,05/19/19 02:00:01 AM,0.3066,0.3011,38.226
43,05/19/19 03:00:01 AM,0.3066,0.3008,37.702
44,05/19/19 04:00:01 AM,0.3066,0.2990,37.274
45,05/19/19 05:00:01 AM,0.3066,0.2990,36.842
46,05/19/19 06:00:01 AM,0.3066,0.3005,36.505
47,05/19/19 07:00:01 AM,0.3066,0.2984,36.217
48,05/19/19 08:00:01 AM,0.3069,0.2979,36.025
49,05/19/19 09:00:01 AM,0.3066,0.2984,36.025
50,05/19/19 10:00:01 AM,0.3066,0.2987,36.986
51,05/19/19 11:00:01 AM,0.3069,0.2984,38.795
