Plot Title: 20290165_C2,,,,
#,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20290165, SEN S/N: 20145933)","Water Content, m³/m³ (LGR S/N: 20290165, SEN S/N: 20152221)","Temp, °F (LGR S/N: 20290165, SEN S/N: 20399282, LBL: UM_Lmeadow)"
1,5/16/18 11:34,0.2877,0.1881,
2,5/16/18 12:34,0.289,0.1913,
3,5/16/18 13:34,0.2895,0.1926,
4,5/16/18 14:34,0.2901,0.1939,
5,5/16/18 15:34,0.2904,0.1945,
6,5/16/18 16:34,0.2904,0.1948,
7,5/16/18 17:34,0.2908,0.1954,
8,5/16/18 18:34,0.2911,0.1948,
9,5/16/18 19:34,0.2911,0.1954,
10,5/16/18 20:34,0.2911,0.1954,
11,5/16/18 21:34,0.2914,0.1958,
12,5/16/18 22:34,0.2919,0.1963,
13,5/16/18 23:34,0.2914,0.1967,
14,5/17/18 0:34,0.2914,0.1967,
15,5/17/18 1:34,0.2919,0.1972,
16,5/17/18 2:34,0.2919,0.1972,
17,5/17/18 3:34,0.2919,0.1972,
18,5/17/18 4:34,0.2919,0.1981,
19,5/17/18 5:34,0.2922,0.1981,
20,5/17/18 6:34,0.2919,0.1985,
21,5/17/18 7:34,0.2922,0.199,
22,5/17/18 8:34,0.2922,0.1999,
23,5/17/18 9:34,0.2922,0.1999,
24,5/17/18 10:34,0.2922,0.2003,
25,5/17/18 11:34,0.2919,0.1994,
26,5/17/18 12:34,0.2914,0.1994,
27,5/17/18 13:34,0.2911,0.199,
28,5/17/18 14:34,0.2911,0.1985,
29,5/17/18 15:34,0.2911,0.1985,
30,5/17/18 16:34,0.2908,0.1985,
31,5/17/18 17:34,0.2908,0.1985,
32,5/17/18 18:34,0.2908,0.1981,
33,5/17/18 19:34,0.2911,0.1981,
34,5/17/18 20:34,0.2911,0.1981,
35,5/17/18 21:34,0.2911,0.1981,
36,5/17/18 22:34,0.2911,0.1981,
37,5/17/18 23:34,0.2911,0.1981,
38,5/18/18 0:34,0.2911,0.1985,
39,5/18/18 1:34,0.2914,0.1994,
40,5/18/18 2:34,0.2914,0.1994,
41,5/18/18 3:34,0.2914,0.1994,
42,5/18/18 4:34,0.2914,0.1999,
43,5/18/18 5:34,0.2914,0.1999,
44,5/18/18 6:34,0.2914,0.1999,
45,5/18/18 7:34,0.2914,0.1999,
46,5/18/18 8:34,0.2914,0.2008,
47,5/18/18 9:34,0.2914,0.2012,
48,5/18/18 10:34,0.2914,0.2008,
49,5/18/18 11:34,0.2911,0.2003,
50,5/18/18 12:34,0.2908,0.1999,
51,5/18/18 13:34,0.2904,0.199,
52,5/18/18 14:34,0.2904,0.199,
53,5/18/18 15:34,0.2908,0.199,
54,5/18/18 16:34,0.2904,0.1985,
55,5/18/18 17:34,0.2904,0.1985,
56,5/18/18 18:34,0.2904,0.1981,
57,5/18/18 19:34,0.2904,0.1981,
58,5/18/18 20:34,0.2904,0.1981,
59,5/18/18 21:34,0.2901,0.1981,
60,5/18/18 22:34,0.2901,0.1981,
61,5/18/18 23:34,0.2904,0.1985,
62,5/19/18 0:34,0.2904,0.199,
63,5/19/18 1:34,0.2904,0.199,
64,5/19/18 2:34,0.2904,0.199,
65,5/19/18 3:34,0.2904,0.199,
66,5/19/18 4:34,0.2904,0.1994,
67,5/19/18 5:34,0.2904,0.199,
68,5/19/18 6:34,0.2904,0.1994,
69,5/19/18 7:34,0.2908,0.1999,
70,5/19/18 8:34,0.2908,0.2003,
71,5/19/18 9:34,0.2908,0.2003,
72,5/19/18 10:34,0.2908,0.1999,
73,5/19/18 11:34,0.2901,0.199,
74,5/19/18 12:34,0.2901,0.1985,
75,5/19/18 13:34,0.2901,0.1985,
76,5/19/18 14:34,0.2898,0.1981,
77,5/19/18 15:34,0.2898,0.1985,
78,5/19/18 16:34,0.2898,0.1981,
79,5/19/18 17:34,0.2898,0.1981,
80,5/19/18 18:34,0.2898,0.1981,
81,5/19/18 19:34,0.2895,0.1981,
82,5/19/18 20:34,0.2898,0.1985,
83,5/19/18 21:34,0.2904,0.2003,
84,5/19/18 22:34,0.2908,0.2003,
85,5/19/18 23:34,0.2908,0.2003,
86,5/20/18 0:34,0.2908,0.2003,
87,5/20/18 1:34,0.2908,0.2003,
88,5/20/18 2:34,0.2908,0.2003,
89,5/20/18 3:34,0.2908,0.2008,
90,5/20/18 4:34,0.2908,0.2008,
91,5/20/18 5:34,0.2904,0.2003,
92,5/20/18 6:34,0.2908,0.2008,
93,5/20/18 7:34,0.2908,0.2012,
94,5/20/18 8:34,0.2911,0.2012,
95,5/20/18 9:34,0.2911,0.2012,
96,5/20/18 10:34,0.2904,0.2003,
97,5/20/18 11:34,0.2904,0.1999,
98,5/20/18 12:34,0.2901,0.1994,
99,5/20/18 13:34,0.2901,0.199,
100,5/20/18 14:34,0.2898,0.1985,
