"Plot Title: 20290165_SM_UM_C2_ctrl"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20290165, SEN S/N: 20145933, LBL: UM_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290165, SEN S/N: 20152221, LBL: UM_Rshrub)","Temp, °F (LGR S/N: 20290165, SEN S/N: 20399282, LBL: UM_Lmeadow)"
1,06/15/19 11:00:01 AM,0.3054,0.2211,51.852
2,06/15/19 12:00:01 PM,0.3051,0.2208,53.690
3,06/15/19 01:00:01 PM,0.3051,0.2198,55.906
4,06/15/19 02:00:01 PM,0.3048,0.2185,58.195
5,06/15/19 03:00:01 PM,0.3043,0.2185,60.003
6,06/15/19 04:00:01 PM,0.3048,0.2185,61.547
7,06/15/19 05:00:01 PM,0.3040,0.2174,62.233
8,06/15/19 06:00:01 PM,0.3040,0.2169,61.934
9,06/15/19 07:00:01 PM,0.3043,0.2182,61.290
10,06/15/19 08:00:01 PM,0.3037,0.2169,60.433
11,06/15/19 09:00:01 PM,0.3037,0.2169,59.401
12,06/15/19 10:00:01 PM,0.3037,0.2174,58.325
13,06/15/19 11:00:01 PM,0.3033,0.2174,57.204
14,06/16/19 12:00:01 AM,0.3029,0.2174,55.949
15,06/16/19 01:00:01 AM,0.3029,0.2174,54.777
16,06/16/19 02:00:01 AM,0.3029,0.2174,53.602
17,06/16/19 03:00:01 AM,0.3029,0.2174,52.509
18,06/16/19 04:00:01 AM,0.3029,0.2177,51.544
19,06/16/19 05:00:01 AM,0.3029,0.2177,50.752
20,06/16/19 06:00:01 AM,0.3029,0.2177,49.914
21,06/16/19 07:00:01 AM,0.3029,0.2177,49.116
22,06/16/19 08:00:01 AM,0.3029,0.2182,48.628
23,06/16/19 09:00:01 AM,0.3029,0.2177,49.204
24,06/16/19 10:00:01 AM,0.3033,0.2177,50.445
25,06/16/19 11:00:01 AM,0.3037,0.2182,52.641
26,06/16/19 12:00:01 PM,0.3026,0.2161,55.299
27,06/16/19 01:00:01 PM,0.3026,0.2161,57.420
28,06/16/19 02:00:01 PM,0.3022,0.2143,59.014
29,06/16/19 03:00:01 PM,0.3022,0.2148,60.517
30,06/16/19 04:00:01 PM,0.3026,0.2153,61.419
