Plot Title: 10730461_Upper_Subalpine,,,,,
#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 10730461, SEN S/N: 9719151)","Temp, °F (LGR S/N: 10730461, SEN S/N: 9719158)","Water Content, m³/m³ (LGR S/N: 10730461, SEN S/N: 10769158)","Water Content, m³/m³ (LGR S/N: 10730461, SEN S/N: 10769162)"
1,7/1/16 12:00,51.721,51.764,0.0395,0.1296
2,7/1/16 13:00,51.413,51.764,0.0468,0.1339
3,7/1/16 14:00,51.764,52.029,0.0475,0.1332
4,7/1/16 15:00,51.764,52.115,0.0511,0.1354
5,7/1/16 16:00,52.203,52.466,0.0613,0.1339
6,7/1/16 17:00,51.94,52.378,0.0657,0.1354
7,7/1/16 18:00,51.544,52.115,0.0693,0.1361
8,7/1/16 19:00,51.325,51.852,0.0671,0.1376
9,7/1/16 20:00,50.886,51.501,0.0671,0.1405
10,7/1/16 21:00,50.268,50.974,0.0664,0.1434
11,7/1/16 22:00,49.516,50.356,0.0649,0.1463
12,7/1/16 23:00,48.938,49.737,0.0642,0.1477
13,7/2/16 0:00,48.45,49.204,0.0642,0.1499
14,7/2/16 1:00,48.049,48.762,0.0642,0.1506
15,7/2/16 2:00,47.647,48.36,0.0635,0.1514
16,7/2/16 3:00,47.244,47.959,0.0635,0.1521
17,7/2/16 4:00,46.974,47.602,0.0649,0.1535
18,7/2/16 5:00,46.661,47.244,0.0642,0.1543
19,7/2/16 6:00,46.436,46.974,0.0635,0.1543
20,7/2/16 7:00,46.346,46.841,0.0628,0.155
21,7/2/16 8:00,46.796,47.064,0.0628,0.1557
22,7/2/16 9:00,48.36,48.049,0.0628,0.1564
23,7/2/16 10:00,49.161,48.938,0.062,0.1564
24,7/2/16 11:00,51.062,50.268,0.0606,0.1543
25,7/2/16 12:00,52.378,51.678,0.0606,0.1579
26,7/2/16 13:00,53.776,52.947,0.0606,0.1579
27,7/2/16 14:00,54.909,54.255,0.0606,0.1579
28,7/2/16 15:00,56.34,55.515,0.0598,0.1579
29,7/2/16 16:00,57.549,56.728,0.0591,0.1601
30,7/2/16 17:00,57.16,56.901,0.0613,0.1572
31,7/2/16 18:00,54.3,55.168,0.0896,0.1608
32,7/2/16 19:00,53.078,53.951,0.0824,0.1564
33,7/2/16 20:00,52.115,52.992,0.0802,0.1572
34,7/2/16 21:00,50.841,51.852,0.078,0.163
35,7/2/16 22:00,49.737,50.797,0.0773,0.1615
36,7/2/16 23:00,48.805,49.914,0.078,0.1601
37,7/3/16 0:00,48.004,49.073,0.094,0.1652
38,7/3/16 1:00,47.422,48.405,0.0874,0.1688
39,7/3/16 2:00,46.974,47.959,0.086,0.1666
40,7/3/16 3:00,46.436,47.422,0.0853,0.1681
41,7/3/16 4:00,45.941,46.886,0.086,0.1702
42,7/3/16 5:00,45.354,46.346,0.0845,0.1724
43,7/3/16 6:00,44.764,45.806,0.0831,0.1732
44,7/3/16 7:00,44.355,45.307,0.0824,0.1732
45,7/3/16 8:00,44.809,45.354,0.0809,0.1739
46,7/3/16 9:00,46.256,46.211,0.0795,0.1739
47,7/3/16 10:00,48.717,48.049,0.078,0.1797
48,7/3/16 11:00,52.203,50.709,0.078,0.179
49,7/3/16 12:00,54.648,53.69,0.0773,0.1811
50,7/3/16 13:00,55.472,54.995,0.0758,0.1775
51,7/3/16 14:00,54.212,54.516,0.0758,0.1761
52,7/3/16 15:00,55.733,55.213,0.0751,0.1819
53,7/3/16 16:00,58.498,57.549,0.0744,0.1775
54,7/3/16 17:00,59.185,58.455,0.0744,0.1775
55,7/3/16 18:00,59.358,58.669,0.0736,0.1775
56,7/3/16 19:00,58.195,58.023,0.0736,0.1775
57,7/3/16 20:00,56.901,57.16,0.0729,0.1768
58,7/3/16 21:00,54.865,55.69,0.0722,0.1753
59,7/3/16 22:00,52.641,53.865,0.0722,0.1739
60,7/3/16 23:00,50.709,52.115,0.0722,0.1739
61,7/4/16 0:00,49.116,50.621,0.0715,0.1732
62,7/4/16 1:00,47.826,49.294,0.0707,0.1746
63,7/4/16 2:00,46.706,48.227,0.0707,0.1761
64,7/4/16 3:00,45.624,47.154,0.0707,0.1732
65,7/4/16 4:00,44.719,46.211,0.0715,0.1732
66,7/4/16 5:00,43.808,45.307,0.07,0.1746
67,7/4/16 6:00,43.075,44.537,0.07,0.1768
68,7/4/16 7:00,42.708,43.99,0.0707,0.1768
69,7/4/16 8:00,42.8,43.9,0.07,0.1775
70,7/4/16 9:00,46.031,45.534,0.0693,0.1775
71,7/4/16 10:00,50.002,48.628,0.0693,0.1768
72,7/4/16 11:00,53.559,52.203,0.0693,0.179
73,7/4/16 12:00,56.079,55.213,0.0693,0.1746
