"Plot Title: 20393603_BaldyA1"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20393603, SEN S/N: 20399031, LBL: A1_R)","Temp, °F (LGR S/N: 20393603, SEN S/N: 20399280, LBL: A1_R)"
1,06/12/18 07:00:01 PM,0.3476,53.733
2,06/12/18 08:00:01 PM,0.3486,53.515
3,06/12/18 09:00:01 PM,0.3486,53.035
4,06/12/18 10:00:01 PM,0.3486,52.378
5,06/12/18 11:00:01 PM,0.3481,51.544
6,06/13/18 12:00:01 AM,0.3486,50.709
7,06/13/18 01:00:01 AM,0.3486,49.914
8,06/13/18 02:00:01 AM,0.3490,49.161
9,06/13/18 03:00:01 AM,0.3490,48.450
10,06/13/18 04:00:01 AM,0.3486,47.781
11,06/13/18 05:00:01 AM,0.3486,47.154
12,06/13/18 06:00:01 AM,0.3486,46.526
13,06/13/18 07:00:01 AM,0.3486,45.986
14,06/13/18 08:00:01 AM,0.3496,45.624
15,06/13/18 09:00:01 AM,0.3500,45.399
16,06/13/18 10:00:01 AM,0.3500,45.624
17,06/13/18 11:00:01 AM,0.3500,46.256
18,06/13/18 12:00:01 PM,0.3500,47.334
19,06/13/18 01:00:01 PM,0.3500,48.762
20,06/13/18 02:00:01 PM,0.3506,50.356
21,06/13/18 03:00:01 PM,0.3500,51.895
22,06/13/18 04:00:01 PM,0.3500,53.253
23,06/13/18 05:00:01 PM,0.3500,54.255
24,06/13/18 06:00:01 PM,0.3496,54.865
25,06/13/18 07:00:01 PM,0.3496,54.952
26,06/13/18 08:00:01 PM,0.3490,54.691
27,06/13/18 09:00:01 PM,0.3490,54.082
28,06/13/18 10:00:01 PM,0.3490,53.298
29,06/13/18 11:00:01 PM,0.3490,52.466
30,06/14/18 12:00:01 AM,0.3490,51.721
31,06/14/18 01:00:01 AM,0.3490,51.017
32,06/14/18 02:00:01 AM,0.3490,50.356
33,06/14/18 03:00:01 AM,0.3490,49.782
34,06/14/18 04:00:01 AM,0.3490,49.294
35,06/14/18 05:00:01 AM,0.3490,48.805
36,06/14/18 06:00:01 AM,0.3490,48.360
37,06/14/18 07:00:01 AM,0.3496,48.004
38,06/14/18 08:00:01 AM,0.3496,47.736
39,06/14/18 09:00:01 AM,0.3496,47.647
40,06/14/18 10:00:01 AM,0.3496,47.736
41,06/14/18 11:00:01 AM,0.3500,48.227
42,06/14/18 12:00:01 PM,0.3496,49.073
43,06/14/18 01:00:01 PM,0.3496,50.223
44,06/14/18 02:00:01 PM,0.3506,51.501
45,06/14/18 03:00:01 PM,0.3500,52.686
46,06/14/18 04:00:01 PM,0.3496,53.645
47,06/14/18 05:00:01 PM,0.3500,54.430
48,06/14/18 06:00:01 PM,0.3500,54.909
49,06/14/18 07:00:01 PM,0.3486,54.952
50,06/14/18 08:00:01 PM,0.3490,54.691
51,06/14/18 09:00:01 PM,0.3490,54.082
52,06/14/18 10:00:01 PM,0.3490,53.384
53,06/14/18 11:00:01 PM,0.3490,52.686
54,06/15/18 12:00:01 AM,0.3490,51.940
55,06/15/18 01:00:01 AM,0.3490,51.237
56,06/15/18 02:00:01 AM,0.3490,50.533
57,06/15/18 03:00:01 AM,0.3486,49.870
58,06/15/18 04:00:01 AM,0.3490,49.294
59,06/15/18 05:00:01 AM,0.3486,48.717
60,06/15/18 06:00:01 AM,0.3490,48.137
61,06/15/18 07:00:01 AM,0.3486,47.602
62,06/15/18 08:00:01 AM,0.3490,47.199
63,06/15/18 09:00:01 AM,0.3496,47.064
64,06/15/18 10:00:01 AM,0.3496,47.199
65,06/15/18 11:00:01 AM,0.3496,47.736
66,06/15/18 12:00:01 PM,0.3490,48.583
67,06/15/18 01:00:01 PM,0.3500,49.782
68,06/15/18 02:00:01 PM,0.3496,51.148
69,06/15/18 03:00:01 PM,0.3496,52.335
70,06/15/18 04:00:01 PM,0.3496,53.515
71,06/15/18 05:00:01 PM,0.3496,54.473
72,06/15/18 06:00:01 PM,0.3490,55.081
73,06/15/18 07:00:01 PM,0.3490,55.299
74,06/15/18 08:00:01 PM,0.3486,55.038
75,06/15/18 09:00:01 PM,0.3481,54.473
76,06/15/18 10:00:01 PM,0.3481,53.776
77,06/15/18 11:00:01 PM,0.3476,53.078
78,06/16/18 12:00:01 AM,0.3476,52.466
79,06/16/18 01:00:01 AM,0.3481,51.895
80,06/16/18 02:00:01 AM,0.3476,51.370
81,06/16/18 03:00:01 AM,0.3476,50.886
82,06/16/18 04:00:01 AM,0.3481,50.445
83,06/16/18 05:00:01 AM,0.3481,50.002
84,06/16/18 06:00:01 AM,0.3476,49.649
85,06/16/18 07:00:01 AM,0.3481,49.204
86,06/16/18 08:00:01 AM,0.3481,48.895
87,06/16/18 09:00:01 AM,0.3481,48.805
88,06/16/18 10:00:01 AM,0.3486,48.850
89,06/16/18 11:00:01 AM,0.3481,49.073
90,06/16/18 12:00:01 PM,0.3481,49.294
91,06/16/18 01:00:01 PM,0.3481,49.649
92,06/16/18 02:00:01 PM,0.3490,49.959
93,06/16/18 03:00:01 PM,0.3496,50.135
94,06/16/18 04:00:01 PM,0.3500,50.445
95,06/16/18 05:00:01 PM,0.3496,50.886
96,06/16/18 06:00:01 PM,0.3490,51.148
97,06/16/18 07:00:01 PM,0.3506,51.282
98,06/16/18 08:00:01 PM,0.3500,51.193
99,06/16/18 09:00:01 PM,0.3506,50.974
100,06/16/18 10:00:01 PM,0.3506,50.709
101,06/16/18 11:00:01 PM,0.3506,50.356
102,06/17/18 12:00:01 AM,0.3506,50.047
103,06/17/18 01:00:01 AM,0.3516,49.737
104,06/17/18 02:00:01 AM,0.3526,49.428
105,06/17/18 03:00:01 AM,0.3526,49.161
106,06/17/18 04:00:01 AM,0.3537,48.850
107,06/17/18 05:00:01 AM,0.3542,48.583
108,06/17/18 06:00:01 AM,0.3547,48.227
109,06/17/18 07:00:01 AM,0.3547,47.959
110,06/17/18 08:00:01 AM,0.3553,47.781
111,06/17/18 09:00:01 AM,0.3547,47.691
112,06/17/18 10:00:01 AM,0.3553,47.691
113,06/17/18 11:00:01 AM,0.3557,47.914
114,06/17/18 12:00:01 PM,0.3553,48.360
115,06/17/18 01:00:01 PM,0.3553,49.116
116,06/17/18 02:00:01 PM,0.3553,50.092
117,06/17/18 03:00:01 PM,0.3557,50.974
118,06/17/18 04:00:01 PM,0.3542,51.589
119,06/17/18 05:00:01 PM,0.3563,51.809
120,06/17/18 06:00:01 PM,0.3573,51.721
121,06/17/18 07:00:01 PM,0.3568,51.633
122,06/17/18 08:00:01 PM,0.3563,51.633
123,06/17/18 09:00:01 PM,0.3557,51.501
124,06/17/18 10:00:01 PM,0.3553,51.193
125,06/17/18 11:00:01 PM,0.3553,50.841
126,06/18/18 12:00:01 AM,0.3542,50.488
127,06/18/18 01:00:01 AM,0.3553,50.092
128,06/18/18 02:00:01 AM,0.3553,49.692
129,06/18/18 03:00:01 AM,0.3553,49.294
130,06/18/18 04:00:01 AM,0.3547,48.850
131,06/18/18 05:00:01 AM,0.3547,48.405
132,06/18/18 06:00:01 AM,0.3547,48.004
133,06/18/18 07:00:01 AM,0.3547,47.691
134,06/18/18 08:00:01 AM,0.3547,47.467
135,06/18/18 09:00:01 AM,0.3547,47.422
136,06/18/18 10:00:01 AM,0.3547,47.647
137,06/18/18 11:00:01 AM,0.3547,48.227
138,06/18/18 12:00:01 PM,0.3547,49.116
139,06/18/18 01:00:01 PM,0.3542,50.180
140,06/18/18 02:00:01 PM,0.3547,51.501
141,06/18/18 03:00:01 PM,0.3547,52.729
142,06/18/18 04:00:01 PM,0.3542,53.733
143,06/18/18 05:00:01 PM,0.3537,54.473
144,06/18/18 06:00:01 PM,0.3537,54.820
145,06/18/18 07:00:01 PM,0.3526,54.865
146,06/18/18 08:00:01 PM,0.3521,54.516
147,06/18/18 09:00:01 PM,0.3521,53.865
148,06/18/18 10:00:01 PM,0.3521,53.078
149,06/18/18 11:00:01 PM,0.3521,52.246
150,06/19/18 12:00:01 AM,0.3516,51.458
151,06/19/18 01:00:01 AM,0.3521,50.664
152,06/19/18 02:00:01 AM,0.3516,49.959
153,06/19/18 03:00:01 AM,0.3516,49.249
154,06/19/18 04:00:01 AM,0.3511,48.583
155,06/19/18 05:00:01 AM,0.3511,48.004
156,06/19/18 06:00:01 AM,0.3511,47.422
157,06/19/18 07:00:01 AM,0.3511,46.886
158,06/19/18 08:00:01 AM,0.3511,46.481
159,06/19/18 09:00:01 AM,0.3516,46.256
160,06/19/18 10:00:01 AM,0.3521,46.436
161,06/19/18 11:00:01 AM,0.3516,46.931
162,06/19/18 12:00:01 PM,0.3516,47.826
163,06/19/18 01:00:01 PM,0.3516,49.073
164,06/19/18 02:00:01 PM,0.3521,50.709
165,06/19/18 03:00:01 PM,0.3511,52.423
166,06/19/18 04:00:01 PM,0.3511,53.865
167,06/19/18 05:00:01 PM,0.3506,54.865
168,06/19/18 06:00:01 PM,0.3506,55.342
169,06/19/18 07:00:01 PM,0.3500,55.386
170,06/19/18 08:00:01 PM,0.3496,54.952
171,06/19/18 09:00:01 PM,0.3496,54.169
172,06/19/18 10:00:01 PM,0.3490,53.298
173,06/19/18 11:00:01 PM,0.3486,52.378
174,06/20/18 12:00:01 AM,0.3496,51.544
175,06/20/18 01:00:01 AM,0.3486,50.709
176,06/20/18 02:00:01 AM,0.3490,49.959
177,06/20/18 03:00:01 AM,0.3490,49.204
178,06/20/18 04:00:01 AM,0.3490,48.538
179,06/20/18 05:00:01 AM,0.3486,47.871
180,06/20/18 06:00:01 AM,0.3486,47.289
181,06/20/18 07:00:01 AM,0.3486,46.706
182,06/20/18 08:00:01 AM,0.3490,46.256
183,06/20/18 09:00:01 AM,0.3490,46.031
184,06/20/18 10:00:01 AM,0.3496,46.166
185,06/20/18 11:00:01 AM,0.3496,46.661
186,06/20/18 12:00:01 PM,0.3496,47.557
187,06/20/18 01:00:01 PM,0.3496,48.938
188,06/20/18 02:00:01 PM,0.3496,50.621
189,06/20/18 03:00:01 PM,0.3496,52.466
190,06/20/18 04:00:01 PM,0.3496,54.169
191,06/20/18 05:00:01 PM,0.3486,55.386
192,06/20/18 06:00:01 PM,0.3481,56.035
193,06/20/18 07:00:01 PM,0.3476,56.208
194,06/20/18 08:00:01 PM,0.3471,55.863
195,06/20/18 09:00:01 PM,0.3476,55.125
196,06/20/18 10:00:01 PM,0.3471,54.255
197,06/20/18 11:00:01 PM,0.3471,53.341
198,06/21/18 12:00:01 AM,0.3471,52.466
199,06/21/18 01:00:01 AM,0.3471,51.633
200,06/21/18 02:00:01 AM,0.3466,50.886
201,06/21/18 03:00:01 AM,0.3471,50.135
202,06/21/18 04:00:01 AM,0.3466,49.428
203,06/21/18 05:00:01 AM,0.3466,48.805
204,06/21/18 06:00:01 AM,0.3466,48.227
205,06/21/18 07:00:01 AM,0.3466,47.647
206,06/21/18 08:00:01 AM,0.3466,47.244
207,06/21/18 09:00:01 AM,0.3471,47.019
208,06/21/18 10:00:01 AM,0.3471,47.199
209,06/21/18 11:00:01 AM,0.3476,47.781
210,06/21/18 12:00:01 PM,0.3476,48.762
211,06/21/18 01:00:01 PM,0.3476,50.180
212,06/21/18 02:00:01 PM,0.3476,51.895
213,06/21/18 03:00:01 PM,0.3471,53.645
214,06/21/18 04:00:01 PM,0.3461,55.081
215,06/21/18 05:00:01 PM,0.3466,56.079
216,06/21/18 06:00:01 PM,0.3461,56.642
217,06/21/18 07:00:01 PM,0.3451,56.599
218,06/21/18 08:00:01 PM,0.3451,56.208
219,06/21/18 09:00:01 PM,0.3447,55.429
220,06/21/18 10:00:01 PM,0.3447,54.604
221,06/21/18 11:00:01 PM,0.3441,53.776
222,06/22/18 12:00:01 AM,0.3441,52.992
223,06/22/18 01:00:01 AM,0.3441,52.291
224,06/22/18 02:00:01 AM,0.3441,51.721
225,06/22/18 03:00:01 AM,0.3437,51.148
226,06/22/18 04:00:01 AM,0.3441,50.576
