"Plot Title: 20411607_SM_USA_A2_ctrl"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20411607, SEN S/N: 20391816, LBL: A2_R)","Water Content, m³/m³ (LGR S/N: 20411607, SEN S/N: 20399029, LBL: A2_R)"
1,07/05/18 02:00:01 PM,50.797,0.2850
2,07/05/18 03:00:01 PM,51.721,0.2853
3,07/05/18 04:00:01 PM,52.160,0.2861
4,07/05/18 05:00:01 PM,52.246,0.2861
5,07/05/18 06:00:01 PM,52.423,0.2861
6,07/05/18 07:00:01 PM,52.641,0.2864
7,07/05/18 08:00:01 PM,52.641,0.2868
8,07/05/18 09:00:01 PM,52.335,0.2871
9,07/05/18 10:00:01 PM,51.852,0.2868
10,07/05/18 11:00:01 PM,51.325,0.2871
11,07/06/18 12:00:01 AM,50.752,0.2871
12,07/06/18 01:00:01 AM,50.135,0.2874
13,07/06/18 02:00:01 AM,49.516,0.2871
14,07/06/18 03:00:01 AM,48.983,0.2874
15,07/06/18 04:00:01 AM,48.450,0.2874
16,07/06/18 05:00:01 AM,47.959,0.2874
17,07/06/18 06:00:01 AM,47.467,0.2877
18,07/06/18 07:00:01 AM,47.019,0.2881
19,07/06/18 08:00:01 AM,46.661,0.2877
20,07/06/18 09:00:01 AM,46.571,0.2881
21,07/06/18 10:00:01 AM,46.886,0.2874
22,07/06/18 11:00:01 AM,47.736,0.2874
23,07/06/18 12:00:01 PM,48.805,0.2871
24,07/06/18 01:00:01 PM,49.782,0.2871
25,07/06/18 02:00:01 PM,50.841,0.2868
26,07/06/18 03:00:01 PM,52.072,0.2868
27,07/06/18 04:00:01 PM,53.472,0.2868
28,07/06/18 05:00:01 PM,54.516,0.2871
29,07/06/18 06:00:01 PM,55.213,0.2871
30,07/06/18 07:00:01 PM,55.342,0.2874
31,07/06/18 08:00:01 PM,55.125,0.2871
32,07/06/18 09:00:01 PM,54.691,0.2868
33,07/06/18 10:00:01 PM,54.082,0.2868
34,07/06/18 11:00:01 PM,53.341,0.2871
35,07/07/18 12:00:01 AM,52.597,0.2874
36,07/07/18 01:00:01 AM,51.895,0.2874
37,07/07/18 02:00:01 AM,51.237,0.2877
38,07/07/18 03:00:01 AM,50.576,0.2877
39,07/07/18 04:00:01 AM,50.002,0.2877
40,07/07/18 05:00:01 AM,49.383,0.2874
41,07/07/18 06:00:01 AM,48.850,0.2874
42,07/07/18 07:00:01 AM,48.360,0.2874
43,07/07/18 08:00:01 AM,47.959,0.2874
44,07/07/18 09:00:01 AM,47.871,0.2877
45,07/07/18 10:00:01 AM,48.182,0.2874
46,07/07/18 11:00:01 AM,48.895,0.2871
47,07/07/18 12:00:01 PM,49.692,0.2871
48,07/07/18 01:00:01 PM,50.752,0.2864
49,07/07/18 02:00:01 PM,52.160,0.2864
50,07/07/18 03:00:01 PM,53.341,0.2868
51,07/07/18 04:00:01 PM,54.082,0.2868
52,07/07/18 05:00:01 PM,54.255,0.2868
53,07/07/18 06:00:01 PM,54.082,0.2857
54,07/07/18 07:00:01 PM,53.690,0.2853
55,07/07/18 08:00:01 PM,53.166,0.2874
56,07/07/18 09:00:01 PM,52.641,0.2881
57,07/07/18 10:00:01 PM,52.160,0.2881
58,07/07/18 11:00:01 PM,51.589,0.2881
59,07/08/18 12:00:01 AM,50.974,0.2877
60,07/08/18 01:00:01 AM,50.400,0.2881
61,07/08/18 02:00:01 AM,49.825,0.2877
62,07/08/18 03:00:01 AM,49.338,0.2884
63,07/08/18 04:00:01 AM,48.805,0.2884
64,07/08/18 05:00:01 AM,48.315,0.2887
65,07/08/18 06:00:01 AM,47.826,0.2884
66,07/08/18 07:00:01 AM,47.467,0.2887
67,07/08/18 08:00:01 AM,47.154,0.2884
68,07/08/18 09:00:01 AM,47.064,0.2887
69,07/08/18 10:00:01 AM,47.334,0.2884
70,07/08/18 11:00:01 AM,48.094,0.2881
71,07/08/18 12:00:01 PM,49.338,0.2874
72,07/08/18 01:00:01 PM,51.062,0.2868
73,07/08/18 02:00:01 PM,52.686,0.2871
74,07/08/18 03:00:01 PM,53.690,0.2871
75,07/08/18 04:00:01 PM,53.951,0.2868
76,07/08/18 05:00:01 PM,53.820,0.2868
77,07/08/18 06:00:01 PM,53.384,0.2864
78,07/08/18 07:00:01 PM,52.903,0.2874
79,07/08/18 08:00:01 PM,52.466,0.2881
80,07/08/18 09:00:01 PM,52.072,0.2884
81,07/08/18 10:00:01 PM,51.633,0.2884
82,07/08/18 11:00:01 PM,51.193,0.2887
83,07/09/18 12:00:01 AM,50.752,0.2887
84,07/09/18 01:00:01 AM,50.400,0.2890
85,07/09/18 02:00:01 AM,50.002,0.2890
86,07/09/18 03:00:01 AM,49.561,0.2890
87,07/09/18 04:00:01 AM,49.116,0.2890
88,07/09/18 05:00:01 AM,48.583,0.2895
89,07/09/18 06:00:01 AM,48.049,0.2895
90,07/09/18 07:00:01 AM,47.557,0.2898
91,07/09/18 08:00:01 AM,47.154,0.2901
92,07/09/18 09:00:01 AM,46.974,0.2898
93,07/09/18 10:00:01 AM,47.244,0.2895
94,07/09/18 11:00:01 AM,48.049,0.2895
95,07/09/18 12:00:01 PM,49.383,0.2887
96,07/09/18 01:00:01 PM,51.105,0.2884
97,07/09/18 02:00:01 PM,53.035,0.2881
98,07/09/18 03:00:01 PM,54.952,0.2881
99,07/09/18 04:00:01 PM,56.556,0.2877
100,07/09/18 05:00:01 PM,57.807,0.2877
101,07/09/18 06:00:01 PM,58.582,0.2874
102,07/09/18 07:00:01 PM,58.755,0.2868
103,07/09/18 08:00:01 PM,58.368,0.2871
104,07/09/18 09:00:01 PM,57.636,0.2874
105,07/09/18 10:00:01 PM,56.815,0.2871
106,07/09/18 11:00:01 PM,55.949,0.2871
107,07/10/18 12:00:01 AM,55.081,0.2874
108,07/10/18 01:00:01 AM,54.255,0.2868
109,07/10/18 02:00:01 AM,53.472,0.2871
110,07/10/18 03:00:01 AM,52.772,0.2871
111,07/10/18 04:00:01 AM,52.072,0.2874
112,07/10/18 05:00:01 AM,51.458,0.2874
113,07/10/18 06:00:01 AM,50.841,0.2871
114,07/10/18 07:00:01 AM,50.311,0.2874
115,07/10/18 08:00:01 AM,49.914,0.2874
