"Plot Title: 20393600_BaldyB2"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20393600, SEN S/N: 20399030, LBL: B2_R)","Temp, °F (LGR S/N: 20393600, SEN S/N: 20399279, LBL: B2_R)"
1,06/12/18 07:00:01 PM,0.3286,42.663
2,06/12/18 08:00:01 PM,0.3286,42.017
3,06/12/18 09:00:01 PM,0.3286,41.230
4,06/12/18 10:00:01 PM,0.3290,40.298
5,06/12/18 11:00:01 PM,0.3286,39.267
6,06/13/18 12:00:01 AM,0.3282,38.226
7,06/13/18 01:00:01 AM,0.3282,37.321
8,06/13/18 02:00:01 AM,0.3282,36.459
9,06/13/18 03:00:01 AM,0.3282,35.685
10,06/13/18 04:00:01 AM,0.3282,35.055
11,06/13/18 05:00:01 AM,0.3277,34.516
12,06/13/18 06:00:01 AM,0.3274,34.027
13,06/13/18 07:00:01 AM,0.3274,33.633
14,06/13/18 08:00:01 AM,0.3277,33.435
15,06/13/18 09:00:01 AM,0.3277,33.879
16,06/13/18 10:00:01 AM,0.3277,35.152
17,06/13/18 11:00:01 AM,0.3277,37.035
18,06/13/18 12:00:01 PM,0.3274,39.124
19,06/13/18 01:00:01 PM,0.3277,41.184
20,06/13/18 02:00:01 PM,0.3274,42.984
21,06/13/18 03:00:01 PM,0.3269,44.263
22,06/13/18 04:00:01 PM,0.3269,45.082
23,06/13/18 05:00:01 PM,0.3261,45.489
24,06/13/18 06:00:01 PM,0.3256,45.354
25,06/13/18 07:00:01 PM,0.3256,44.764
26,06/13/18 08:00:01 PM,0.3249,43.990
27,06/13/18 09:00:01 PM,0.3244,43.122
28,06/13/18 10:00:01 PM,0.3240,42.202
29,06/13/18 11:00:01 PM,0.3244,41.184
30,06/14/18 12:00:01 AM,0.3240,40.345
31,06/14/18 01:00:01 AM,0.3235,39.643
32,06/14/18 02:00:01 AM,0.3235,38.937
33,06/14/18 03:00:01 AM,0.3235,38.368
34,06/14/18 04:00:01 AM,0.3231,37.846
35,06/14/18 05:00:01 AM,0.3231,37.321
36,06/14/18 06:00:01 AM,0.3231,36.939
37,06/14/18 07:00:01 AM,0.3231,36.651
38,06/14/18 08:00:01 AM,0.3231,36.505
39,06/14/18 09:00:01 AM,0.3228,36.747
40,06/14/18 10:00:01 AM,0.3228,37.513
41,06/14/18 11:00:01 AM,0.3231,38.937
42,06/14/18 12:00:01 PM,0.3228,40.672
43,06/14/18 01:00:01 PM,0.3223,42.478
44,06/14/18 02:00:01 PM,0.3223,44.037
45,06/14/18 03:00:01 PM,0.3216,45.262
46,06/14/18 04:00:01 PM,0.3219,46.121
47,06/14/18 05:00:01 PM,0.3216,46.661
48,06/14/18 06:00:01 PM,0.3211,46.751
49,06/14/18 07:00:01 PM,0.3204,46.526
50,06/14/18 08:00:01 PM,0.3204,45.941
51,06/14/18 09:00:01 PM,0.3204,45.217
52,06/14/18 10:00:01 PM,0.3199,44.445
53,06/14/18 11:00:01 PM,0.3195,43.716
54,06/15/18 12:00:01 AM,0.3195,42.939
55,06/15/18 01:00:01 AM,0.3192,42.247
56,06/15/18 02:00:01 AM,0.3195,41.554
57,06/15/18 03:00:01 AM,0.3192,40.905
58,06/15/18 04:00:01 AM,0.3192,40.298
59,06/15/18 05:00:01 AM,0.3192,39.783
60,06/15/18 06:00:01 AM,0.3192,39.267
61,06/15/18 07:00:01 AM,0.3187,38.748
62,06/15/18 08:00:01 AM,0.3187,38.557
63,06/15/18 09:00:01 AM,0.3192,39.124
64,06/15/18 10:00:01 AM,0.3192,40.251
65,06/15/18 11:00:01 AM,0.3187,41.832
66,06/15/18 12:00:01 PM,0.3192,43.579
67,06/15/18 01:00:01 PM,0.3187,45.217
68,06/15/18 02:00:01 PM,0.3187,46.841
69,06/15/18 03:00:01 PM,0.3183,48.094
70,06/15/18 04:00:01 PM,0.3183,49.116
71,06/15/18 05:00:01 PM,0.3178,49.782
72,06/15/18 06:00:01 PM,0.3178,50.047
73,06/15/18 07:00:01 PM,0.3175,49.825
74,06/15/18 08:00:01 PM,0.3175,49.249
75,06/15/18 09:00:01 PM,0.3168,48.628
76,06/15/18 10:00:01 PM,0.3171,47.826
77,06/15/18 11:00:01 PM,0.3168,47.109
78,06/16/18 12:00:01 AM,0.3163,46.526
79,06/16/18 01:00:01 AM,0.3163,45.986
80,06/16/18 02:00:01 AM,0.3163,45.489
81,06/16/18 03:00:01 AM,0.3163,45.082
82,06/16/18 04:00:01 AM,0.3163,44.674
83,06/16/18 05:00:01 AM,0.3160,44.310
84,06/16/18 06:00:01 AM,0.3160,43.945
85,06/16/18 07:00:01 AM,0.3160,43.579
86,06/16/18 08:00:01 AM,0.3160,43.259
87,06/16/18 09:00:01 AM,0.3160,43.351
88,06/16/18 10:00:01 AM,0.3160,43.808
89,06/16/18 11:00:01 AM,0.3160,44.218
90,06/16/18 12:00:01 PM,0.3160,44.719
91,06/16/18 01:00:01 PM,0.3163,45.399
92,06/16/18 02:00:01 PM,0.3163,45.851
93,06/16/18 03:00:01 PM,0.3171,46.211
94,06/16/18 04:00:01 PM,0.3175,46.706
95,06/16/18 05:00:01 PM,0.3171,47.199
96,06/16/18 06:00:01 PM,0.3175,47.647
97,06/16/18 07:00:01 PM,0.3175,47.736
98,06/16/18 08:00:01 PM,0.3178,47.602
99,06/16/18 09:00:01 PM,0.3178,47.334
100,06/16/18 10:00:01 PM,0.3183,46.974
101,06/16/18 11:00:01 PM,0.3178,46.616
102,06/17/18 12:00:01 AM,0.3175,46.211
103,06/17/18 01:00:01 AM,0.3192,45.896
104,06/17/18 02:00:01 AM,0.3199,45.579
105,06/17/18 03:00:01 AM,0.3199,45.307
106,06/17/18 04:00:01 AM,0.3207,45.082
107,06/17/18 05:00:01 AM,0.3211,44.764
108,06/17/18 06:00:01 AM,0.3223,44.445
109,06/17/18 07:00:01 AM,0.3216,44.127
110,06/17/18 08:00:01 AM,0.3216,43.945
111,06/17/18 09:00:01 AM,0.3211,43.945
112,06/17/18 10:00:01 AM,0.3216,44.127
113,06/17/18 11:00:01 AM,0.3216,44.492
114,06/17/18 12:00:01 PM,0.3216,45.399
115,06/17/18 01:00:01 PM,0.3216,46.616
116,06/17/18 02:00:01 PM,0.3211,48.004
117,06/17/18 03:00:01 PM,0.3207,49.204
118,06/17/18 04:00:01 PM,0.3207,49.870
119,06/17/18 05:00:01 PM,0.3228,49.914
120,06/17/18 06:00:01 PM,0.3231,49.692
121,06/17/18 07:00:01 PM,0.3231,49.516
122,06/17/18 08:00:01 PM,0.3228,49.428
123,06/17/18 09:00:01 PM,0.3223,49.161
124,06/17/18 10:00:01 PM,0.3219,48.717
125,06/17/18 11:00:01 PM,0.3211,48.272
126,06/18/18 12:00:01 AM,0.3216,47.871
127,06/18/18 01:00:01 AM,0.3216,47.422
128,06/18/18 02:00:01 AM,0.3211,46.931
129,06/18/18 03:00:01 AM,0.3211,46.391
130,06/18/18 04:00:01 AM,0.3207,45.806
131,06/18/18 05:00:01 AM,0.3207,45.217
132,06/18/18 06:00:01 AM,0.3204,44.764
133,06/18/18 07:00:01 AM,0.3204,44.445
134,06/18/18 08:00:01 AM,0.3204,44.310
135,06/18/18 09:00:01 AM,0.3199,44.400
136,06/18/18 10:00:01 AM,0.3199,45.036
137,06/18/18 11:00:01 AM,0.3204,46.481
138,06/18/18 12:00:01 PM,0.3204,48.227
139,06/18/18 01:00:01 PM,0.3199,49.959
140,06/18/18 02:00:01 PM,0.3195,51.589
141,06/18/18 03:00:01 PM,0.3195,52.860
142,06/18/18 04:00:01 PM,0.3192,53.690
143,06/18/18 05:00:01 PM,0.3192,53.994
144,06/18/18 06:00:01 PM,0.3187,53.690
145,06/18/18 07:00:01 PM,0.3183,53.078
146,06/18/18 08:00:01 PM,0.3178,52.246
147,06/18/18 09:00:01 PM,0.3175,51.282
148,06/18/18 10:00:01 PM,0.3178,50.311
149,06/18/18 11:00:01 PM,0.3175,49.338
150,06/19/18 12:00:01 AM,0.3175,48.405
151,06/19/18 01:00:01 AM,0.3171,47.557
152,06/19/18 02:00:01 AM,0.3171,46.706
153,06/19/18 03:00:01 AM,0.3171,45.896
154,06/19/18 04:00:01 AM,0.3171,45.127
155,06/19/18 05:00:01 AM,0.3171,44.445
156,06/19/18 06:00:01 AM,0.3171,43.808
157,06/19/18 07:00:01 AM,0.3171,43.214
158,06/19/18 08:00:01 AM,0.3171,42.939
159,06/19/18 09:00:01 AM,0.3171,43.351
160,06/19/18 10:00:01 AM,0.3171,44.582
161,06/19/18 11:00:01 AM,0.3175,46.301
162,06/19/18 12:00:01 PM,0.3171,48.227
163,06/19/18 01:00:01 PM,0.3171,50.180
164,06/19/18 02:00:01 PM,0.3168,52.029
165,06/19/18 03:00:01 PM,0.3168,53.559
166,06/19/18 04:00:01 PM,0.3163,54.430
167,06/19/18 05:00:01 PM,0.3163,54.691
168,06/19/18 06:00:01 PM,0.3168,54.343
169,06/19/18 07:00:01 PM,0.3163,53.602
170,06/19/18 08:00:01 PM,0.3160,52.641
171,06/19/18 09:00:01 PM,0.3160,51.589
172,06/19/18 10:00:01 PM,0.3156,50.488
173,06/19/18 11:00:01 PM,0.3156,49.516
174,06/20/18 12:00:01 AM,0.3156,48.583
175,06/20/18 01:00:01 AM,0.3156,47.647
176,06/20/18 02:00:01 AM,0.3156,46.841
177,06/20/18 03:00:01 AM,0.3156,46.031
178,06/20/18 04:00:01 AM,0.3156,45.307
179,06/20/18 05:00:01 AM,0.3151,44.627
180,06/20/18 06:00:01 AM,0.3156,43.945
181,06/20/18 07:00:01 AM,0.3156,43.396
182,06/20/18 08:00:01 AM,0.3156,43.030
183,06/20/18 09:00:01 AM,0.3156,43.396
184,06/20/18 10:00:01 AM,0.3156,44.492
185,06/20/18 11:00:01 AM,0.3160,46.076
186,06/20/18 12:00:01 PM,0.3160,47.959
187,06/20/18 01:00:01 PM,0.3156,50.047
188,06/20/18 02:00:01 PM,0.3151,51.984
189,06/20/18 03:00:01 PM,0.3151,53.776
190,06/20/18 04:00:01 PM,0.3148,55.125
