Plot Title: IMVT_B6_9735534_relaunch_2013-08-05,,,,,,,,,,,,,,
#,"Date Time, GMT-06:00","PAR, uE (LGR S/N: 9735534, SEN S/N: 9700888)","PAR, uE (LGR S/N: 9735534, SEN S/N: 9700901)","PAR, uE (LGR S/N: 9735534, SEN S/N: 9700904)","Temp, °F (LGR S/N: 9735534, SEN S/N: 9713846)","Temp, °F (LGR S/N: 9735534, SEN S/N: 9721329)","RH, % (LGR S/N: 9735534, SEN S/N: 9721329)","Voltage, V (LGR S/N: 9735534, SEN S/N: 9725481)","Solar Radiation, W/m² (LGR S/N: 9735534, SEN S/N: 9734404)","Solar Radiation, W/m² (LGR S/N: 9735534, SEN S/N: 9734406)","Solar Radiation, W/m² (LGR S/N: 9735534, SEN S/N: 9734408)","Water Content, m³/m³ (LGR S/N: 9735534, SEN S/N: 20152216)","Water Content, m³/m³ (LGR S/N: 9735534, SEN S/N: 20152227)","Batt, V (LGR S/N: 9735534)"
1,7/3/17 11:40,78.7,86.2,1988.7,47.914,63.689,34.9,-0.1937,71.9,1076.9,94.4,0.2994,0.3125,4.393
2,7/3/17 11:50,78.7,83.7,1943.7,48.36,62.748,35.5,-0.1937,70.6,1051.9,91.9,0.299,0.3133,4.357
3,7/3/17 12:00,78.7,83.7,1938.7,48.805,62.748,38.4,-0.1937,70.6,1050.6,90.6,0.2994,0.3136,4.466
4,7/3/17 12:10,78.7,86.2,1963.7,49.204,62.962,37,-0.1937,70.6,1065.6,91.9,0.2994,0.314,4.363
5,7/3/17 12:20,81.2,88.7,2016.2,49.649,64.332,37.6,-0.1886,73.1,1095.6,94.4,0.2994,0.314,4.418
6,7/3/17 12:30,88.7,93.7,2148.7,50.135,63.99,39.5,-0.1886,78.1,1166.9,101.9,0.2997,0.314,4.363
7,7/3/17 12:40,91.2,98.7,2266.2,50.533,62.062,36.4,-0.1886,83.1,1234.4,106.9,0.2997,0.3144,4.333
8,7/3/17 12:50,108.7,118.7,2553.7,50.929,60.174,36.5,-0.1886,99.4,1276.9,129.4,0.2997,0.3144,4.363
9,7/3/17 13:00,103.7,113.7,2553.7,51.282,58.798,37.6,-0.1886,95.6,1276.9,123.1,0.2997,0.3144,4.339
10,7/3/17 13:10,23.7,23.7,628.7,51.678,64.288,34,-0.1886,21.9,315.6,29.4,0.2997,0.3144,4.363
11,7/3/17 13:20,26.2,28.7,678.7,51.984,65.403,32.9,-0.1886,23.1,343.1,31.9,0.3001,0.3144,4.339
12,7/3/17 13:30,21.2,23.7,583.7,52.203,63.219,35.1,-0.1886,20.6,293.1,28.1,0.3001,0.3148,4.393
13,7/3/17 13:40,33.7,36.2,863.7,52.466,66.429,34.1,-0.1886,31.9,444.4,41.9,0.3001,0.3148,4.339
14,7/3/17 13:50,93.7,101.2,2311.2,52.772,66.385,33.2,-0.1886,84.4,1255.6,110.6,0.3005,0.3148,4.375
15,7/3/17 14:00,98.7,106.2,2391.2,52.992,66.772,34.1,-0.1886,86.9,1276.9,113.1,0.3005,0.3148,4.339
16,7/3/17 14:10,93.7,101.2,2281.2,53.341,68.527,31.6,-0.1886,83.1,1221.9,108.1,0.3005,0.3148,4.4
17,7/3/17 14:20,33.7,36.2,868.7,53.559,66.429,34,-0.1886,31.9,458.1,41.9,0.3005,0.3151,4.339
18,7/3/17 14:30,16.2,16.2,453.7,53.776,60.217,35.3,-0.1886,16.9,236.9,23.1,0.3001,0.3151,4.4
19,7/3/17 14:40,88.7,96.2,2196.2,54.082,65.53,34.8,-0.1886,79.4,1158.1,104.4,0.3005,0.3151,4.363
20,7/3/17 14:50,13.7,13.7,358.7,54.212,59.315,37.1,-0.1886,11.9,188.1,16.9,0.3001,0.3151,4.333
21,7/3/17 15:00,11.2,11.2,303.7,54.343,56.815,38.9,-0.1886,11.9,163.1,14.4,0.3001,0.3148,4.442
22,7/3/17 15:10,51.2,56.2,1308.7,54.43,57.85,42,-0.1886,46.9,676.9,63.1,0.3001,0.3148,4.345
23,7/3/17 15:20,21.2,23.7,586.2,54.473,60.775,37,-0.1886,19.4,293.1,28.1,0.3005,0.3151,4.43
24,7/3/17 15:30,26.2,28.7,693.7,54.43,59.486,41.9,-0.1886,25.6,359.4,34.4,0.3005,0.3151,4.363
25,7/3/17 15:40,13.7,13.7,383.7,54.43,56.208,39.1,-0.1886,14.4,206.9,19.4,0.3001,0.3151,4.339
26,7/3/17 15:50,51.2,56.2,1306.2,54.387,57.117,45.9,-0.1886,50.6,671.9,64.4,0.3005,0.3151,4.393
27,7/3/17 16:00,68.7,76.2,1726.2,54.43,62.276,40.6,-0.1886,66.9,889.4,84.4,0.3005,0.3151,4.345
