Plot Title: 9735534_SM_USA_C1_ctrl,,,,,,,,,,,,,,
#,"Date Time, GMT-06:00","PAR, uE (LGR S/N: 9735534, SEN S/N: 9700888, LBL: C1_L)","PAR, uE (LGR S/N: 9735534, SEN S/N: 9700901, LBL: C1_L)","PAR, uE (LGR S/N: 9735534, SEN S/N: 9700904, LBL: C1_L)","Temp, °F (LGR S/N: 9735534, SEN S/N: 9713846, LBL: C1)","Temp, °F (LGR S/N: 9735534, SEN S/N: 9721329, LBL: C1)","RH, % (LGR S/N: 9735534, SEN S/N: 9721329, LBL: C1)","Voltage, V (LGR S/N: 9735534, SEN S/N: 9725481)","Solar Radiation, W/m² (LGR S/N: 9735534, SEN S/N: 9734404, LBL: C1_L)","Solar Radiation, W/m² (LGR S/N: 9735534, SEN S/N: 9734406, LBL: C1_L)","Solar Radiation, W/m² (LGR S/N: 9735534, SEN S/N: 9734408, LBL: C1_L)","Water Content, m³/m³ (LGR S/N: 9735534, SEN S/N: 20152216, LBL: C1_R)","Water Content, m³/m³ (LGR S/N: 9735534, SEN S/N: 20152227, LBL: C1_L)","Batt, V (LGR S/N: 9735534)"
1,5/31/18 12:00,78.7,103.7,1983.7,33.237,62.962,1,-0.1886,101.9,1151.9,85.6,0.316,0.3069,4.249
2,5/31/18 12:10,86.2,116.2,2191.2,33.485,60.69,1,-0.1886,111.9,1276.9,95.6,0.3163,0.3072,4.267
3,5/31/18 12:20,48.7,61.2,1208.7,33.732,62.062,1,-0.1886,56.9,665.6,49.4,0.3168,0.3072,4.2
4,5/31/18 12:30,91.2,118.7,2256.2,34.027,59.873,1,-0.1886,114.4,1276.9,98.1,0.3168,0.3072,4.291
5,5/31/18 12:40,78.7,106.2,1981.2,34.371,63.561,1,-0.1886,101.9,1150.6,86.9,0.3168,0.3072,4.267
6,5/31/18 12:50,83.7,108.7,2043.7,34.907,65.145,1,-0.1886,103.1,1186.9,84.4,0.3175,0.3072,4.279
7,5/31/18 13:00,81.2,111.2,2063.7,35.443,63.862,1,-0.1886,104.4,1195.6,81.9,0.3183,0.3072,4.285
8,5/31/18 13:10,83.7,111.2,2058.7,36.266,63.819,1,-0.1886,104.4,1191.9,80.6,0.3195,0.3077,4.291
9,5/31/18 13:20,16.2,23.7,458.7,37.225,66.729,1,-0.1886,20.6,240.6,16.9,0.324,0.308,4.17
10,5/31/18 13:30,101.2,106.2,1963.7,38.226,64.589,1,-0.1886,99.4,1134.4,76.9,0.3317,0.308,4.291
11,5/31/18 13:40,98.7,106.2,1983.7,39.124,63.09,1,-0.1886,100.6,1145.6,78.1,0.3437,0.3084,4.303
12,5/31/18 13:50,88.7,103.7,1911.2,39.924,64.717,1,-0.1886,96.9,1099.4,80.6,0.3542,0.3084,4.297
13,5/31/18 14:00,98.7,103.7,1901.2,40.719,65.403,1,-0.1886,95.6,1089.4,95.6,0.3557,0.3087,4.303
14,5/31/18 14:10,103.7,101.2,1871.2,41.416,65.017,1,-0.1886,94.4,1065.6,80.6,0.3542,0.3092,4.309
15,5/31/18 14:20,83.7,98.7,1843.7,42.156,63.819,1,-0.1886,93.1,1041.9,81.9,0.3521,0.3092,4.315
16,5/31/18 14:30,78.7,98.7,1798.7,42.984,65.658,1,-0.1886,90.6,1009.4,81.9,0.3496,0.3095,4.315
17,5/31/18 14:40,73.7,98.7,1801.2,43.808,65.444,1,-0.1886,90.6,1000.6,84.4,0.3476,0.3102,4.321
18,5/31/18 14:50,71.2,98.7,1786.2,44.445,65.872,1,-0.1886,90.6,983.1,75.6,0.3457,0.3102,4.321
19,5/31/18 15:00,66.2,93.7,1711.2,44.719,66.344,1,-0.1886,86.9,941.9,70.6,0.3422,0.3106,4.321
20,5/31/18 15:10,68.7,98.7,1793.7,44.809,68.527,1,-0.1886,93.1,983.1,76.9,0.3403,0.3106,4.333
21,5/31/18 15:20,71.2,96.2,1728.7,44.856,67.671,1,-0.1886,90.6,941.9,76.9,0.3384,0.311,4.333
22,5/31/18 15:30,68.7,93.7,1643.7,44.809,66.729,1,-0.1886,86.9,890.6,74.4,0.3371,0.3113,4.321
23,5/31/18 15:40,68.7,91.2,1601.2,44.764,66.472,1,-0.1886,84.4,865.6,73.1,0.3361,0.3113,4.333
24,5/31/18 15:50,66.2,88.7,1518.7,44.719,65.658,1,-0.1886,81.9,819.4,70.6,0.3352,0.3113,4.321
25,5/31/18 16:00,66.2,86.2,1473.7,44.627,64.332,1,-0.1886,80.6,794.4,70.6,0.3343,0.3113,4.321
26,5/31/18 16:10,66.2,83.7,1423.7,44.627,65.959,1,-0.1886,78.1,766.9,69.4,0.3343,0.3113,4.327
27,5/31/18 16:20,63.7,81.2,1368.7,44.582,65.017,1,-0.1886,76.9,739.4,68.1,0.3339,0.3113,4.321
28,5/31/18 16:30,56.2,71.2,1201.2,44.537,64.459,1,-0.1886,66.9,645.6,59.4,0.3335,0.3113,4.309
29,5/31/18 16:40,58.7,73.7,1241.2,44.537,64.503,1,-0.1886,69.4,666.9,61.9,0.333,0.311,4.315
30,5/31/18 16:50,61.2,76.2,1293.7,44.492,57.463,1,-0.1886,74.4,695.6,65.6,0.3326,0.3113,4.321
31,5/31/18 17:00,56.2,68.7,1156.2,44.492,64.161,1,-0.1886,66.9,624.4,59.4,0.3326,0.3113,4.321
32,5/31/18 17:10,51.2,63.7,1073.7,44.445,63.133,1,-0.1886,63.1,579.4,55.6,0.3326,0.3113,4.315
33,5/31/18 17:20,36.2,46.2,781.2,44.4,63.903,1,-0.1886,44.4,413.1,40.6,0.3326,0.3113,4.285
34,5/31/18 17:30,43.7,56.2,933.7,44.355,58.411,1,-0.1886,55.6,504.4,49.4,0.3321,0.311,4.297
35,5/31/18 17:40,43.7,53.7,866.2,44.31,59.659,1,-0.1886,53.1,466.9,48.1,0.3317,0.3113,4.291
36,5/31/18 17:50,41.2,48.7,801.2,44.263,59.401,1,-0.1886,49.4,431.9,45.6,0.3321,0.311,4.291
37,5/31/18 18:00,36.2,43.7,708.7,44.173,60.003,1,-0.1886,43.1,380.6,40.6,0.3321,0.3113,4.273
38,5/31/18 18:10,6.2,13.7,123.7,44.127,58.411,1,-0.1886,11.9,55.6,6.9,0.3317,0.311,4.224
39,5/31/18 18:20,1.2,3.7,93.7,43.99,50.002,1,-0.1886,3.1,34.4,1.9,0.3312,0.311,4.17
40,5/31/18 18:30,16.2,11.2,158.7,43.9,47.871,1,-0.1886,9.4,70.6,18.1,0.3308,0.311,4.17
41,5/31/18 18:40,1.2,6.2,93.7,43.808,50.18,1,-0.1886,4.4,35.6,1.9,0.3312,0.311,4.2
42,5/31/18 18:50,1.2,1.2,68.7,43.671,45.307,1,-0.1886,0.6,20.6,0.6,0.3308,0.311,4.158
