Plot Title: 9735537_BaldyC2,,,,,,,,,,,,,,
#,"Date Time, GMT-06:00","PAR, uE (LGR S/N: 9735537, SEN S/N: 9700890)","PAR, uE (LGR S/N: 9735537, SEN S/N: 9700891)","PAR, uE (LGR S/N: 9735537, SEN S/N: 9700896)","Temp, °F (LGR S/N: 9735537, SEN S/N: 9719165)","Temp, °F (LGR S/N: 9735537, SEN S/N: 9721324)","RH, % (LGR S/N: 9735537, SEN S/N: 9721324)","Voltage, V (LGR S/N: 9735537, SEN S/N: 9725485)","Solar Radiation, W/m² (LGR S/N: 9735537, SEN S/N: 9734409)","Solar Radiation, W/m² (LGR S/N: 9735537, SEN S/N: 9734412)","Solar Radiation, W/m² (LGR S/N: 9735537, SEN S/N: 9734416)","Water Content, m³/m³ (LGR S/N: 9735537, SEN S/N: 20152223)","Water Content, m³/m³ (LGR S/N: 9735537, SEN S/N: 20152226)","Batt, V (LGR S/N: 9735537)"
1,7/3/17 11:40,2553.7,2553.7,2553.7,45.217,61.075,33.8,-0.2039,1001.9,83.1,93.1,0.3317,0.2898,4.381
2,7/3/17 11:50,83.7,1911.2,86.2,45.444,61.59,38.8,-0.2039,983.1,80.6,90.6,0.3321,0.2901,4.363
3,7/3/17 12:00,81.2,1896.2,83.7,45.669,60.991,39.7,-0.2039,979.4,79.4,88.1,0.3321,0.2898,4.393
4,7/3/17 12:10,83.7,1921.2,86.2,45.896,62.148,37.7,-0.2039,995.6,79.4,89.4,0.3321,0.2901,4.363
5,7/3/17 12:20,83.7,1973.7,86.2,46.166,63.133,36.8,-0.2039,1028.1,81.9,90.6,0.3321,0.2898,4.363
6,7/3/17 12:30,91.2,2108.7,93.7,46.391,63.475,36.9,-0.2039,1103.1,86.9,98.1,0.333,0.2901,4.369
7,7/3/17 12:40,93.7,2208.7,98.7,46.661,61.248,38,-0.2039,1153.1,90.6,103.1,0.3321,0.2898,4.363
8,7/3/17 12:50,111.2,2553.7,116.2,46.886,59.745,35.2,-0.2039,1276.9,108.1,125.6,0.3321,0.2898,4.381
9,7/3/17 13:00,106.2,2491.2,111.2,47.154,59.229,37.7,-0.2039,1276.9,103.1,119.4,0.3326,0.2898,4.363
10,7/3/17 13:10,26.2,633.7,26.2,47.377,62.577,35.1,-0.2039,308.1,24.4,28.1,0.3321,0.2898,4.478
11,7/3/17 13:20,28.7,681.2,28.7,47.602,63.732,34.2,-0.2039,334.4,26.9,30.6,0.3321,0.2898,4.369
12,7/3/17 13:30,23.7,588.7,23.7,47.826,62.319,34.8,-0.2039,285.6,23.1,26.9,0.3317,0.2898,4.363
13,7/3/17 13:40,36.2,868.7,36.2,48.049,64.204,33.9,-0.2039,431.9,34.4,39.4,0.3321,0.2895,4.381
14,7/3/17 13:50,96.2,2276.2,101.2,48.272,65.273,32,-0.2039,1186.9,93.1,108.1,0.3326,0.2898,4.363
15,7/3/17 14:00,101.2,2346.2,106.2,48.45,65.316,34.7,-0.2039,1211.9,95.6,110.6,0.3321,0.2898,4.43
16,7/3/17 14:10,96.2,2231.2,101.2,48.672,65.658,34.1,-0.2039,1144.4,90.6,104.4,0.3326,0.2898,4.363
17,7/3/17 14:20,36.2,861.2,36.2,48.85,65.145,32.8,-0.2039,438.1,35.6,41.9,0.3326,0.2895,4.363
