Plot Title: 9735537_SM_USA_C2_trmt,,,,,,,,,,,,,,
#,"Date Time, GMT-06:00","PAR, uE (LGR S/N: 9735537, SEN S/N: 9700890, LBL: C2_L)","PAR, uE (LGR S/N: 9735537, SEN S/N: 9700891, LBL: C2_L)","PAR, uE (LGR S/N: 9735537, SEN S/N: 9700896, LBL: C2_R)","Temp, °F (LGR S/N: 9735537, SEN S/N: 9719165, LBL: C2)","Temp, °F (LGR S/N: 9735537, SEN S/N: 9721324, LBL: C2)","RH, % (LGR S/N: 9735537, SEN S/N: 9721324, LBL: C2)","Voltage, V (LGR S/N: 9735537, SEN S/N: 9725485)","Solar Radiation, W/m² (LGR S/N: 9735537, SEN S/N: 9734409, LBL: C2_L)","Solar Radiation, W/m² (LGR S/N: 9735537, SEN S/N: 9734412, LBL: C2_L)","Solar Radiation, W/m² (LGR S/N: 9735537, SEN S/N: 9734416, LBL: C2_R)","Water Content, m³/m³ (LGR S/N: 9735537, SEN S/N: 20152214, LBL: C2_R)","Water Content, m³/m³ (LGR S/N: 9735537, SEN S/N: 20152224, LBL: C2_L)","Batt, V (LGR S/N: 9735537)"
1,5/31/18 12:00,76.2,2011.2,88.7,45.127,80.89,1,-0.2039,1060.6,75.6,91.9,0.2516,0.2973,4.285
2,5/31/18 12:10,83.7,2211.2,98.7,45.444,78.602,1,-0.2039,1176.9,83.1,101.9,0.252,0.2973,4.393
3,5/31/18 12:20,46.2,1261.2,56.2,45.761,80.449,1,-0.2039,633.1,44.4,55.6,0.252,0.297,4.375
4,5/31/18 12:30,86.2,2273.7,101.2,46.121,75.681,1,-0.2039,1213.1,84.4,104.4,0.252,0.297,4.315
5,5/31/18 12:40,76.2,1991.2,88.7,46.436,82.486,1,-0.2039,1065.6,73.1,90.6,0.252,0.297,4.303
6,5/31/18 12:50,76.2,2063.7,93.7,46.751,87.436,1,-0.2039,1100.6,74.4,94.4,0.252,0.297,4.297
7,5/31/18 13:00,76.2,2061.2,93.7,47.019,85.082,1,-0.2039,1104.4,74.4,94.4,0.252,0.2966,4.442
8,5/31/18 13:10,76.2,2063.7,93.7,47.289,83.959,1,-0.2039,1103.1,73.1,94.4,0.252,0.2966,4.351
9,5/31/18 13:20,16.2,471.2,18.7,47.602,88.534,1,-0.2039,228.1,15.6,19.4,0.252,0.2966,4.315
10,5/31/18 13:30,73.7,1953.7,88.7,47.871,84.362,1,-0.2039,1043.1,69.4,89.4,0.2516,0.2966,4.321
11,5/31/18 13:40,73.7,1958.7,88.7,48.137,82.441,1,-0.2039,1045.6,69.4,90.6,0.2516,0.2966,4.309
12,5/31/18 13:50,68.7,1883.7,86.2,48.36,85.397,1,-0.2039,1000.6,66.9,86.9,0.2516,0.2966,4.442
13,5/31/18 14:00,68.7,1868.7,86.2,48.628,87.573,1,-0.2039,991.9,65.6,86.9,0.252,0.2966,4.442
14,5/31/18 14:10,68.7,1836.2,86.2,48.85,87.073,1,-0.2039,969.4,64.4,85.6,0.2516,0.2966,4.418
15,5/31/18 14:20,66.2,1803.7,83.7,49.116,85.442,1,-0.2039,946.9,63.1,84.4,0.2516,0.2966,4.442
16,5/31/18 14:30,63.7,1756.2,81.2,49.294,87.71,1,-0.2039,916.9,60.6,81.9,0.2516,0.2966,4.321
17,5/31/18 14:40,63.7,1751.2,81.2,49.516,88.579,1,-0.2039,909.4,59.4,81.9,0.2516,0.297,4.321
18,5/31/18 14:50,63.7,1726.2,81.2,49.737,85.487,1,-0.2039,893.1,59.4,80.6,0.2516,0.2966,4.442
19,5/31/18 15:00,58.7,1636.2,76.2,49.959,86.437,1,-0.2039,848.1,56.9,76.9,0.2516,0.297,4.285
20,5/31/18 15:10,63.7,1736.2,81.2,50.135,90.239,1,-0.2039,899.4,60.6,83.1,0.2516,0.297,4.418
21,5/31/18 15:20,63.7,1666.2,78.7,50.356,88.488,1,-0.2039,861.9,59.4,79.4,0.2516,0.2973,4.297
22,5/31/18 15:30,58.7,1571.2,76.2,50.533,87.528,1,-0.2039,813.1,55.6,75.6,0.2516,0.2973,4.321
23,5/31/18 15:40,58.7,1533.7,73.7,50.709,85.849,1,-0.2039,794.4,54.4,74.4,0.2516,0.2973,4.321
24,5/31/18 15:50,56.2,1456.2,71.2,50.886,84.722,1,-0.2039,754.4,53.1,70.6,0.2516,0.2976,4.442
25,5/31/18 16:00,56.2,1408.7,68.7,51.062,82.976,1,-0.2039,729.4,51.9,69.4,0.2516,0.2976,4.442
26,5/31/18 16:10,53.7,1358.7,66.2,51.237,84.094,1,-0.2039,704.4,50.6,68.1,0.2512,0.2976,4.418
27,5/31/18 16:20,51.2,1303.7,63.7,51.413,83.914,1,-0.2039,679.4,49.4,65.6,0.2516,0.2976,4.442
28,5/31/18 16:30,46.2,1143.7,56.2,51.544,81.111,1,-0.2039,593.1,44.4,56.9,0.2516,0.2976,4.321
29,5/31/18 16:40,46.2,1166.2,56.2,51.678,79.655,1,-0.2039,605.6,45.6,58.1,0.2512,0.2976,4.327
30,5/31/18 16:50,51.2,1228.7,58.7,51.809,65.273,1,-0.2039,643.1,49.4,61.9,0.2512,0.2976,4.442
31,5/31/18 17:00,26.2,983.7,6.2,51.94,66.087,1,-0.2039,520.6,26.9,6.9,0.2512,0.2976,4.418
32,5/31/18 17:10,18.7,496.2,13.7,52.029,57.807,1,-0.2039,230.6,19.4,15.6,0.2512,0.2976,4.315
33,5/31/18 17:20,26.2,703.7,28.7,52.115,64.546,1,-0.2039,363.1,26.9,30.6,0.2512,0.2976,4.351
34,5/31/18 17:30,36.2,908.7,36.2,52.115,69.985,1,-0.2039,483.1,38.1,39.4,0.2512,0.2976,4.339
35,5/31/18 17:40,33.7,843.7,21.2,52.16,72.136,1,-0.2039,450.6,36.9,24.4,0.2512,0.2976,4.442
36,5/31/18 17:50,31.2,783.7,28.7,52.203,66.814,1,-0.2039,420.6,34.4,33.1,0.2512,0.2976,4.333
37,5/31/18 18:00,16.2,521.2,11.2,52.16,63.518,1,-0.2039,283.1,16.9,11.9,0.2512,0.2979,4.315
38,5/31/18 18:10,1.2,98.7,3.7,52.115,52.16,1,-0.2039,34.4,1.9,4.4,0.2512,0.2976,4.315
39,5/31/18 18:20,1.2,106.2,1.2,52.115,47.959,1,-0.2039,39.4,1.9,1.9,0.2512,0.2976,4.291
40,5/31/18 18:30,11.2,411.2,3.7,52.072,47.647,1,-0.2039,218.1,10.6,3.1,0.2512,0.2976,4.297
41,5/31/18 18:40,1.2,78.7,1.2,51.984,47.557,1,-0.2039,24.4,0.6,1.9,0.2512,0.2976,4.297
42,5/31/18 18:50,1.2,68.7,1.2,51.895,44.492,1,-0.2039,19.4,0.6,0.6,0.2512,0.2976,4.279
43,5/31/18 19:00,1.2,66.2,1.2,51.764,43.808,1,-0.2039,18.1,0.6,0.6,0.2512,0.2976,4.267
44,5/31/18 19:10,1.2,61.2,1.2,51.678,43.443,1,-0.2039,15.6,0.6,0.6,0.2512,0.2976,4.267
45,5/31/18 19:20,1.2,58.7,1.2,51.544,42.064,1,-0.2039,15.6,0.6,0.6,0.2512,0.2976,4.267
46,5/31/18 19:30,1.2,53.7,1.2,51.413,40.998,1,-0.2039,14.4,0.6,0.6,0.2512,0.2976,4.267
47,5/31/18 19:40,1.2,43.7,1.2,51.237,38.795,1,-0.2039,10.6,0.6,0.6,0.2512,0.2976,4.255
48,5/31/18 19:50,1.2,33.7,1.2,51.062,37.751,1,-0.2039,8.1,0.6,0.6,0.2516,0.2976,4.255
49,5/31/18 20:00,1.2,26.2,1.2,50.886,37.702,1,-0.2039,6.9,0.6,0.6,0.2516,0.2976,4.249
50,5/31/18 20:10,1.2,21.2,1.2,50.709,37.465,1,-0.2039,5.6,0.6,0.6,0.2516,0.2976,4.249
51,5/31/18 20:20,1.2,11.2,1.2,50.488,36.747,1,-0.2039,3.1,0.6,0.6,0.2516,0.2976,4.249
52,5/31/18 20:30,1.2,3.7,1.2,50.311,38.273,1,-0.2039,0.6,0.6,0.6,0.2516,0.2976,4.249
53,5/31/18 20:40,1.2,1.2,1.2,50.092,37.942,1,-0.2039,0.6,0.6,0.6,0.2516,0.2976,4.249
54,5/31/18 20:50,1.2,1.2,1.2,49.914,39.407,1,-0.2039,0.6,0.6,0.6,0.2516,0.2976,4.249
55,5/31/18 21:00,1.2,1.2,1.2,49.692,39.313,1,-0.2039,0.6,0.6,0.6,0.2516,0.2976,4.249
56,5/31/18 21:10,1.2,1.2,1.2,49.471,38.557,1,-0.2039,0.6,0.6,0.6,0.2516,0.2976,4.249
57,5/31/18 21:20,1.2,1.2,1.2,49.294,36.217,1,-0.2039,0.6,0.6,0.6,0.2516,0.2976,4.249
58,5/31/18 21:30,1.2,1.2,1.2,49.073,36.505,1,-0.2039,0.6,0.6,0.6,0.2516,0.2976,4.249
59,5/31/18 21:40,1.2,1.2,1.2,48.85,36.603,1,-0.2039,0.6,0.6,0.6,0.252,0.2976,4.249
60,5/31/18 21:50,1.2,1.2,1.2,48.583,35.006,1,-0.2039,0.6,0.6,0.6,0.252,0.2976,4.249
61,5/31/18 22:00,1.2,1.2,1.2,48.405,34.419,1,-0.2039,0.6,0.6,0.6,0.252,0.2976,4.249
62,5/31/18 22:10,1.2,1.2,1.2,48.182,34.371,1,-0.2039,0.6,0.6,0.6,0.252,0.2976,4.249
63,5/31/18 22:20,1.2,1.2,1.2,47.959,37.321,1,-0.2039,0.6,0.6,0.6,0.252,0.2976,4.249
64,5/31/18 22:30,1.2,1.2,1.2,47.781,37.179,1,-0.2039,0.6,0.6,0.6,0.252,0.2976,4.249
65,5/31/18 22:40,1.2,1.2,1.2,47.557,37.56,1,-0.2039,0.6,0.6,0.6,0.252,0.2976,4.249
66,5/31/18 22:50,1.2,1.2,1.2,47.334,36.698,1,-0.2039,0.6,0.6,0.6,0.2524,0.2979,4.249
67,5/31/18 23:00,1.2,1.2,1.2,47.154,32.94,1,-0.2039,0.6,0.6,0.6,0.2524,0.2976,4.249
68,5/31/18 23:10,1.2,1.2,1.2,46.931,33.336,1,-0.2039,0.6,0.6,0.6,0.2524,0.2979,4.249
69,5/31/18 23:20,1.2,1.2,1.2,46.751,33.386,1,-0.2039,0.6,0.6,0.6,0.2524,0.2979,4.249
70,5/31/18 23:30,1.2,1.2,1.2,46.526,32.691,1,-0.2039,0.6,0.6,0.6,0.2524,0.2979,4.249
71,5/31/18 23:40,1.2,1.2,1.2,46.346,34.957,1,-0.2039,0.6,0.6,0.6,0.2524,0.2979,4.249
72,5/31/18 23:50,1.2,1.2,1.2,46.166,34.907,1,-0.2039,0.6,0.6,0.6,0.2524,0.2979,4.249
73,6/1/18 0:00,1.2,1.2,1.2,45.941,36.313,1,-0.2039,0.6,0.6,0.6,0.2524,0.2979,4.237
74,6/1/18 0:10,1.2,1.2,1.2,45.806,37.13,1,-0.2039,0.6,0.6,0.6,0.2524,0.2979,4.237
75,6/1/18 0:20,1.2,1.2,1.2,45.624,37.081,1,-0.2039,0.6,0.6,0.6,0.2528,0.2979,4.237
76,6/1/18 0:30,1.2,1.2,1.2,45.444,37.13,1,-0.2039,0.6,0.6,0.6,0.2524,0.2979,4.237
77,6/1/18 0:40,1.2,1.2,1.2,45.262,37.416,1,-0.2039,0.6,0.6,0.6,0.2524,0.2979,4.237
78,6/1/18 0:50,1.2,1.2,1.2,45.082,37.035,1,-0.2039,0.6,0.6,0.6,0.2528,0.2979,4.237
79,6/1/18 1:00,1.2,1.2,1.2,44.901,36.747,1,-0.2039,0.6,0.6,0.6,0.2528,0.2979,4.237
80,6/1/18 1:10,1.2,1.2,1.2,44.719,36.169,1,-0.2039,0.6,0.6,0.6,0.2528,0.2979,4.237
81,6/1/18 1:20,1.2,1.2,1.2,44.582,36.795,1,-0.2039,0.6,0.6,0.6,0.2528,0.2979,4.237
82,6/1/18 1:30,1.2,1.2,1.2,44.445,36.891,1,-0.2039,0.6,0.6,0.6,0.2528,0.2979,4.237
83,6/1/18 1:40,1.2,1.2,1.2,44.263,36.459,1,-0.2039,0.6,0.6,0.6,0.2528,0.2979,4.237
84,6/1/18 1:50,1.2,1.2,1.2,44.127,36.41,1,-0.2039,0.6,0.6,0.6,0.2528,0.2979,4.237
85,6/1/18 2:00,1.2,1.2,1.2,43.99,36.41,1,-0.2039,0.6,0.6,0.6,0.2528,0.2979,4.237
86,6/1/18 2:10,1.2,1.2,1.2,43.853,36.313,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.237
87,6/1/18 2:20,1.2,1.2,1.2,43.716,36.603,1,-0.2039,0.6,0.6,0.6,0.2528,0.2979,4.237
88,6/1/18 2:30,1.2,1.2,1.2,43.534,36.12,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.237
89,6/1/18 2:40,1.2,1.2,1.2,43.443,36.505,1,-0.2039,0.6,0.6,0.6,0.2528,0.2979,4.237
90,6/1/18 2:50,1.2,1.2,1.2,43.351,35.976,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.237
91,6/1/18 3:00,1.2,1.2,1.2,43.214,35.976,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.237
92,6/1/18 3:10,1.2,1.2,1.2,43.075,35.152,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.237
93,6/1/18 3:20,1.2,1.2,1.2,42.984,35.055,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.237
94,6/1/18 3:30,1.2,1.2,1.2,42.892,34.565,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.237
95,6/1/18 3:40,1.2,1.2,1.2,42.755,34.468,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.237
96,6/1/18 3:50,1.2,1.2,1.2,42.616,34.419,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.237
97,6/1/18 4:00,1.2,1.2,1.2,42.525,33.681,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.237
98,6/1/18 4:10,1.2,1.2,1.2,42.433,33.584,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.237
99,6/1/18 4:20,1.2,1.2,1.2,42.294,33.435,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.237
100,6/1/18 4:30,1.2,1.2,1.2,42.202,32.443,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.231
101,6/1/18 4:40,1.2,1.2,1.2,42.064,31.39,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.249
102,6/1/18 4:50,1.2,1.2,1.2,41.97,31.138,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.224
103,6/1/18 5:00,1.2,1.2,1.2,41.878,31.541,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.231
104,6/1/18 5:10,1.2,1.2,1.2,41.74,31.541,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.237
105,6/1/18 5:20,1.2,1.2,1.2,41.648,30.276,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.237
106,6/1/18 5:30,1.2,1.2,1.2,41.508,30.632,1,-0.2039,0.6,0.6,0.6,0.2532,0.2979,4.237
107,6/1/18 5:40,1.2,6.2,1.2,41.416,29.817,1,-0.2039,1.9,0.6,0.6,0.2532,0.2979,4.231
108,6/1/18 5:50,1.2,16.2,1.2,41.322,29.611,1,-0.2039,6.9,0.6,0.6,0.2532,0.2976,4.231
109,6/1/18 6:00,1.2,28.7,1.2,41.23,29.764,1,-0.2039,10.6,0.6,0.6,0.2532,0.2979,4.224
110,6/1/18 6:10,1.2,41.2,1.2,41.137,30.276,1,-0.2039,14.4,0.6,0.6,0.2532,0.2979,4.237
111,6/1/18 6:20,8.7,246.2,8.7,41.043,36.698,1,-0.2039,163.1,14.4,18.1,0.2532,0.2979,4.249
112,6/1/18 6:30,13.7,333.7,13.7,40.951,40.672,1,-0.2039,205.6,18.1,21.9,0.2532,0.2979,4.261
113,6/1/18 6:40,16.2,408.7,16.2,40.858,44.218,1,-0.2039,239.4,20.6,25.6,0.2532,0.2979,4.291
114,6/1/18 6:50,18.7,478.7,18.7,40.764,45.806,1,-0.2039,269.4,23.1,29.4,0.2532,0.2979,4.321
115,6/1/18 7:00,21.2,541.2,23.7,40.719,47.199,1,-0.2039,298.1,25.6,30.6,0.2534,0.2979,4.363
116,6/1/18 7:10,23.7,616.2,26.2,40.579,49.249,1,-0.2039,331.9,28.1,34.4,0.2534,0.2979,4.418
117,6/1/18 7:20,26.2,691.2,28.7,40.579,50.135,1,-0.2039,368.1,31.9,38.1,0.2532,0.2979,4.333
118,6/1/18 7:30,31.2,766.2,31.2,40.485,50.356,1,-0.2039,400.6,34.4,40.6,0.2534,0.2984,4.466
119,6/1/18 7:40,33.7,833.7,36.2,40.438,52.641,1,-0.2039,431.9,36.9,43.1,0.2534,0.2984,4.321
120,6/1/18 7:50,36.2,898.7,38.7,40.392,54.43,1,-0.2039,460.6,39.4,46.9,0.2534,0.2984,4.393
121,6/1/18 8:00,38.7,963.7,41.2,40.345,55.992,1,-0.2039,489.4,41.9,48.1,0.2534,0.2984,4.321
122,6/1/18 8:10,41.2,1028.7,43.7,40.298,56.901,1,-0.2039,520.6,44.4,51.9,0.2534,0.2984,4.363
