Year,Site,Location_ID,PlotPair,Plot_ID,Subplot_ID,Block,Plot,Block/Plot,Subplot,Treatment,Veg type,Species,functional type,DOYsf,SG,FBB,NL,NL2,FLE,FLE2,FLB,FOF,FLD,FLCC
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Achillea millefolium,Forb,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Agoseris glauca,Forb,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Arnica perryi ,Forb,186,188,,188,,198,,,198,,229
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Bistorta bistortoides,Forb,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Boechera stricta,Forb,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Castilleja sulphurea,Forb,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Draba aurea,Forb,186,,,193,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Erigeron coulteri,Forb,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Erigeron glacialis,Forb,186,,,188,,188,,,193,,213
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Erythronium grandiflorum,Forb,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Gentianella acuta,Forb,186,,,188,,193,,,215,,229
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Hieracium gracilis,Forb,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Lupinus sp.,Forb,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Pseudocymopterus montanus,Forb,186,,,,,215,,,244,,229
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Senecio crassulus,Forb,186,188,,188,,193,,,198,,221
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Sibaldia procumbens,Forb,186,,,193,,206,,,215,,229
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Veronica wormskjoldii,Forb,186,,,193,,188,,,208,,244
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Viola adunca,Forb,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Carex sp.,Gram,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Juncus articus,Gram,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Phleum alpinum,Gram,186,186,,188,,198,,,229,,244
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Danthonia intermedia,Grass,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Deschampsia cespitosa,Grass,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Elymus canadensis,Grass,186,,193,198,,206,,,215,,244
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Festuca sp.,Grass,186,,,,,198,,,,,244
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Poa cusickii,Grass,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Trisetum spicatum,Grass,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1L,USA_A,USA_A_1,USA_A_1_L,A,1,A1,Left,Early,Meadow,Vaccinium cespitosum,Shrub,186,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1R,USA_A,USA_A_1,USA_A_1_R,A,1,A1,Right,Early,Meadow,Achillea millefolium,Forb,193,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1R,USA_A,USA_A_1,USA_A_1_R,A,1,A1,Right,Early,Meadow,Agoseris glauca,Forb,193,,,,,206,,,,,229
2017,Upper Sub-alpine,WG-USA1R,USA_A,USA_A_1,USA_A_1_R,A,1,A1,Right,Early,Meadow,Arnica perryi ,Forb,193,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1R,USA_A,USA_A_1,USA_A_1_R,A,1,A1,Right,Early,Meadow,Bistorta bistortoides,Forb,193,,,,,215,,,221,,229
2017,Upper Sub-alpine,WG-USA1R,USA_A,USA_A_1,USA_A_1_R,A,1,A1,Right,Early,Meadow,Boechera stricta,Forb,193,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1R,USA_A,USA_A_1,USA_A_1_R,A,1,A1,Right,Early,Meadow,Castilleja sulphurea,Forb,193,,,193,,198,,,215,,229
2017,Upper Sub-alpine,WG-USA1R,USA_A,USA_A_1,USA_A_1_R,A,1,A1,Right,Early,Meadow,Draba aurea,Forb,193,198,,,277,198,,,206,,244
2017,Upper Sub-alpine,WG-USA1R,USA_A,USA_A_1,USA_A_1_R,A,1,A1,Right,Early,Meadow,Erigeron coulteri,Forb,193,,,,,,,,,,
2017,Upper Sub-alpine,WG-USA1R,USA_A,USA_A_1,USA_A_1_R,A,1,A1,Right,Early,Meadow,Erigeron glacialis,Forb,193,,,,,,,,,,
