,Site,Treatment,Species,Event,delta_duration
1,USA,Control,Achillea millefolium,NL,26
2,USA,Control,Achillea millefolium,FLE,21
3,USA,Control,Achillea millefolium,FOF,34
4,USA,Control,Achillea millefolium,FLCC,14
5,USA,Control,Agoseris glauca,NL,9
6,USA,Control,Agoseris glauca,FLE,13
7,USA,Control,Agoseris glauca,FOF,-21
8,USA,Control,Agoseris glauca,FLCC,-4
9,USA,Control,Arnica perryi,NL,0
10,USA,Control,Arnica perryi,FLE,0
11,USA,Control,Arnica perryi,FOF,0
12,USA,Control,Arnica perryi,FLCC,0
13,USA,Control,Castilleja sulphurea,NL,-16
14,USA,Control,Castilleja sulphurea,FLE,-14
15,USA,Control,Castilleja sulphurea,FOF,-12
16,USA,Control,Castilleja sulphurea,FLCC,-34
17,USA,Control,Deschampsia cespitosa,NL,10
18,USA,Control,Deschampsia cespitosa,FLE,3
19,USA,Control,Deschampsia cespitosa,FOF,-9
20,USA,Control,Deschampsia cespitosa,FLCC,-8
21,USA,Control,Draba aurea,NL,0
22,USA,Control,Draba aurea,FLE,0
23,USA,Control,Draba aurea,FOF,0
24,USA,Control,Draba aurea,FLCC,0
25,USA,Control,Erigeron glacialis,NL,-22
26,USA,Control,Erigeron glacialis,FLE,-27
27,USA,Control,Erigeron glacialis,FOF,-6
28,USA,Control,Erigeron glacialis,FLCC,-34
29,USA,Control,Erythronium grandiflorum,NL,-2
30,USA,Control,Erythronium grandiflorum,FLE,-6
31,USA,Control,Erythronium grandiflorum,FOF,-2
32,USA,Control,Erythronium grandiflorum,FLCC,-9
33,USA,Control,Senecio crassulus,NL,1
34,USA,Control,Senecio crassulus,FLE,-3
35,USA,Control,Senecio crassulus,FOF,-6
36,USA,Control,Senecio crassulus,FLCC,5
37,USA,Control,Sibaldia procumbens,NL,-5
38,USA,Control,Sibaldia procumbens,FLE,-5
39,USA,Control,Sibaldia procumbens,FOF,-7
40,USA,Control,Sibaldia procumbens,FLCC,-5
41,USA,Control,Vaccinium cespitosum,NL,0
42,USA,Control,Vaccinium cespitosum,FLE,0
43,USA,Control,Vaccinium cespitosum,FOF,0
44,USA,Control,Vaccinium cespitosum,FLCC,0
45,USA,Control,Veronica wormskjoldii,NL,8
46,USA,Control,Veronica wormskjoldii,FLE,6
47,USA,Control,Veronica wormskjoldii,FOF,4
48,USA,Control,Veronica wormskjoldii,FLCC,-5
49,USA,Treatment,Achillea millefolium,NL,0
50,USA,Treatment,Achillea millefolium,FLE,-4
51,USA,Treatment,Achillea millefolium,FOF,-6
52,USA,Treatment,Achillea millefolium,FLCC,-9
53,USA,Treatment,Agoseris glauca,NL,5
54,USA,Treatment,Agoseris glauca,FLE,5
55,USA,Treatment,Agoseris glauca,FOF,6
56,USA,Treatment,Agoseris glauca,FLCC,-15
57,USA,Treatment,Arnica perryi,NL,-4
58,USA,Treatment,Arnica perryi,FLE,-10
59,USA,Treatment,Arnica perryi,FOF,-23
60,USA,Treatment,Arnica perryi,FLCC,-5
61,USA,Treatment,Castilleja sulphurea,NL,-10
62,USA,Treatment,Castilleja sulphurea,FLE,-9
63,USA,Treatment,Castilleja sulphurea,FOF,4
64,USA,Treatment,Castilleja sulphurea,FLCC,15
65,USA,Treatment,Deschampsia cespitosa,NL,7
66,USA,Treatment,Deschampsia cespitosa,FLE,1
67,USA,Treatment,Deschampsia cespitosa,FOF,1
68,USA,Treatment,Deschampsia cespitosa,FLCC,-3
69,USA,Treatment,Draba aurea,NL,-4
70,USA,Treatment,Draba aurea,FLE,1
71,USA,Treatment,Draba aurea,FOF,14
