,Year,Site,Treatment,Species,Event,max,min,mean,n,species_duration
1,2017,USA,Control,Achillea millefolium,NL,178,178,178,1,0
2,2017,USA,Control,Achillea millefolium,FLE,188,188,188,1,0
3,2017,USA,Control,Achillea millefolium,FOF,221,221,221,1,0
4,2017,USA,Control,Achillea millefolium,FLCC,229,229,229,1,0
5,2017,USA,Control,Agoseris glauca,NL,206,184,195,2,22
6,2017,USA,Control,Agoseris glauca,FLE,208,188,198,2,20
7,2017,USA,Control,Agoseris glauca,FOF,244,206,225,2,38
8,2017,USA,Control,Agoseris glauca,FLCC,244,229,236.5,2,15
9,2017,USA,Control,Arnica perryi,NL,188,188,188,1,0
10,2017,USA,Control,Arnica perryi,FLE,193,193,193,1,0
11,2017,USA,Control,Arnica perryi,FOF,215,215,215,1,0
12,2017,USA,Control,Arnica perryi,FLCC,244,244,244,1,0
13,2017,USA,Control,Castilleja sulphurea,NL,206,184,192.6666667,3,22
14,2017,USA,Control,Castilleja sulphurea,FLE,208,188,196.3333333,3,20
15,2017,USA,Control,Castilleja sulphurea,FOF,221,206,211.6666667,3,15
16,2017,USA,Control,Castilleja sulphurea,FLCC,263,229,245.3333333,3,34
17,2017,USA,Control,Deschampsia cespitosa,NL,188,175,181.25,4,13
18,2017,USA,Control,Deschampsia cespitosa,FLE,198,178,187,4,20
19,2017,USA,Control,Deschampsia cespitosa,FOF,229,198,213.5,4,31
20,2017,USA,Control,Deschampsia cespitosa,FLCC,244,229,236.5,4,15
21,2017,USA,Control,Draba aurea,NL,178,178,178,1,0
22,2017,USA,Control,Draba aurea,FLE,184,184,184,1,0
23,2017,USA,Control,Draba aurea,FOF,188,188,188,1,0
24,2017,USA,Control,Draba aurea,FLCC,244,244,244,1,0
25,2017,USA,Control,Erigeron glacialis,NL,206,184,195,2,22
26,2017,USA,Control,Erigeron glacialis,FLE,215,188,201.5,2,27
27,2017,USA,Control,Erigeron glacialis,FOF,221,215,218,2,6
28,2017,USA,Control,Erigeron glacialis,FLCC,263,229,246,2,34
29,2017,USA,Control,Erythronium grandiflorum,NL,178,175,176.5,2,3
