"","Year","Site","Elevation","Block","Treatment","sf_to_fle","sf_to_fof"
"1",2017,"ALP",3597,"A","Control",13.0909090909091,29.1666666666667
"2",2017,"ALP",3597,"B","Control",2.78947368421053,17.1904761904762
"3",2017,"ALP",3597,"C","Control",5.14285714285714,20.2
"4",2017,"LM",2774,"A","Control",23.5,56.4375
"5",2017,"LM",2774,"A","Early",23.4736842105263,49.5333333333333
"6",2017,"LM",2774,"B","Control",23.96,56.9411764705882
"7",2017,"LM",2774,"B","Early",24.0909090909091,49.1111111111111
"8",2017,"LM",2774,"C","Control",23.5769230769231,52.7142857142857
"9",2017,"LM",2774,"C","Early",24.2608695652174,52.8235294117647
"10",2017,"LSA",3169,"A","Control",10.8148148148148,38.8064516129032
"11",2017,"LSA",3169,"A","Early",11.1666666666667,37.3448275862069
"12",2017,"LSA",3169,"B","Control",10.2571428571429,37.6363636363636
"13",2017,"LSA",3169,"B","Early",11.0606060606061,37.75
"14",2017,"LSA",3169,"C","Control",10.258064516129,37.9259259259259
"15",2017,"LSA",3169,"C","Early",9.74074074074074,38.1428571428571
"16",2017,"UM",2957,"A","Control",10.2162162162162,40.3243243243243
"17",2017,"UM",2957,"A","Early",11.7179487179487,40.7105263157895
"18",2017,"UM",2957,"B","Control",10.0555555555556,40.1428571428571
"19",2017,"UM",2957,"B","Early",10,40.7948717948718
"20",2017,"UM",2957,"C","Control",11.8857142857143,41.5925925925926
"21",2017,"UM",2957,"C","Early",11.9090909090909,38.88
"22",2017,"USA",3475,"A","Control",9.48,25.4545454545455
"23",2017,"USA",3475,"A","Early",12,24.85
"24",2017,"USA",3475,"B","Control",8.04761904761905,28.3076923076923
"25",2017,"USA",3475,"B","Early",11.7777777777778,27.3870967741935
"26",2017,"USA",3475,"C","Control",10,27.2857142857143
"27",2017,"USA",3475,"C","Early",11.5454545454545,28.4444444444444
"28",2018,"ALP",3597,"A","Control",11.4666666666667,26.4827586206897
"29",2018,"ALP",3597,"B","Control",11.875,29.625
"30",2018,"ALP",3597,"C","Control",13.5454545454545,34
"31",2018,"LM",2774,"A","Control",14.6,76.7692307692308
"32",2018,"LM",2774,"A","Early",22.5238095238095,82.4285714285714
"33",2018,"LM",2774,"B","Control",14.3548387096774,65.7619047619048
"34",2018,"LM",2774,"B","Early",23.0851063829787,76.6
"35",2018,"LM",2774,"C","Control",20.4285714285714,73
"36",2018,"LM",2774,"C","Early",24.7954545454545,76.0740740740741
"37",2018,"LSA",3169,"A","Control",6.22857142857143,40.3125
"38",2018,"LSA",3169,"A","Early",10.5,44.6969696969697
"39",2018,"LSA",3169,"B","Control",7.55,39.2285714285714
"40",2018,"LSA",3169,"B","Early",9.04651162790698,39.6857142857143
"41",2018,"LSA",3169,"C","Control",6.54545454545455,39.4137931034483
"42",2018,"LSA",3169,"C","Early",8.03225806451613,40.08
"43",2018,"UM",2957,"A","Control",10.8888888888889,53.1875
"44",2018,"UM",2957,"A","Early",12.6842105263158,59.8695652173913
"45",2018,"UM",2957,"B","Control",11.1578947368421,55.4166666666667
"46",2018,"UM",2957,"B","Early",15.375,58.3333333333333
"47",2018,"UM",2957,"C","Control",10.9428571428571,50.9642857142857
"48",2018,"UM",2957,"C","Early",15.5526315789474,53.1304347826087
"49",2018,"USA",3475,"A","Control",8.7741935483871,29.8148148148148
"50",2018,"USA",3475,"A","Early",10.03125,35.2413793103448
"51",2018,"USA",3475,"B","Control",7.03703703703704,24.2142857142857
"52",2018,"USA",3475,"B","Early",8.86486486486486,34.7575757575758
"53",2018,"USA",3475,"C","Control",8.57142857142857,36.78125
"54",2018,"USA",3475,"C","Early",8.97142857142857,35.8823529411765
